# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 532.02 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248137e-05       4.733709413720e+01 
       2.342123619936e-05       1.028545883368e+02 
       3.639918320624e-05       1.574696058343e+02 
       4.945816035040e-05       2.117440877652e+02 
       6.263395117568e-05       2.660025331653e+02 
       7.596324752298e-05       3.204910268770e+02 
       8.948398149279e-05       3.754219309820e+02 
       1.032356722160e-04       4.309922372121e+02 
       1.172597919147e-04       4.873930508202e+02 
       1.316001557672e-04       5.448153802046e+02 
       1.463033400987e-04       6.034541807885e+02 
       1.614191333512e-04       6.635115731943e+02 
       1.770010240982e-04       7.251996179783e+02 
       1.931067299778e-04       7.887428194572e+02 
       2.097987707233e-04       8.543806169434e+02 
       2.271450873322e-04       9.223698234241e+02 
       2.452197076645e-04       9.929870553134e+02 
       2.641034561504e-04       1.066531290016e+03 
       2.838847015526e-04       1.143326282341e+03 
       3.046601315039e-04       1.223723057699e+03 
       3.265355354420e-04       1.308102279600e+03 
       3.496265681640e-04       1.396876319405e+03 
       3.740594541447e-04       1.490490986780e+03 
       3.999715777429e-04       1.589426532376e+03 
       4.275118865283e-04       1.694197954381e+03 
       4.568410147969e-04       1.805353749264e+03 
       4.881310134105e-04       1.923473156048e+03 
       5.215645531762e-04       2.049161153519e+03 
       5.573334565125e-04       2.183040758363e+03 
       5.956364123964e-04       2.325742213855e+03 
       6.366757503502e-04       2.477888630714e+03 
       6.806531987055e-04       2.640078036338e+03 
       7.277646369109e-04       2.812862062150e+03 
       7.781939722699e-04       2.996721878195e+03 
       8.321064200004e-04       3.192042901166e+03 
       8.896416214828e-04       3.399089738681e+03 
       9.509071667313e-04       3.617984017126e+03 
       1.015973154977e-03       3.848687294710e+03 
       1.084868398350e-03       4.090991289800e+03 
       1.157578733473e-03       4.344517102897e+03 
       1.234047668988e-03       4.608723839441e+03 
       1.314179308157e-03       4.882926250033e+03 
       1.397843206786e-03       5.166319298295e+03 
       1.484880617604e-03       5.458007342274e+03 
       1.575111470776e-03       5.757035573512e+03 
       1.668341452452e-03       6.062419312207e+03 
       1.764368646639e-03       6.373171275354e+03 
       1.862989361259e-03       6.688325271762e+03 
       1.964002926714e-03       7.006953193271e+03 
       2.067215403438e-03       7.328178485602e+03 
       2.172442246887e-03       7.651186476838e+03 
       2.279510049666e-03       7.975227316976e+03 
       2.388257515636e-03       8.299619310901e+03 
       2.498535828573e-03       8.623748434264e+03 
       2.610208567678e-03       8.947064669563e+03 
       2.723151302248e-03       9.269078396855e+03 
       2.837250974067e-03       9.589358304356e+03 
       2.952405152546e-03       9.907522529198e+03 
       3.068521226492e-03       1.022324184623e+04 
       3.185515578606e-03       1.053622349951e+04 
       3.303312774527e-03       1.084621668633e+04 
       3.421844787254e-03       1.115300446661e+04 
       3.541050269525e-03       1.145639860816e+04 
       3.660873880808e-03       1.175624222581e+04 
       3.781265671383e-03       1.205239724217e+04 
       3.902180523163e-03       1.234474965807e+04 
       4.023577645105e-03       1.263320475270e+04 
       4.145420119949e-03       1.291768078118e+04 
       4.267674498448e-03       1.319812016356e+04 
       4.390310437005e-03       1.347446592866e+04 
       4.513300374638e-03       1.374668155328e+04 
       4.636619245336e-03       1.401473559279e+04 
       4.760244222099e-03       1.427859994328e+04 
       4.884154489232e-03       1.453826725992e+04 
       5.008331039776e-03       1.479373478684e+04 
       5.132756495244e-03       1.504504950363e+04 
       5.257414945123e-03       1.529212368186e+04 
       5.382291803889e-03       1.553499472924e+04 
       5.507373683515e-03       1.577375468400e+04 
       5.632648279690e-03       1.600828659180e+04 
       5.758104270174e-03       1.623876351115e+04 
       5.883731223895e-03       1.646510566783e+04 
       6.009519519568e-03       1.668734828370e+04 
       6.135460272745e-03       1.690549659973e+04 
       6.261545270346e-03       1.711966480576e+04 
       6.387766911840e-03       1.732980300675e+04 
       6.514118156321e-03       1.753598857286e+04 
       6.640592474845e-03       1.773822000723e+04 
       6.767183807437e-03       1.793657680393e+04 
       6.893886524273e-03       1.813106923152e+04 
       7.020695390583e-03       1.832172368974e+04 
       7.147605534881e-03       1.850857222137e+04 
       7.274612420168e-03       1.869168847058e+04 
       7.401711817808e-03       1.887107719014e+04 
       7.528899783790e-03       1.904678902528e+04 
       7.656172637135e-03       1.921886154129e+04 
       7.783526940241e-03       1.938732459329e+04 
       7.910959480962e-03       1.955223056178e+04 
       8.038467256249e-03       1.971360811231e+04 
       8.166047457212e-03       1.987149714790e+04 
       8.293697455452e-03       2.002592991909e+04 
       8.421414790551e-03       2.017696055298e+04 
       8.549197158609e-03       2.032461878127e+04 
       8.677042401725e-03       2.046893860332e+04 
       8.804948498338e-03       2.060996669941e+04 
       8.932913554355e-03       2.074772809564e+04 
       9.060935794986e-03       2.088226548241e+04 
       9.189013557228e-03       2.101362429368e+04 
       9.317145282935e-03       2.114182527899e+04 
       9.445329512434e-03       2.126691574200e+04 
       9.573564878630e-03       2.138892942716e+04 
       9.701850101557e-03       2.150789170361e+04 
       9.830183983348e-03       2.162384845417e+04 
       9.958565403580e-03       2.173683281144e+04 
       1.008699331496e-02       2.184686843222e+04 
       1.021546673934e-02       2.195400077235e+04 
       1.034398476403e-02       2.205826080466e+04 
       1.047254653832e-02       2.215967894993e+04 
       1.060115127038e-02       2.225829710263e+04 
       1.072979822423e-02       2.235413936159e+04 
       1.085848671704e-02       2.244723946303e+04 
       1.098721611658e-02       2.253763214124e+04 
       1.111598583885e-02       2.262534837948e+04 
       1.124479534586e-02       2.271042066005e+04 
       1.137364414362e-02       2.279288117146e+04 
       1.150253178023e-02       2.287275626488e+04 
       1.163145784407e-02       2.295008035962e+04 
       1.176042196223e-02       2.302487848174e+04 
       1.188942379890e-02       2.309719363845e+04 
       1.201846305400e-02       2.316703723042e+04 
       1.214753946186e-02       2.323445867291e+04 
