# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 532.02 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248137e-05       4.749496620685e+01 
       2.342123619936e-05       1.031976034180e+02 
       3.639918320624e-05       1.579947291251e+02 
       4.945816035040e-05       2.124501448362e+02 
       6.263395117568e-05       2.668894174709e+02 
       7.596324752298e-05       3.215594372818e+02 
       8.948398149279e-05       3.766732584958e+02 
       1.032356722160e-04       4.324285112373e+02 
       1.172597919147e-04       4.890169183020e+02 
       1.316001557672e-04       5.466301023701e+02 
       1.463033400987e-04       6.054636435199e+02 
       1.614191333512e-04       6.657203073511e+02 
       1.770010240982e-04       7.276128284409e+02 
       1.931067299778e-04       7.913664220155e+02 
       2.097987707233e-04       8.572212826142e+02 
       2.271450873322e-04       9.254350301390e+02 
       2.452197076645e-04       9.962851470860e+02 
       2.641034561504e-04       1.070071543912e+03 
       2.838847015526e-04       1.147118982940e+03 
       3.046601315039e-04       1.227779579772e+03 
       3.265355354420e-04       1.312435178384e+03 
       3.496265681640e-04       1.401499429741e+03 
       3.740594541447e-04       1.495419529719e+03 
       3.999715777429e-04       1.594677228687e+03 
       4.275118865283e-04       1.699789147697e+03 
       4.568410147969e-04       1.811305533609e+03 
       4.881310134105e-04       1.929807512042e+03 
       5.215645531762e-04       2.055902088976e+03 
       5.573334565125e-04       2.190214454164e+03 
       5.956364123964e-04       2.333377180943e+03 
       6.366757503502e-04       2.486015857854e+03 
       6.806531987055e-04       2.648731151013e+03 
       7.277646369109e-04       2.822077496059e+03 
       7.781939722699e-04       3.006539000051e+03 
       8.321064200004e-04       3.202504152722e+03 
       8.896416214828e-04       3.410240710734e+03 
       9.509071667313e-04       3.629873462879e+03 
       1.015973154977e-03       3.861367031138e+03 
       1.084868398350e-03       4.104515964184e+03 
       1.157578733473e-03       4.358943778746e+03 
       1.234047668988e-03       4.624111413310e+03 
       1.314179308157e-03       4.899334674522e+03 
       1.397843206786e-03       5.183808623520e+03 
       1.484880617604e-03       5.476636730008e+03 
       1.575111470776e-03       5.776862195496e+03 
       1.668341452452e-03       6.083497348898e+03 
       1.764368646639e-03       6.395551020366e+03 
       1.862989361259e-03       6.712052510147e+03 
       1.964002926714e-03       7.032068842666e+03 
       2.067215403438e-03       7.354718534095e+03 
       2.172442246887e-03       7.679182243132e+03 
       2.279510049666e-03       8.004705984414e+03 
       2.388257515636e-03       8.330604508418e+03 
       2.498535828573e-03       8.656260891539e+03 
       2.610208567678e-03       8.981122840652e+03 
       2.723151302248e-03       9.304698915884e+03 
       2.837250974067e-03       9.626556328024e+03 
       2.952405152546e-03       9.946311773732e+03 
       3.068521226492e-03       1.026363460063e+04 
       3.185515578606e-03       1.057823033227e+04 
       3.303312774527e-03       1.088984620078e+04 
       3.421844787254e-03       1.119826308918e+04 
       3.541050269525e-03       1.150329026916e+04 
       3.660873880808e-03       1.180476846519e+04 
       3.781265671383e-03       1.210255712382e+04 
       3.902180523163e-03       1.239654006199e+04 
       4.023577645105e-03       1.268662075017e+04 
       4.145420119949e-03       1.297271596138e+04 
       4.267674498448e-03       1.325476709970e+04 
       4.390310437005e-03       1.353271656150e+04 
       4.513300374638e-03       1.380652746657e+04 
       4.636619245336e-03       1.407616800200e+04 
       4.760244222099e-03       1.434160982365e+04 
       4.884154489232e-03       1.460284519763e+04 
       5.008331039776e-03       1.485987089762e+04 
       5.132756495244e-03       1.511273330856e+04 
       5.257414945123e-03       1.536134313299e+04 
       5.382291803889e-03       1.560573677088e+04 
       5.507373683515e-03       1.584600542106e+04 
       5.632648279690e-03       1.608203002905e+04 
       5.758104270174e-03       1.631398338040e+04 
       5.883731223895e-03       1.654178427104e+04 
       6.009519519568e-03       1.676546718410e+04 
       6.135460272745e-03       1.698503664117e+04 
