# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423304265839e-10       4.161443404031e-15       3.795168075513e-13       0.000000000000e+00       8.228597262834e-09       4.314227176512e-10      -1.840045790100e-12 
    3       1.347564395852e-10       5.343069126135e-15       4.238381371468e-13       0.000000000000e+00       5.062855534466e-09       3.069346173011e-10      -1.394934483565e-12 
    4       1.273952692130e-10       4.631328873708e-15       3.946207193647e-13       0.000000000000e+00       3.517830489818e-09       2.326861336656e-10      -9.149096136368e-13 
    5       1.217610807314e-10       3.096247132292e-15       3.343055210146e-13       0.000000000000e+00       2.624805113241e-09       1.838289502445e-10      -5.103205057098e-13 
    6       1.177927370517e-10       1.733660905962e-15       2.672851839887e-13       0.000000000000e+00       2.049923284574e-09       1.495288298974e-10      -2.117271271971e-13 
    7       1.151093346146e-10       9.355730044510e-16       2.077687610213e-13       0.000000000000e+00       1.653666844392e-09       1.243404167757e-10      -2.077430028244e-14 
    8       1.134311165463e-10       6.011279658145e-16       1.620295871177e-13       0.000000000000e+00       1.366746355641e-09       1.052391654505e-10       7.719054882385e-14 
    9       1.125077512745e-10       4.813069185443e-16       1.314373906989e-13       0.000000000000e+00       1.150909240271e-09       9.041660339758e-11       1.052080021016e-13 
   10       1.121127376757e-10       4.102347387776e-16       1.145459870631e-13       0.000000000000e+00       9.836259852553e-10       7.867213844102e-11       8.889669318277e-14 
   11       1.121814105717e-10       3.448818880152e-16       1.084383894458e-13       0.000000000000e+00       8.286137378171e-10       6.949813557036e-11       5.221557638808e-14 
