# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423294641608e-10       4.161673736198e-15       3.795135667915e-13       2.267835591005e-19       8.228580317993e-09       4.314225127193e-10      -1.840046339410e-12 
    3       1.347559566918e-10       5.343527071631e-15       4.238346084602e-13       4.536609151563e-19       5.062836609468e-09       3.069341543866e-10      -1.394934828330e-12 
    4       1.273954651546e-10       4.632088490109e-15       3.946173444862e-13       7.563080883224e-19       3.517815862351e-09       2.326856451562e-10      -9.149097078424e-13 
    5       1.217621230070e-10       3.097383681669e-15       3.343023761423e-13       1.134844977993e-18       2.624793569427e-09       1.838284562355e-10      -5.103204180748e-13 
    6       1.177947702372e-10       1.735250979739e-15       2.672822156277e-13       1.589417140421e-18       2.049913669400e-09       1.495283158485e-10      -2.117269325304e-13 
    7       1.151124969610e-10       9.376935405463e-16       2.077659400221e-13       2.120193103299e-18       1.653658668060e-09       1.243399360934e-10      -2.077406088738e-14 
    8       1.134355358301e-10       6.038557273594e-16       1.620268681130e-13       2.727361327549e-18       1.366739183150e-09       1.052387678830e-10       7.719080603162e-14 
    9       1.125135606685e-10       4.847184982975e-16       1.314346637543e-13       3.411126905817e-18       1.150902788958e-09       9.041624100169e-11       1.052082599040e-13 
   10       1.121200792751e-10       4.144067526243e-16       1.145430238470e-13       4.171708093563e-18       9.836200946603e-10       7.867174175845e-11       8.889690280562e-14 
   11       1.121904029169e-10       3.498912809199e-16       1.084348750444e-13       5.009332771577e-18       8.286092182386e-10       6.949776326693e-11       5.221567910793e-14 
   12       1.125761979454e-10       3.061905306824e-16       1.097541957073e-13       5.924234938390e-18       7.238965200734e-10       6.141372114754e-11       1.272304005841e-14 
   13       1.132244717136e-10       2.945452938262e-16       1.155129958066e-13       6.916651327181e-18       6.379471129832e-10       5.486483929869e-11      -1.755340503410e-14 
   14       1.140819662724e-10       3.073471939913e-16       1.234663880847e-13       7.986818234817e-18       5.664464931152e-10       4.914394687021e-11      -3.426913034667e-14 
   15       1.151378921080e-10       3.328413479483e-16       1.322156551275e-13       9.134968640693e-18       5.062686250203e-10       4.434543482373e-11      -3.749054093891e-14 
   16       1.163197366814e-10       3.683192951350e-16       1.410025791845e-13       1.036132968062e-17       4.551096389768e-10       4.021664222823e-11      -3.107680801226e-14 
   17       1.176471199568e-10       4.192802152380e-16       1.496136133477e-13       1.166612052648e-17       4.112291956274e-10       3.661683220094e-11      -2.016460974531e-14 
   18       1.190587205096e-10       4.912152156483e-16       1.583423269098e-13       1.304955053056e-17       3.731477023118e-10       3.347388768484e-11      -9.646377859397e-15 
   19       1.205654910095e-10       5.845019799991e-16       1.674222687208e-13       1.451181888379e-17       3.402604136542e-10       3.074507655415e-11      -2.158429817967e-15 
   20       1.221562767198e-10       6.971870245371e-16       1.770095523902e-13       1.605311190055e-17       3.112979942071e-10       2.832695982673e-11       5.404083804085e-16 
   21       1.238339266973e-10       8.286404469758e-16       1.871020288991e-13       1.767360543072e-17       2.858048593583e-10       2.617481479235e-11      -1.024329400347e-15 
   22       1.255740934778e-10       9.783768570988e-16       1.975626222393e-13       1.937346188456e-17       2.631707196128e-10       2.423102209452e-11      -5.144459688812e-15 
   23       1.273796390932e-10       1.146627347059e-15       2.080411999464e-13       2.115283404659e-17       2.430840073881e-10       2.248537791087e-11      -1.008705424122e-14 
   24       1.292408212737e-10       1.333650337358e-15       2.180782996215e-13       2.301186204832e-17       2.250799282366e-10       2.092137367491e-11      -1.399039033688e-14 
   25       1.311614171427e-10       1.539477593718e-15       2.273886166785e-13       2.495067882736e-17       2.089463902077e-10       1.952301323890e-11      -1.600144661426e-14 
   26       1.331326521387e-10       1.764303354232e-15       2.357412471879e-13       2.696940647697e-17       1.943910517810e-10       1.825995139898e-11      -1.575494929085e-14 
   27       1.351471870469e-10       2.010122263060e-15       2.430142975236e-13       2.906816149324e-17       1.812390353370e-10       1.711271742618e-11      -1.384760667479e-14 
   28       1.371894835898e-10       2.279480311226e-15       2.491510548784e-13       3.124705228150e-17       1.692633213730e-10       1.605836469917e-11      -1.126973520318e-14 
   29       1.392687974400e-10       2.573863528895e-15       2.542170616127e-13       3.350618771824e-17       1.584026202602e-10       1.509528268498e-11      -8.679497847373e-15 
   30       1.413908513628e-10       2.894425757486e-15       2.583557385575e-13       3.584567000839e-17       1.485401871950e-10       1.422028177987e-11      -6.750529159725e-15 
   31       1.435506454202e-10       3.242258873750e-15       2.617156046392e-13       3.826559465993e-17       1.394746835111e-10       1.342185371405e-11      -6.108222844640e-15 
   32       1.457509240695e-10       3.618285736870e-15       2.642538519909e-13       4.076606128657e-17       1.311591895091e-10       1.269139980857e-11      -6.584279582992e-15 
   33       1.479878932505e-10       4.023313760282e-15       2.658584271725e-13       4.334716664459e-17       1.235347923076e-10       1.201452719136e-11      -7.670232170386e-15 
   34       1.502508120967e-10       4.458097596542e-15       2.663995519869e-13       4.600900333676e-17       1.164946627709e-10       1.137376964422e-11      -8.795670583126e-15 
   35       1.525423065555e-10       4.923490825911e-15       2.657387613248e-13       4.875166516316e-17       1.100026951952e-10       1.077128331961e-11      -9.669678597576e-15 
   36       1.548634153199e-10       5.420338380339e-15       2.637203214908e-13       5.157524375666e-17       1.040067373178e-10       1.021338303430e-11      -1.005002281279e-14 
   37       1.572107064319e-10       5.949438437518e-15       2.602013206233e-13       5.447982677943e-17       9.842867253516e-11       9.703550973045e-12      -9.738955254540e-15 
   38       1.595877511819e-10       6.511562998183e-15       2.551683305631e-13       5.746549620818e-17       9.325405324186e-11       9.239819933705e-12      -8.886789011586e-15 
   39       1.619962723747e-10       7.107437647680e-15       2.486599043468e-13       6.053232961310e-17       8.846643329827e-11       8.816028065577e-12      -7.792288870604e-15 
   40       1.644323188687e-10       7.737731410762e-15       2.407370881050e-13       6.368040069648e-17       8.402010444793e-11       8.422116236242e-12      -6.827493266135e-15 
   41       1.668894211167e-10       8.403075444450e-15       2.314594008025e-13       6.690977650820e-17       7.985601272829e-11       8.047164618626e-12      -6.340246000565e-15 
   42       1.693707097066e-10       9.104135151855e-15       2.208001052183e-13       7.022050785554e-17       7.596187464947e-11       7.690447765616e-12      -6.312249540216e-15 
