# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423262693640e-10       4.161480443798e-15       3.794133663590e-13       0.000000000000e+00       8.232705616570e-09       4.318477307881e-10      -1.840051281413e-12 
    3       1.347615604725e-10       5.343106545027e-15       4.237273269651e-13       0.000000000000e+00       5.065541426019e-09       3.073382254759e-10      -1.394939381711e-12 
    4       1.274084457396e-10       4.631358574506e-15       3.945192566043e-13       0.000000000000e+00       3.519867517910e-09       2.330730826701e-10      -9.149103380325e-13 
    5       1.217809495567e-10       3.096262864132e-15       3.342201449007e-13       0.000000000000e+00       2.626436131375e-09       1.842012998121e-10      -5.103170174638e-13 
    6       1.178180667542e-10       1.733665625686e-15       2.672172802694e-13       0.000000000000e+00       2.051265968718e-09       1.498879074453e-10      -2.117200575001e-13 
    7       1.151390391413e-10       9.355737756786e-16       2.077166629386e-13       0.000000000000e+00       1.654798652524e-09       1.246872374506e-10      -2.076434945078e-14 
    8       1.134641669965e-10       6.011294637865e-16       1.619900899804e-13       0.000000000000e+00       1.367714377612e-09       1.055742828554e-10       7.720271260027e-14 
    9       1.125433215991e-10       4.813096257772e-16       1.314069863625e-13       0.000000000000e+00       1.151745929998e-09       9.074050701052e-11       1.052218280772e-13 
   10       1.121501886635e-10       4.102363359128e-16       1.145213324142e-13       0.000000000000e+00       9.843557591411e-10       7.898544487781e-11       8.891175828489e-14 
   11       1.122201182483e-10       3.448799726908e-16       1.084166426517e-13       0.000000000000e+00       8.292410696296e-10       6.979956136605e-11       5.223140239325e-14 
   12       1.126050316796e-10       3.002599446498e-16       1.097378372517e-13       0.000000000000e+00       7.244584195340e-10       6.170619076834e-11       1.273959182700e-14 
   13       1.132520330605e-10       2.876174182826e-16       1.154976990522e-13       0.000000000000e+00       6.384496757328e-10       5.514842762258e-11      -1.753629615044e-14 
   14       1.141080613545e-10       2.993431337397e-16       1.234515643748e-13       0.000000000000e+00       5.668984372687e-10       4.941887411170e-11      -3.425169065596e-14 
   15       1.151624280837e-10       3.236816917373e-16       1.322006385041e-13       0.000000000000e+00       5.066770323529e-10       4.461192833729e-11      -3.747277026677e-14 
   16       1.163427093408e-10       3.579246832476e-16       1.409871344877e-13       0.000000000000e+00       4.554800738162e-10       4.047512150309e-11      -3.105867816120e-14 
   17       1.176683139618e-10       4.075705880174e-16       1.495975460974e-13       0.000000000000e+00       4.115665112916e-10       3.686780376706e-11      -2.014584958126e-14 
   18       1.190779976568e-10       4.781110701321e-16       1.583250925166e-13       0.000000000000e+00       3.734556947236e-10       3.371749971174e-11      -9.626876365304e-15 
   19       1.205827175637e-10       5.699244395087e-16       1.674036127815e-13       0.000000000000e+00       3.405425574342e-10       3.098153328432e-11      -2.138098122169e-15 
   20       1.221712378941e-10       6.810575200959e-16       1.769897530587e-13       0.000000000000e+00       3.115570615216e-10       2.855651207291e-11       5.617117909225e-16 
   21       1.238463666474e-10       8.108791236760e-16       1.870813055098e-13       0.000000000000e+00       2.860433891242e-10       2.639783081751e-11      -1.001946362255e-15 
   22       1.255837260776e-10       9.589022114667e-16       1.975409894631e-13       0.000000000000e+00       2.633908442427e-10       2.444786984096e-11      -5.120982834979e-15 
   23       1.273862047423e-10       1.125358465814e-15       2.080189444908e-13       0.000000000000e+00       2.432876255316e-10       2.269629276764e-11      -1.006262802627e-14 
   24       1.292441115415e-10       1.310507700771e-15       2.180562119141e-13       0.000000000000e+00       2.252685712949e-10       2.112638029203e-11      -1.396532112231e-14 
   25       1.311612966551e-10       1.514382244211e-15       2.273680607633e-13       0.000000000000e+00       2.091214677602e-10       1.972232520669e-11      -1.597598796623e-14 
   26       1.331290586554e-10       1.737176412543e-15       2.357241879111e-13       0.000000000000e+00       1.945538015627e-10       1.845400408759e-11      -1.572921693594e-14 
   27       1.351400746311e-10       1.980883717028e-15       2.430030260727e-13       0.000000000000e+00       1.813905781199e-10       1.730180870754e-11      -1.382160406831e-14 
   28       1.371788073625e-10       2.248048412540e-15       2.491479847472e-13       0.000000000000e+00       1.694046055851e-10       1.624252661012e-11      -1.124337417458e-14 
   29       1.392545575981e-10       2.540154721456e-15       2.542242080585e-13       0.000000000000e+00       1.585345497079e-10       1.527457637065e-11      -8.652722593394e-15 
