# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423267320815e-10       4.161707433932e-15       3.794133623592e-13       2.269900899842e-19       8.232705616570e-09       4.318477307881e-10      -1.840051281413e-12 
    3       1.347624837619e-10       5.343560619511e-15       4.237273091380e-13       4.540740543160e-19       5.065541426019e-09       3.073382254759e-10      -1.394939381711e-12 
    4       1.274099798449e-10       4.632115573438e-15       3.945192053730e-13       7.569968233694e-19       3.519867517910e-09       2.330730826701e-10      -9.149103380325e-13 
    5       1.217832420192e-10       3.097398749741e-15       3.342200281699e-13       1.135878393683e-18       2.626436131375e-09       1.842012998121e-10      -5.103170174638e-13 
    6       1.178212618685e-10       1.735256509785e-15       2.672170506904e-13       1.590864437928e-18       2.051265968718e-09       1.498879074453e-10      -2.117200575001e-13 
    7       1.151432774918e-10       9.376959449945e-16       2.077162554137e-13       2.122123616440e-18       1.654798652524e-09       1.246872374506e-10      -2.076434945078e-14 
    8       1.134695850844e-10       6.038594026877e-16       1.619894194401e-13       2.729844535608e-18       1.367714377612e-09       1.055742828554e-10       7.720271260027e-14 
    9       1.125500515661e-10       4.847240359003e-16       1.314059458385e-13       3.414232442766e-18       1.151745929998e-09       9.074050701052e-11       1.052218280772e-13 
   10       1.121583581159e-10       4.144121521914e-16       1.145197914228e-13       4.175505753594e-18       9.843557591411e-10       7.898544487781e-11       8.891175828489e-14 
   11       1.122298501802e-10       3.498943752901e-16       1.084144458940e-13       5.013892511011e-18       8.292410696296e-10       6.979956136605e-11       5.223140239325e-14 
   12       1.126164444928e-10       3.061903663383e-16       1.097348036275e-13       5.929626874156e-18       7.244584195340e-10       6.170619076834e-11       1.273959182700e-14 
   13       1.132652406733e-10       2.945415468117e-16       1.154936209793e-13       6.922945732177e-18       6.384496757328e-10       5.514842762258e-11      -1.753629615044e-14 
   14       1.141231733902e-10       3.073389088654e-16       1.234462073963e-13       7.994085530584e-18       5.668984372687e-10       4.941887411170e-11      -3.425169065596e-14 
   15       1.151795501265e-10       3.328272965988e-16       1.321937411635e-13       9.143279387913e-18       5.066770323529e-10       4.461192833729e-11      -3.747277026677e-14 
   16       1.163619432456e-10       3.682985299212e-16       1.409784084476e-13       1.037075456802e-17       4.554800738162e-10       4.047512150309e-11      -3.105867816120e-14 
   17       1.176897582009e-10       4.192512971792e-16       1.495866764741e-13       1.167673035878e-17       4.115665112916e-10       3.686780376706e-11      -2.014584958126e-14 
   18       1.191017476965e-10       4.911774450223e-16       1.583117384157e-13       1.306141621575e-17       3.734556947236e-10       3.371749971174e-11      -9.626876365304e-15 
   19       1.206088662095e-10       5.844554336525e-16       1.673874079417e-13       1.452501142230e-17       3.405425574342e-10       3.098153328432e-11      -2.138098122169e-15 
   20       1.221998757046e-10       6.971322009691e-16       1.769703067612e-13       1.606770237191e-17       3.115570615216e-10       2.855651207291e-11       5.617117909225e-16 
   21       1.238775822144e-10       8.285766305026e-16       1.870582034452e-13       1.768966498614e-17       2.860433891242e-10       2.639783081751e-11      -1.001946362255e-15 
   22       1.256176063848e-10       9.783017090330e-16       1.975137948861e-13       1.939106173667e-17       2.633908442427e-10       2.444786984096e-11      -5.120982834979e-15 
   23       1.274228353495e-10       1.146539095520e-15       2.079871992991e-13       2.117204546619e-17       2.432876255316e-10       2.269629276764e-11      -1.006262802627e-14 
   24       1.292835768487e-10       1.333548527463e-15       2.180194380237e-13       2.303275635835e-17       2.252685712949e-10       2.112638029203e-11      -1.396532112231e-14 
   25       1.312036799453e-10       1.539362204328e-15       2.273257614068e-13       2.497332740503e-17       2.091214677602e-10       1.972232520669e-11      -1.597598796623e-14 
   26       1.331744422360e-10       1.764174256726e-15       2.356758492426e-13       2.699388075257e-17       1.945538015627e-10       1.845400408759e-11      -1.572921693594e-14 
   27       1.351885397721e-10       2.009977956356e-15       2.429481187683e-13       2.909453295612e-17       1.813905781199e-10       1.730180870754e-11      -1.382160406831e-14 
   28       1.372304342968e-10       2.279317261037e-15       2.490859659010e-13       3.127539248366e-17       1.694046055851e-10       1.624252661012e-11      -1.124337417458e-14 
   29       1.393094252417e-10       2.573676053308e-15       2.541545232000e-13       3.353656828623e-17       1.585345497079e-10       1.527457637065e-11      -8.652722593394e-15 
   30       1.414312944335e-10       2.894205667712e-15       2.582964908265e-13       3.587816264996e-17       1.486635724413e-10       1.439486430803e-11      -6.723372187982e-15 
   31       1.435910920099e-10       3.241995724148e-15       2.616595966650e-13       3.830027117032e-17       1.395901736658e-10       1.359194569168e-11      -6.080809293716e-15 
   32       1.457915599051e-10       3.617969610898e-15       2.642007347797e-13       4.080299356008e-17       1.312674079924e-10       1.285724268828e-11      -6.556746684310e-15 
   33       1.480288738791e-10       4.022936529448e-15       2.658076879255e-13       4.338642668431e-17       1.236363312383e-10       1.217633864542e-11      -7.642702092236e-15 
   34       1.502922517656e-10       4.457653185840e-15       2.663505420744e-13       4.605066326243e-17       1.165900413380e-10       1.153171462007e-11      -8.768236479567e-15 
   35       1.525842912445e-10       4.922974121993e-15       2.656908599228e-13       4.879579721409e-17       1.100923993613e-10       1.092550776203e-11      -9.642361823988e-15 
   36       1.549059981356e-10       5.419745060677e-15       2.636730161507e-13       5.162192029926e-17       1.040911983329e-10       1.036400074584e-11      -1.002274716883e-14 
   37       1.572538994577e-10       5.948765001974e-15       2.601541599284e-13       5.452912031085e-17       9.850824510849e-11       9.850630677902e-12      -9.711559493977e-15 
   38       1.596315302804e-10       6.510806224330e-15       2.551205467297e-13       5.751747934041e-17       9.332908074508e-11       9.383440431753e-12      -8.859148792747e-15 
   39       1.620405720488e-10       7.106594438035e-15       2.486102545441e-13       6.058707507087e-17       8.853724983191e-11       8.956284357945e-12      -7.764366361953e-15 
   40       1.644770228443e-10       7.736798792490e-15       2.406837787897e-13       6.373798132075e-17       8.408701090585e-11       8.559105584369e-12      -6.799359360156e-15 
   41       1.669343647189e-10       8.402050790749e-15       2.314002516735e-13       6.697026525087e-17       7.991926515655e-11       8.180977669112e-12      -6.312068593687e-15 
   42       1.694157237528e-10       9.103017158238e-15       2.207335356447e-13       7.028397774373e-17       7.602171937653e-11       7.821180310635e-12      -6.284163166448e-15 
   43       1.719246756747e-10       9.840344589947e-15       2.086310939659e-13       7.367915999524e-17       7.238400869986e-11       7.481197099659e-12      -6.569723451698e-15 
   44       1.744615047957e-10       1.061463721620e-14       1.950364000940e-13       7.715584596620e-17       6.897964360606e-11       7.161585235842e-12      -6.985617555589e-15 
   45       1.770245984951e-10       1.142644730423e-14       1.798939536794e-13       8.071405870385e-17       6.577546615158e-11       6.862107509844e-12      -7.352441678818e-15 
   46       1.796159103017e-10       1.227624896840e-14       1.631670044721e-13       8.435379831928e-17       6.276641443613e-11       6.582376117920e-12      -7.637351131012e-15 
   47       1.822365652275e-10       1.316445304853e-14       1.448244864011e-13       8.807505018186e-17       5.994896806040e-11       6.321256363828e-12      -7.850021744760e-15 
   48       1.848850484422e-10       1.409141119968e-14       1.248360204967e-13       9.187778781556e-17       5.731066296337e-11       6.076595347106e-12      -8.003306421065e-15 
   49       1.875569726562e-10       1.505741338882e-14       1.031718487712e-13       9.576197255757e-17       5.482942643609e-11       5.845149254117e-12      -8.113427588458e-15 
   50       1.902473838117e-10       1.606268687016e-14       7.980248419219e-14       9.972755313371e-17       5.248022131477e-11       5.623514359759e-12      -8.199184765927e-15 
   51       1.929589556514e-10       1.710739859087e-14       5.469770198835e-14       1.037744650409e-16       5.025864747010e-11       5.411386637910e-12      -8.278877166727e-15 
   52       1.956956173795e-10       1.819164911125e-14       2.782716025405e-14       1.079026304070e-16       4.816259720590e-11       5.209061253511e-12      -8.372878447526e-15 
   53       1.984600992773e-10       1.931546880728e-14      -8.394176667561e-16       1.121119577221e-16       4.618519259118e-11       5.016481311570e-12      -8.504691241350e-15 
   54       2.012538195352e-10       2.047881543687e-14      -3.133232265994e-14       1.164023414930e-16       4.431446443524e-11       4.833212381657e-12      -8.701093268628e-15 
   55       2.040773632040e-10       2.168160888646e-14      -6.367720334565e-14       1.207736699943e-16       4.253700158056e-11       4.658661057728e-12      -8.983193071623e-15 
   56       2.069323176358e-10       2.292385109426e-14      -9.787955989453e-14       1.252258515661e-16       4.085069583269e-11       4.492852580746e-12      -9.336660522391e-15 
   57       2.098196947836e-10       2.420553165570e-14      -1.339365373570e-13       1.297587942443e-16       3.925460084426e-11       4.335801771858e-12      -9.734356858892e-15 
   58       2.127392908949e-10       2.552659228959e-14      -1.718412213908e-13       1.343723982078e-16       3.774507647608e-11       4.187270302043e-12      -1.014457359237e-14 
   59       2.156895964131e-10       2.688692585300e-14      -2.115825332216e-13       1.390665557479e-16       3.631562245998e-11       4.046750724479e-12      -1.053082444791e-14 
   60       2.186677058801e-10       2.828637535617e-14      -2.531451246042e-13       1.438411512395e-16       3.495671206163e-11       3.913450506897e-12      -1.085163730493e-14 
   61       2.216706166161e-10       2.972466867967e-14      -2.965118840255e-13       1.486960762868e-16       3.365843602513e-11       3.786513032199e-12      -1.107011864383e-14 
   62       2.246996692278e-10       3.120120783149e-14      -3.416723503067e-13       1.536312792047e-16       3.241950420411e-11       3.665774691175e-12      -1.118562628486e-14 
   63       2.277569484755e-10       3.271523042302e-14      -3.886160097253e-13       1.586467266420e-16       3.123997847044e-11       3.551150165896e-12      -1.120886908446e-14 
   64       2.308439373259e-10       3.426586682730e-14      -4.373298296732e-13       1.637423898270e-16       3.011856508573e-11       3.442402175602e-12      -1.115286176032e-14 
   65       2.339614709182e-10       3.585213715373e-14      -4.877982364704e-13       1.689182450196e-16       2.905253753235e-11       3.339133027888e-12      -1.103302690610e-14 
   66       2.371096905315e-10       3.747294822287e-14      -5.400030931787e-13       1.741742739631e-16       2.803765934432e-11       3.240776169890e-12      -1.086729700627e-14 
   67       2.402879975516e-10       3.912709054117e-14      -5.939236774152e-13       1.795104643352e-16       2.706810693825e-11       3.146587739462e-12      -1.067621645079e-14 
   68       2.434956454631e-10       4.081335441052e-14      -6.495378164910e-13       1.849268184396e-16       2.613802406762e-11       3.055838186273e-12      -1.047901588326e-14 
   69       2.467337580178e-10       4.253091233896e-14      -7.068256095096e-13       1.904233803150e-16       2.524672343474e-11       2.968451107972e-12      -1.028068352929e-14 
   70       2.500036391834e-10       4.427900903781e-14      -7.657664230726e-13       1.960002149555e-16       2.439440527516e-11       2.884479275976e-12      -1.008244540615e-14 
   71       2.533061421174e-10       4.605684916415e-14      -8.263378079652e-13       2.016574012078e-16       2.358058418618e-11       2.803912746607e-12      -9.885560223740e-15 
   72       2.566416394518e-10       4.786359734250e-14      -8.885155065695e-13       2.073950324332e-16       2.280405368729e-11       2.726675529146e-12      -9.691318389921e-15 
   73       2.600099935778e-10       4.969837818654e-14      -9.522734602769e-13       2.132132171705e-16       2.206285078063e-11       2.652622253898e-12      -9.501041015953e-15 
   74       2.634105269301e-10       5.156027632076e-14      -1.017583816901e-12       2.191120797980e-16       2.135422051142e-11       2.581534840253e-12      -9.316078921857e-15 
   75       2.668419922720e-10       5.344833640215e-14      -1.084416938090e-12       2.250917611959e-16       2.067458052843e-11       2.513119164745e-12      -9.137811641798e-15 
   76       2.703031661802e-10       5.536150871352e-14      -1.152740816462e-12       2.311524125400e-16       2.002040985613e-11       2.447082901760e-12      -8.967580297830e-15 
   77       2.737948201318e-10       5.729847444137e-14      -1.222519187910e-12       2.372941739111e-16       1.939118066136e-11       2.383392798508e-12      -8.806474287896e-15 
   78       2.773180565374e-10       5.925778842797e-14      -1.293713086935e-12       2.435171929700e-16       1.878689920580e-11       2.322058479891e-12      -8.655503711619e-15 
   79       2.808737007660e-10       6.123792969645e-14      -1.366281401772e-12       2.498216319936e-16       1.820721284154e-11       2.263053797450e-12      -8.515659738434e-15 
   80       2.844622842087e-10       6.323730035642e-14      -1.440180869695e-12       2.562076683963e-16       1.765139352317e-11       2.206315161935e-12      -8.387912256888e-15 
   81       2.880840273420e-10       6.525422450959e-14      -1.515366072328e-12       2.626754952516e-16       1.711832131999e-11       2.151739875881e-12      -8.273207523942e-15 
