# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 2117.76 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048922487945e-05       4.749624126590e+01 
       2.342027282746e-05       1.031953044403e+02 
       3.639714535071e-05       1.579889450295e+02 
       4.945503057694e-05       2.124408745216e+02 
       6.262970311121e-05       2.668766056384e+02 
       7.595784550446e-05       3.215429834773e+02 
       8.947738007726e-05       3.766530259969e+02 
       1.032278155438e-04       4.324043251910e+02 
       1.172506129147e-04       4.889885502325e+02 
       1.315895751921e-04       5.465972912519e+02 
       1.462912653725e-04       6.054260789915e+02 
       1.614054572125e-04       6.656776355250e+02 
       1.769856230178e-04       7.275646232246e+02 
       1.930894623288e-04       7.913122036501e+02 
       2.097794746802e-04       8.571605073871e+02 
       2.271235784767e-04       9.253670651243e+02 
       2.451957762752e-04       9.962092970779e+02 
       2.640768641623e-04       1.069986990838e+03 
       2.838551791765e-04       1.147024827270e+03 
       3.046273735132e-04       1.227674805936e+03 
       3.264991971518e-04       1.312318646947e+03 
       3.495862611624e-04       1.401369852232e+03 
       3.740147418734e-04       1.495275458075e+03 
       3.999219710831e-04       1.594517118946e+03 
       4.274568396192e-04       1.699611207420e+03 
       4.567799214009e-04       1.811107857616e+03 
       4.880632042381e-04       1.929588010028e+03 
       5.214892946895e-04       2.055658513270e+03 
       5.572499518189e-04       2.189944433535e+03 
       5.955438049075e-04       2.333078188041e+03 
       6.365731308763e-04       2.485685335098e+03 
       6.805396165544e-04       2.648366565143e+03 
       7.276391153208e-04       2.821676347830e+03 
       7.780555281153e-04       3.006098989271e+03 
       8.319540871779e-04       3.202023266194e+03 
       8.894744767704e-04       3.409717327843e+03 
       9.507243563319e-04       3.629306496862e+03 
       1.015773919542e-03       3.860756041350e+03 
       1.084652094176e-03       4.103861233213e+03 
       1.157344847848e-03       4.358246424226e+03 
       1.233795828317e-03       4.623373343448e+03 
       1.313909278409e-03       4.898558749725e+03 
       1.397554886744e-03       5.182998543846e+03 
       1.484574026208e-03       5.475797257826e+03 
       1.574786730347e-03       5.775998536381e+03 
       1.667998769721e-03       6.082615872093e+03 
       1.764008293355e-03       6.394658855283e+03 
       1.862611655798e-03       6.711157408736e+03 
       1.963608217632e-03       7.031179108234e+03 
       2.066804055513e-03       7.353843804468e+03 
       2.172014629802e-03       7.678332128918e+03 
       2.279066529246e-03       8.003891440296e+03 
       2.387798447374e-03       8.329837165155e+03 
       2.498061553115e-03       8.655552512044e+03 
       2.609719407898e-03       8.980485482481e+03 
       2.722647561584e-03       9.304145975618e+03 
       2.836732935805e-03       9.626100695264e+03 
       2.951873079806e-03       9.945967836913e+03 
       3.067975362706e-03       1.026341370594e+04 
       3.184956148321e-03       1.057814608880e+04 
       3.302739984428e-03       1.088991137835e+04 
       3.421258827289e-03       1.119848913527e+04 
       3.540451314085e-03       1.150368845118e+04 
       3.660262089908e-03       1.180534662552e+04 
       3.780641191812e-03       1.210332431545e+04 
       3.901543489580e-03       1.239750266615e+04 
       4.022928181076e-03       1.268778334031e+04 
       4.144758338911e-03       1.297408445976e+04 
       4.267000504602e-03       1.325633915960e+04 
       4.389624326132e-03       1.353449498037e+04 
       4.512602234853e-03       1.380850876272e+04 
       4.635909157771e-03       1.407835167823e+04 
       4.759522261524e-03       1.434399113632e+04 
       4.883420724620e-03       1.460541498806e+04 
       5.007585534815e-03       1.486262690157e+04 
       5.131999308797e-03       1.511552645065e+04 
       5.256646131653e-03       1.536422930297e+04 
       5.381511413834e-03       1.560868913046e+04 
