# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423022386845e-10       4.161715037755e-15       3.794390587671e-13       2.266449489634e-19       8.228446827274e-09       4.314344967050e-10      -1.840050295046e-12 
    3       1.347288684108e-10       5.343569823607e-15       4.237536265052e-13       4.533836699652e-19       5.062547431065e-09       3.069371861695e-10      -1.394940179667e-12 
    4       1.273695047814e-10       4.632122788407e-15       3.945417933725e-13       7.558459580446e-19       3.517594615496e-09       2.326855924854e-10      -9.149127465100e-13 
    5       1.217376274841e-10       3.097402208235e-15       3.342370489470e-13       1.134151680510e-18       2.624624814464e-09       1.838268378825e-10      -5.103210229420e-13 
    6       1.177718438832e-10       1.735256566928e-15       2.672282594153e-13       1.588446354458e-18       2.049774898161e-09       1.495259711999e-10      -2.117256605677e-13 
    7       1.150912216552e-10       9.376937828063e-16       2.077225277794e-13       2.118898461956e-18       1.653542175195e-09       1.243373023881e-10      -2.077145895897e-14 
    8       1.134158915544e-10       6.038556684751e-16       1.619922775911e-13       2.725696412503e-18       1.366636848595e-09       1.052357999033e-10       7.719421294659e-14 
    9       1.124955321510e-10       4.847186336739e-16       1.314068194254e-13       3.409045242278e-18       1.150809552417e-09       9.041299300381e-11       1.052119820268e-13 
   10       1.121036437541e-10       4.144046991069e-16       1.145198865656e-13       4.169163146003e-18       9.835336189801e-10       7.866852914563e-11       8.890053177664e-14 
   11       1.121755060476e-10       3.498844579290e-16       1.084146518890e-13       5.006277940285e-18       8.285438699513e-10       6.949510152426e-11       5.221885693766e-14 
   12       1.125628202224e-10       3.061777392259e-16       1.097353214653e-13       5.920623556831e-18       7.238372635584e-10       6.141130839401e-11       1.272576303471e-14 
   13       1.132126088330e-10       2.945265133591e-16       1.154940995514e-13       6.912436660169e-18       6.378930469634e-10       5.486265030767e-11      -1.755118455974e-14 
   14       1.140715287638e-10       3.073225632305e-16       1.234464087882e-13       7.981953477442e-18       5.663969045255e-10       4.914187904531e-11      -3.426749994040e-14 
   15       1.151288569921e-10       3.328102931713e-16       1.321938819675e-13       9.129406917980e-18       5.062229470528e-10       4.434349224163e-11      -3.748940688890e-14 
   16       1.163121082625e-10       3.682805747166e-16       1.409783269854e-13       1.035502404783e-17       4.550673855010e-10       4.021481465974e-11      -3.107612686465e-14 
   17       1.176408663610e-10       4.192324785550e-16       1.495864708920e-13       1.165902397002e-17       4.111899690316e-10       3.661517318511e-11      -2.016423334323e-14 
   18       1.190538122109e-10       4.911563470949e-16       1.583120734623e-13       1.304161596937e-17       3.731111828291e-10       3.347235632342e-11      -9.646122857179e-15 
   19       1.205618830876e-10       5.844302372312e-16       1.673887849477e-13       1.450299917106e-17       3.402262923949e-10       3.074360876045e-11      -2.158094735933e-15 
   20       1.221539161734e-10       6.971013956817e-16       1.769728239136e-13       1.604335982603e-17       3.112660440765e-10       2.832552664759e-11       5.410270366544e-16 
   21       1.238327774281e-10       8.285391458457e-16       1.870621022112e-13       1.766287372284e-17       2.857748718058e-10       2.617345642552e-11      -1.023305836354e-15 
   22       1.255741483584e-10       9.782569153132e-16       1.975195715330e-13       1.936170321324e-17       2.631425149502e-10       2.422983939329e-11      -5.143040229733e-15 
   23       1.273808689612e-10       1.146486034640e-15       2.079950283703e-13       2.114000102549e-17       2.430574210442e-10       2.248436848674e-11      -1.008535699755e-14 
   24       1.292431666689e-10       1.333485631236e-15       2.180289447901e-13       2.299790723788e-17       2.250548251205e-10       2.092040463116e-11      -1.398862349304e-14 
   25       1.311648261264e-10       1.539287524184e-15       2.273362230125e-13       2.493555473689e-17       2.089226442273e-10       1.952205884911e-11      -1.599978711255e-14 
   26       1.331370954213e-10       1.764085762822e-15       2.356862051356e-13       2.695306556764e-17       1.943685526060e-10       1.825914283996e-11      -1.575349069474e-14 
   27       1.351526367823e-10       2.009874678947e-15       2.429568458249e-13       2.905055618018e-17       1.812176840863e-10       1.711209352010e-11      -1.384636602755e-14 
