# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422962796949e-10       4.161394019334e-15       3.794078919453e-13       0.000000000000e+00       8.228218992953e-09       4.314493099412e-10      -1.840036626868e-12 
    3       1.347228227074e-10       5.342998449178e-15       4.237224911911e-13       0.000000000000e+00       5.062599749298e-09       3.069466788066e-10      -1.394925422007e-12 
    4       1.273633883821e-10       4.631260428479e-15       3.945143002272e-13       0.000000000000e+00       3.517628197127e-09       2.326919904723e-10      -9.149022429585e-13 
    5       1.217312774668e-10       3.096195633840e-15       3.342153089475e-13       0.000000000000e+00       2.624636935219e-09       1.838317074010e-10      -5.103150437585e-13 
    6       1.177650550119e-10       1.733628477414e-15       2.672128482576e-13       0.000000000000e+00       2.049780219349e-09       1.495298117394e-10      -2.117232533198e-13 
    7       1.150837718862e-10       9.355548757377e-16       2.077127942303e-13       0.000000000000e+00       1.653542511681e-09       1.243404212975e-10      -2.077148357919e-14 
    8       1.134076192630e-10       6.011182513808e-16       1.619870651966e-13       0.000000000000e+00       1.366636909636e-09       1.052387315145e-10       7.719289946771e-14 
    9       1.124862698228e-10       4.813007455708e-16       1.314048906683e-13       0.000000000000e+00       1.150811998771e-09       9.041588722699e-11       1.052103569549e-13 
   10       1.120932420742e-10       4.102282999620e-16       1.145200703658e-13       0.000000000000e+00       9.835388975170e-10       7.867109488951e-11       8.889924012091e-14 
   11       1.121637778083e-10       3.448723167103e-16       1.084161240739e-13       0.000000000000e+00       8.285451408062e-10       6.949712500837e-11       5.221815285152e-14 
   12       1.125496716061e-10       3.002519063603e-16       1.097375709017e-13       0.000000000000e+00       7.238383764202e-10       6.141313334349e-11       1.272558127319e-14 
   13       1.131978797126e-10       2.876088325362e-16       1.154969420630e-13       0.000000000000e+00       6.378940330393e-10       5.486432865351e-11      -1.755104630405e-14 
   14       1.140551099441e-10       2.993352467738e-16       1.234499710399e-13       0.000000000000e+00       5.663977829618e-10       4.914335481084e-11      -3.426723203135e-14 
   15       1.151105897869e-10       3.236758742237e-16       1.321984896252e-13       0.000000000000e+00       5.062237348565e-10       4.434475642751e-11      -3.748913282391e-14 
   16       1.162919466677e-10       3.579210241608e-16       1.409845841387e-13       0.000000000000e+00       4.550680955084e-10       4.021599018767e-11      -3.107591647273e-14 
   17       1.176186541711e-10       4.075687346858e-16       1.495947291846e-13       0.000000000000e+00       4.111906129338e-10       3.661634693376e-11      -2.016413885386e-14 
   18       1.190294332873e-10       4.781098305413e-16       1.583227036803e-13       0.000000000000e+00       3.731117676488e-10       3.347343588099e-11      -9.646178850289e-15 
   19       1.205352465476e-10       5.699219560665e-16       1.674021660666e-13       0.000000000000e+00       3.402268280707e-10       3.074455771724e-11      -2.158304088866e-15 
   20       1.221249297674e-10       6.810516333804e-16       1.769892918987e-13       0.000000000000e+00       3.112665357195e-10       2.832644281616e-11       5.407000171331e-16 
   21       1.238013443787e-10       8.108686693706e-16       1.870819984903e-13       0.000000000000e+00       2.857753238802e-10       2.617439118138e-11      -1.023699552534e-15 
   22       1.255401672792e-10       9.588873539143e-16       1.975432810513e-13       0.000000000000e+00       2.631429319936e-10       2.423073926711e-11      -5.143446739336e-15 
   23       1.273442402888e-10       1.125338821645e-15       2.080230769366e-13       0.000000000000e+00       2.430578071512e-10       2.248518284141e-11      -1.008573755778e-14 
   24       1.292037954469e-10       1.310481653679e-15       2.180619937871e-13       0.000000000000e+00       2.250551833915e-10       2.092112540999e-11      -1.398896284695e-14 
   25       1.311226196233e-10       1.514347446004e-15       2.273747902679e-13       0.000000000000e+00       2.089229773700e-10       1.952271279242e-11      -1.600008194291e-14 
   26       1.330919650755e-10       1.737130298904e-15       2.357306098601e-13       0.000000000000e+00       1.943688628995e-10       1.825978243845e-11      -1.575374838687e-14 
   27       1.351045081250e-10       1.980825402782e-15       2.430075436867e-13       0.000000000000e+00       1.812179736602e-10       1.711274625455e-11      -1.384660887906e-14 
   28       1.371447200017e-10       2.247979433949e-15       2.491488460469e-13       0.000000000000e+00       1.692433071280e-10       1.605846052895e-11      -1.126892014405e-14 
   29       1.392218323808e-10       2.540078236496e-15       2.542200911183e-13       0.000000000000e+00       1.583835749393e-10       1.509531709229e-11      -8.678823150174e-15 
   30       1.413415303207e-10       2.858275103149e-15       2.583647538191e-13       0.000000000000e+00       1.485220371954e-10       1.422020506024e-11      -6.749941257012e-15 
   31       1.434987831916e-10       3.203661477807e-15       2.617313981992e-13       0.000000000000e+00       1.394573675161e-10       1.342170112781e-11      -6.107661154817e-15 
