# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422967419645e-10       4.161620661301e-15       3.794078879488e-13       2.266419234364e-19       8.228218992953e-09       4.314493099412e-10      -1.840036626868e-12 
    3       1.347237451037e-10       5.343451827227e-15       4.237224733785e-13       4.533776197980e-19       5.062599749298e-09       3.069466788066e-10      -1.394925422007e-12 
    4       1.273649210045e-10       4.632016266464e-15       3.945142490378e-13       7.558358763546e-19       3.517628197127e-09       2.326919904723e-10      -9.149022429585e-13 
    5       1.217335677154e-10       3.097329777616e-15       3.342151923125e-13       1.134136561464e-18       2.624636935219e-09       1.838317074010e-10      -5.103150437585e-13 
    6       1.177682470439e-10       1.735216922267e-15       2.672126188678e-13       1.588425193424e-18       2.049780219349e-09       1.495298117394e-10      -2.117232533198e-13 
    7       1.150880061527e-10       9.376737916916e-16       2.077123870432e-13       2.118870255596e-18       1.653542511681e-09       1.243404212975e-10      -2.077148357919e-14 
    8       1.134130321365e-10       6.038440059037e-16       1.619863952157e-13       2.725660158791e-18       1.366636909636e-09       1.052387315145e-10       7.719289946771e-14 
    9       1.124929933214e-10       4.847099231906e-16       1.314038510182e-13       3.408999940453e-18       1.150811998771e-09       9.041588722699e-11       1.052103569549e-13 
   10       1.121014036850e-10       4.143977182856e-16       1.145185306782e-13       4.169107796454e-18       9.835388975170e-10       7.867109488951e-11       8.889924012091e-14 
   11       1.121735004112e-10       3.498790383543e-16       1.084139291893e-13       5.006211544372e-18       8.285451408062e-10       6.949712500837e-11       5.221815285152e-14 
   12       1.125610734931e-10       3.061732463234e-16       1.097345398853e-13       5.920545116666e-18       7.238383764202e-10       6.141313334349e-11       1.272558127319e-14 
   13       1.132110746963e-10       2.945223605849e-16       1.154928675254e-13       6.912345178344e-18       6.378940330393e-10       5.486432865351e-11      -1.755104630405e-14 
   14       1.140702075458e-10       3.073187844746e-16       1.234446187452e-13       7.981847956752e-18       5.663977829618e-10       4.914335481084e-11      -3.426723203135e-14 
   15       1.151276954922e-10       3.328074863372e-16       1.321915983677e-13       9.129286361132e-18       5.062237348565e-10       4.434475642751e-11      -3.748913282391e-14 
   16       1.163111622353e-10       3.682790042142e-16       1.409758658615e-13       1.035488745717e-17       4.550680955084e-10       4.021599018767e-11      -3.107591647273e-14 
   17       1.176400779796e-10       4.192315846592e-16       1.495838693143e-13       1.165887034729e-17       4.111906129338e-10       3.661634693376e-11      -2.016413885386e-14 
   18       1.190531607108e-10       4.911562348580e-16       1.583093616627e-13       1.304144431550e-17       3.731117676488e-10       3.347343588099e-11      -9.646178850289e-15 
   19       1.205613703007e-10       5.844307493427e-16       1.673859760095e-13       1.450280848611e-17       3.402268280707e-10       3.074455771724e-11      -2.158304088866e-15 
   20       1.221535403183e-10       6.971017641233e-16       1.769698634801e-13       1.604314910904e-17       3.112665357195e-10       2.832644281616e-11       5.407000171331e-16 
   21       1.238325302297e-10       8.285391578081e-16       1.870589178238e-13       1.766264197196e-17       2.857753238802e-10       2.617439118138e-11      -1.023699552534e-15 
   22       1.255740153248e-10       9.782572458463e-16       1.975161118385e-13       1.936144942579e-17       2.631429319936e-10       2.423073926711e-11      -5.143446739336e-15 
   23       1.273808359996e-10       1.146487139530e-15       2.079913615437e-13       2.113972419827e-17       2.430578071512e-10       2.248518284141e-11      -1.008573755778e-14 
   24       1.292432231339e-10       1.333487343506e-15       2.180252546171e-13       2.299760636742e-17       2.250551833915e-10       2.092112540999e-11      -1.398896284695e-14 
   25       1.311649624813e-10       1.539289325476e-15       2.273325310557e-13       2.493522881990e-17       2.089229773700e-10       1.952271279242e-11      -1.600008194291e-14 
   26       1.331373053240e-10       1.764087000089e-15       2.356823172735e-13       2.695271360144e-17       1.943688628995e-10       1.825978243845e-11      -1.575374838687e-14 
   27       1.351529269474e-10       2.009875318393e-15       2.429526889235e-13       2.905017716331e-17       1.812179736602e-10       1.711274625455e-11      -1.384660887906e-14 
   28       1.371962975457e-10       2.279200659889e-15       2.490868867263e-13       3.122772786929e-17       1.692433071280e-10       1.605846052895e-11      -1.126892014405e-14 
   29       1.392766474790e-10       2.573548529117e-15       2.541504732944e-13       3.348547455604e-17       1.583835749393e-10       1.509531709229e-11      -8.678823150174e-15 
   30       1.413996603987e-10       2.894071820844e-15       2.582869142312e-13       3.582351939204e-17       1.485220371954e-10       1.422020506024e-11      -6.749941257012e-15 
   31       1.435603041669e-10       3.241861523306e-15       2.616447668085e-13       3.824195785229e-17       1.394573675161e-10       1.342170112781e-11      -6.107661154817e-15 
   32       1.457613419207e-10       3.617840649414e-15       2.641812072942e-13       4.074088951844e-17       1.311426492250e-10       1.269122867622e-11      -6.583696597094e-15 
   33       1.479990231547e-10       4.022817207901e-15       2.657841408332e-13       4.332041111762e-17       1.235189751607e-10       1.201439778363e-11      -7.669604391001e-15 
   34       1.502626529125e-10       4.457546422660e-15       2.663237462186e-13       4.598061522665e-17       1.164795260637e-10       1.137373843808e-11      -8.795001731935e-15 
   35       1.525548625306e-10       4.922881633704e-15       2.656615577121e-13       4.872159562087e-17       1.099881976219e-10       1.077137772558e-11      -9.668988219275e-15 
   36       1.548766838780e-10       5.419667230784e-15       2.636418546066e-13       5.154344391126e-17       1.039928395775e-10       1.021358723912e-11      -1.004934482071e-14 
   37       1.572246752946e-10       5.948700822837e-15       2.601217389655e-13       5.444624774103e-17       9.841533980012e-11       9.703807985643e-12      -9.738333974347e-15 
   38       1.596023889498e-10       6.510754072807e-15       2.550877929840e-13       5.743008906958e-17       9.324125111314e-11       9.240074822616e-12      -8.886252896975e-15 
   39       1.620115232208e-10       7.106552281898e-15       2.485785797365e-13       6.049504545254e-17       8.845412866113e-11       8.816243593718e-12      -7.791838827324e-15 
   40       1.644480987099e-10       7.736764174571e-15       2.406551564106e-13       6.364119058085e-17       8.400826840479e-11       8.422277904932e-12      -6.827096450448e-15 
