# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 2118.01 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248753e-05       4.749488291582e+01 
       2.342124000905e-05       1.031974405982e+02 
       3.639919085156e-05       1.579944878929e+02 
       4.945817189459e-05       2.124498250611e+02 
       6.263396671388e-05       2.668890179893e+02 
       7.596326718352e-05       3.215589609169e+02 
       8.948400543893e-05       3.766727041408e+02 
       1.032357006483e-04       4.324278776893e+02 
       1.172598250736e-04       4.890162062766e+02 
       1.316001939368e-04       5.466293054261e+02 
       1.463033836108e-04       6.054627636964e+02 
       1.614191825900e-04       6.657193526034e+02 
       1.770010795061e-04       7.276117896086e+02 
       1.931067920619e-04       7.913652988896e+02 
       2.097988400629e-04       8.572200740726e+02 
       2.271451645875e-04       9.254337282035e+02 
       2.452197935861e-04       9.962837650689e+02 
       2.641035515902e-04       1.070070066425e+03 
       2.838848074760e-04       1.147117404630e+03 
       3.046602490031e-04       1.227777919834e+03 
       3.265356657501e-04       1.312433413928e+03 
       3.496267126705e-04       1.401497565415e+03 
       3.740596144113e-04       1.495417547123e+03 
       3.999717555192e-04       1.594675159962e+03 
       4.275120837667e-04       1.699786956820e+03 
       4.568412336655e-04       1.811303251092e+03 
       4.881312563027e-04       1.929805098859e+03 
       5.215648227152e-04       2.055899572245e+03 
       5.573337555475e-04       2.190211797793e+03 
       5.956367439899e-04       2.333374396095e+03 
       6.366761177524e-04       2.486012932817e+03 
       6.806536053146e-04       2.648728093858e+03 
       7.277650862177e-04       2.822074289144e+03 
       7.781944677874e-04       3.006535642198e+03 
       8.321069651801e-04       3.202500638688e+03 
       8.896422196222e-04       3.410237005284e+03 
       9.509078208792e-04       3.629869565393e+03 
       1.015973867843e-03       3.861362939176e+03 
       1.084869172232e-03       4.104511650867e+03 
       1.157579570198e-03       4.358939271686e+03 
       1.234048569885e-03       4.624106668268e+03 
       1.314180274059e-03       4.899329590411e+03 
       1.397844238049e-03       5.183803241541e+03 
       1.484881714153e-03       5.476631130764e+03 
       1.575112632170e-03       5.776856184511e+03 
       1.668342677947e-03       6.083490936202e+03 
       1.764369935259e-03       6.395544381911e+03 
       1.862990711862e-03       6.712045560273e+03 
       1.964004338050e-03       7.032061384768e+03 
       2.067216874200e-03       7.354710832076e+03 
       2.172443775751e-03       7.679173979334e+03 
       2.279511635322e-03       8.004697091313e+03 
       2.388259156811e-03       8.330595528518e+03 
       2.498537524047e-03       8.656251435154e+03 
       2.610210316296e-03       8.981111690562e+03 
       2.723153102924e-03       9.304688354507e+03 
       2.837252825787e-03       9.626545416367e+03 
       2.952407054368e-03       9.946301207192e+03 
       3.068523177546e-03       1.026362277259e+04 
       3.185517578088e-03       1.057821783967e+04 
       3.303314821698e-03       1.088983342509e+04 
       3.421846881434e-03       1.119825016523e+04 
       3.541052410091e-03       1.150327766887e+04 
       3.660876067187e-03       1.180475512704e+04 
       3.781267903051e-03       1.210254303606e+04 
       3.902182799637e-03       1.239652490653e+04 
       4.023579965944e-03       1.268660543956e+04 
       4.145422484747e-03       1.297270250481e+04 
       4.267676906832e-03       1.325475010858e+04 
       4.390312888633e-03       1.353270062676e+04 
       4.513302869194e-03       1.380650957030e+04 
       4.636621782531e-03       1.407615025868e+04 
       4.760246801665e-03       1.434159243079e+04 
       4.884157110923e-03       1.460282503621e+04 
       5.008333703364e-03       1.485985287586e+04 
       5.132759200518e-03       1.511271416319e+04 
       5.257417691888e-03       1.536132369294e+04 
       5.382294591966e-03       1.560572004638e+04 
       5.507376512736e-03       1.584598420790e+04 
       5.632651149901e-03       1.608200881348e+04 
       5.758107181229e-03       1.631396084556e+04 
       5.883734175661e-03       1.654176310368e+04 
       6.009522511921e-03       1.676544825833e+04 
       6.135463305568e-03       1.698501441221e+04 
       6.261548343531e-03       1.720058380341e+04 
       6.387770025286e-03       1.741210188701e+04 
       6.514121309935e-03       1.761965516441e+04 
       6.640595668538e-03       1.782322941014e+04 
       6.767187041126e-03       1.802290919006e+04 
       6.893889797882e-03       1.821870844095e+04 
       7.020698704039e-03       1.841063974859e+04 
       7.147608888117e-03       1.859874962440e+04 
       7.274615813120e-03       1.878310208886e+04 
       7.401715250418e-03       1.896370554795e+04 
       7.528903256001e-03       1.914060861604e+04 
       7.656176148895e-03       1.931384387074e+04 
       7.783530491502e-03       1.948344677933e+04 
       7.910963071677e-03       1.964946396443e+04 
       8.038470886375e-03       1.981192241742e+04 
       8.166051126708e-03       1.997086860356e+04 
       8.293701164279e-03       2.012633390097e+04 
       8.421418538675e-03       2.027836948432e+04 
       8.549200945995e-03       2.042700311487e+04 
       8.677046228341e-03       2.057227084855e+04 
       8.804952364154e-03       2.071421875669e+04 
       8.932917459344e-03       2.085287653952e+04 
