# Matter power spectrum P(k) at redshift z=0
# for k=1.05592e-05 to 538.316 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055924598034e-05       4.661877678951e+01 
       2.359718329658e-05       1.013741873656e+02 
       3.668204372240e-05       1.552416041427e+02 
       4.984989847780e-05       2.087780317605e+02 
       6.313742945851e-05       2.623059604409e+02 
       7.658226430767e-05       3.160705471102e+02 
       9.022332244627e-05       3.702838002158e+02 
       1.041011767688e-04       4.251427335033e+02 
       1.182584357452e-04       4.808387818646e+02 
       1.327401507053e-04       5.375635520130e+02 
       1.475942530828e-04       5.955128959516e+02 
       1.628720263183e-04       6.548901168584e+02 
       1.786286169089e-04       7.159087669789e+02 
       1.949235886486e-04       7.787952242212e+02 
       2.118215233342e-04       8.437911741852e+02 
       2.293926699428e-04       9.111561569681e+02 
       2.477136423439e-04       9.811699941289e+02 
       2.668681627131e-04       1.054135388587e+03 
       2.869478436736e-04       1.130380466355e+03 
       3.080529963992e-04       1.210261239267e+03 
       3.302934440608e-04       1.294163990718e+03 
       3.537893096130e-04       1.382507356786e+03 
       3.786717336028e-04       1.475744041948e+03 
       4.050834612121e-04       1.574361707823e+03 
       4.331792182350e-04       1.678883060593e+03 
       4.631257739528e-04       1.789864347613e+03 
       4.951015667160e-04       1.907892236345e+03 
       5.292957487867e-04       2.033578202505e+03 
       5.659064957945e-04       2.167550178188e+03 
       6.051384301594e-04       2.310440804626e+03 
       6.471990356738e-04       2.462872092140e+03 
       6.922940008001e-04       2.625436444873e+03 
       7.406215270578e-04       2.798674243317e+03 
       7.923657753721e-04       2.983049087875e+03 
       8.476897856756e-04       3.178921797186e+03 
       9.067283680339e-04       3.386525675252e+03 
       9.695815897474e-04       3.605944988709e+03 
       1.036309530742e-03       3.837099250924e+03 
       1.106928916973e-03       4.079735710610e+03 
       1.181412060673e-03       4.333431171349e+03 
       1.259688262422e-03       4.597602887890e+03 
       1.341647518601e-03       4.871529163618e+03 
       1.427146097480e-03       5.154375551598e+03 
       1.516013357402e-03       5.445225389365e+03 
       1.608059111841e-03       5.743110876647e+03 
       1.703080894485e-03       6.047043567074e+03 
       1.800870610980e-03       6.356039642510e+03 
       1.901220238358e-03       6.669141543995e+03 
       2.003926407282e-03       6.985436122005e+03 
       2.108793847594e-03       7.304065999261e+03 
       2.215637780969e-03       7.624236880015e+03 
       2.324285405177e-03       7.945223693645e+03 
       2.434576639612e-03       8.266368103541e+03 
       2.546364301325e-03       8.587079641748e+03 
       2.659513864945e-03       8.906831961948e+03 
       2.773902936218e-03       9.225159551224e+03 
       2.889420543383e-03       9.541651354200e+03 
       3.005966326381e-03       9.855946661348e+03 
       3.123449682807e-03       1.016773011710e+04 
       3.241788912270e-03       1.047672810434e+04 
       3.360910387159e-03       1.078270277911e+04 
       3.480747767523e-03       1.108544843699e+04 
       3.601241270204e-03       1.138478802993e+04 
       3.722336996940e-03       1.168057134428e+04 
       3.843986322484e-03       1.197266976334e+04 
       3.966145341312e-03       1.226097586373e+04 
       4.088774369998e-03       1.254539976767e+04 
       4.211837501419e-03       1.282586928266e+04 
       4.335302206590e-03       1.310232585703e+04 
       4.459138979764e-03       1.337472162228e+04 
       4.583321022568e-03       1.364302540873e+04 
       4.707823963114e-03       1.390720751399e+04 
       4.832625606337e-03       1.416722976537e+04 
       4.957705712115e-03       1.442312829423e+04 
       5.083045798024e-03       1.467487776768e+04 
       5.208628963944e-03       1.492243751554e+04 
       5.334439735980e-03       1.516594346514e+04 
       5.460463927478e-03       1.540522172108e+04 
       5.586688515147e-03       1.564045307257e+04 
       5.713101528538e-03       1.587152012885e+04 
       5.839691951340e-03       1.609856036271e+04 
       5.966449633123e-03       1.632151321461e+04 
       6.093365210329e-03       1.654043652387e+04 
       6.220430035467e-03       1.675531445585e+04 
       6.347636113573e-03       1.696625539194e+04 
       6.474976045116e-03       1.717322189488e+04 
       6.602442974639e-03       1.737627636656e+04 
       6.730030544498e-03       1.757544879806e+04 
       6.857732853136e-03       1.777079252783e+04 
       6.985544417405e-03       1.796232004982e+04 
       7.113460138500e-03       1.815005396887e+04 
       7.241475271116e-03       1.833404477273e+04 
       7.369585395498e-03       1.851433357640e+04 
       7.497786392068e-03       1.869094289252e+04 
       7.626074418383e-03       1.886393783750e+04 
       7.754445888164e-03       1.903331756437e+04 
       7.882897452207e-03       1.919914697955e+04 
       8.011425980975e-03       1.936143961750e+04 
       8.140028548709e-03       1.952026920726e+04 
       8.268702418913e-03       1.967563434185e+04 
       8.397445031074e-03       1.982760072353e+04 
       8.526253988509e-03       1.997618565382e+04 
       8.655127047218e-03       2.012144697890e+04 
       8.784062105661e-03       2.026340754259e+04 
       8.913057195376e-03       2.040210244287e+04 
       9.042110472343e-03       2.053759338209e+04 
       9.171220209051e-03       2.066988589198e+04 
       9.300384787188e-03       2.079902769238e+04 
       9.429602690903e-03       2.092505740476e+04 
       9.558872500596e-03       2.104800728752e+04 
       9.688192887179e-03       2.116790790026e+04 
       9.817562606786e-03       2.128480196643e+04 
       9.946980495870e-03       2.139871423928e+04 
       1.007644546668e-02       2.150968973457e+04 
       1.020595650305e-02       2.161773385436e+04 
       1.033551265656e-02       2.172293840138e+04 
       1.046511304289e-02       2.182527900602e+04 
       1.059475683849e-02       2.192481141040e+04 
       1.072444327753e-02       2.202157139483e+04 
       1.085417164895e-02       2.211558396249e+04 
       1.098394129388e-02       2.220688415692e+04 
       1.111375160310e-02       2.229550131665e+04 
       1.124360201473e-02       2.238146399045e+04 
       1.137349201217e-02       2.246481355400e+04 
       1.150342112200e-02       2.254557062239e+04 
       1.163338891223e-02       2.262377308347e+04 
       1.176339499051e-02       2.269944037597e+04 
       1.189343900257e-02       2.277261463829e+04 
       1.202352063071e-02       2.284332513814e+04 
       1.215363959243e-02       2.291158143637e+04 
       1.228379563914e-02       2.297744248613e+04 
       1.241398855496e-02       2.304091307417e+04 
       1.254421815562e-02       2.310203641732e+04 
       1.267448428743e-02       2.316083223604e+04 
       1.280478682628e-02       2.321733631118e+04 
       1.293512567684e-02       2.327157584724e+04 
       1.306550077164e-02       2.332357376800e+04 
       1.319591207038e-02       2.337335651165e+04 
       1.332635955919e-02       2.342095294063e+04 
       1.345684324999e-02       2.346640126380e+04 
       1.358736317990e-02       2.350970417233e+04 
       1.371791941068e-02       2.355090813356e+04 
