# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.412473880652e-10       4.150774088599e-15       3.804711250045e-13       0.000000000000e+00       8.262163988585e-09       4.246241564116e-10      -1.839863209045e-12 
    3       1.339280813818e-10       5.341112000503e-15       4.244359371924e-13       0.000000000000e+00       5.084563542089e-09       3.025069839485e-10      -1.396432730956e-12 
    4       1.267417595245e-10       4.642501975866e-15       3.951018257698e-13       0.000000000000e+00       3.532517816206e-09       2.294913027736e-10      -9.179261178650e-13 
    5       1.212254458827e-10       3.112946579905e-15       3.347828553001e-13       0.000000000000e+00       2.635388373227e-09       1.813167215031e-10      -5.140008082215e-13 
    6       1.173301432920e-10       1.747062153796e-15       2.677815897714e-13       0.000000000000e+00       2.057993672514e-09       1.474853746583e-10      -2.151969704403e-13 
    7       1.147445054652e-10       9.425403465986e-16       2.082217586387e-13       0.000000000000e+00       1.660031336496e-09       1.227210862716e-10      -2.342570492470e-14 
    8       1.131177759447e-10       6.037066217758e-16       1.623801601278e-13       0.000000000000e+00       1.371942743871e-09       1.039601301979e-10       7.563955800358e-14 
    9       1.122207442889e-10       4.826688397335e-16       1.316730269485e-13       0.000000000000e+00       1.155281983672e-09       8.931054748553e-11       1.047359489775e-13 
   10       1.118651097602e-10       4.118368467531e-16       1.146304267219e-13       0.000000000000e+00       9.873803145061e-10       7.763955951579e-11       8.925721538988e-14 
   11       1.119316956207e-10       3.464454307486e-16       1.083783007796e-13       0.000000000000e+00       8.314198530357e-10       6.854520229370e-11       5.298334582939e-14 
   12       1.123646026275e-10       3.011789261315e-16       1.096249656612e-13       0.000000000000e+00       7.263194939369e-10       6.070126754110e-11       1.361951454179e-14 
   13       1.130421852925e-10       2.878401111392e-16       1.153439464767e-13       0.000000000000e+00       6.400603020287e-10       5.421357823632e-11      -1.698384980236e-14 
   14       1.138870716820e-10       2.991716115845e-16       1.232685330803e-13       0.000000000000e+00       5.683009097799e-10       4.853838854584e-11      -3.408911781980e-14 
   15       1.149241715708e-10       3.233125841354e-16       1.319768525044e-13       0.000000000000e+00       5.079100342726e-10       4.376776433251e-11      -3.770234479791e-14 
   16       1.161586344840e-10       3.572826274104e-16       1.407427747381e-13       0.000000000000e+00       4.565730556234e-10       3.973236037661e-11      -3.155690689219e-14 
   17       1.174598122889e-10       4.062409641534e-16       1.494051002514e-13       0.000000000000e+00       4.125419354190e-10       3.625323548113e-11      -2.071708900784e-14 
   18       1.188741019671e-10       4.758171171396e-16       1.581301364107e-13       0.000000000000e+00       3.743304222368e-10       3.312581492090e-11      -1.015845290028e-14 
   19       1.204167359811e-10       5.666654638948e-16       1.671511494516e-13       0.000000000000e+00       3.413317542114e-10       3.034897539588e-11      -2.539681751851e-15 
   20       1.220166635349e-10       6.770804260919e-16       1.766852274386e-13       0.000000000000e+00       3.122721777690e-10       2.792697140440e-11       3.741544346929e-16 
   21       1.236878168841e-10       8.062390206200e-16       1.867343567358e-13       0.000000000000e+00       2.866944057745e-10       2.582355421024e-11      -9.447749470942e-16 
   22       1.254372496537e-10       9.533386711016e-16       1.971520015007e-13       0.000000000000e+00       2.639858532450e-10       2.395051121025e-11      -4.864935594173e-15 
   23       1.272528333167e-10       1.118713626181e-15       2.076157574639e-13       0.000000000000e+00       2.438335606779e-10       2.226317087563e-11      -9.703534521669e-15 
   24       1.290989654162e-10       1.302852047664e-15       2.176974589852e-13       0.000000000000e+00       2.257708356191e-10       2.071457849047e-11      -1.363245281317e-14 
   25       1.309950397012e-10       1.505783637899e-15       2.270770483341e-13       0.000000000000e+00       2.095849802402e-10       1.930986629697e-11      -1.577656302231e-14 
   26       1.329586905035e-10       1.727606496793e-15       2.354739398481e-13       0.000000000000e+00       1.949829128379e-10       1.805456051195e-11      -1.571335268259e-14 
   27       1.349773724945e-10       1.970185355297e-15       2.427856511838e-13       0.000000000000e+00       1.817891481372e-10       1.692854466345e-11      -1.394302411663e-14 
   28       1.370209979710e-10       2.235939609620e-15       2.489909423163e-13       0.000000000000e+00       1.697757951354e-10       1.589666186397e-11      -1.136131539339e-14 
