# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.402137584463e-10       4.140317165989e-15       3.815574036234e-13       2.275746258295e-19       8.296177068785e-09       4.177643894138e-10      -1.839450386082e-12 
    3       1.331369033786e-10       5.339580648383e-15       4.251707213914e-13       4.552421793681e-19       5.106742846774e-09       2.979954894444e-10      -1.397700820470e-12 
    4       1.261153076761e-10       4.654425398733e-15       3.957083037750e-13       7.589416620973e-19       3.547623421079e-09       2.261705558847e-10      -9.207587692240e-13 
    5       1.207240204056e-10       3.130914936986e-15       3.353761769666e-13       1.138791992220e-18       2.646282244695e-09       1.787689649734e-10      -5.175954165254e-13 
    6       1.169224375271e-10       1.762233480637e-15       2.683495246416e-13       1.594937644506e-18       2.066322762594e-09       1.455043969874e-10      -2.186890948069e-13 
    7       1.144152674414e-10       9.517699321024e-16       2.087172227732e-13       2.127546050263e-18       1.666612989044e-09       1.211030102476e-10      -2.616020614875e-14 
    8       1.128169250744e-10       6.090669035101e-16       1.627717894139e-13       2.736804650987e-18       1.377312902104e-09       1.025735137592e-10       7.400822542333e-14 
    9       1.119558766070e-10       4.874374086368e-16       1.319437076922e-13       3.422917690298e-18       1.159804572566e-09       8.813759656187e-11       1.042268892844e-13 
   10       1.116523733531e-10       4.176140777297e-16       1.147557685266e-13       4.186102834925e-18       9.912666021380e-10       7.666905979392e-11       8.962434197071e-14 
   11       1.117334177365e-10       3.530582107272e-16       1.083605268979e-13       5.026587718601e-18       8.343253695917e-10       6.767336741377e-11       5.379361104028e-14 
   12       1.121793803086e-10       3.080626327519e-16       1.095059415988e-13       5.944606502623e-18       7.288284143876e-10       5.995149803896e-11       1.455726015806e-14 
   13       1.128631197413e-10       2.949822520122e-16       1.151547374116e-13       6.940396543561e-18       6.422490682440e-10       5.347050388557e-11      -1.639397984171e-14 
   14       1.137257713763e-10       3.070371350892e-16       1.230352762972e-13       8.014195252399e-18       5.702243732905e-10       4.793657217236e-11      -3.389936445266e-14 
   15       1.147857445632e-10       3.321923076651e-16       1.317481324302e-13       9.166237220343e-18       5.096148142008e-10       4.326840528711e-11      -3.791138792424e-14 
   16       1.159951861261e-10       3.669839915578e-16       1.405176920902e-13       1.039675167520e-17       4.580948115502e-10       3.927833752143e-11      -3.200939483765e-14 
   17       1.173197267376e-10       4.165232647326e-16       1.491560296283e-13       1.170596031889e-17       4.139080305225e-10       3.577327181526e-11      -2.131767953670e-14 
   18       1.187497396162e-10       4.866700161458e-16       1.578298835889e-13       1.309407541902e-17       3.755618177202e-10       3.268744740544e-11      -1.066723656932e-14 
   19       1.202900906002e-10       5.781682454004e-16       1.668004525072e-13       1.456129931446e-17       3.424477438607e-10       2.998863422413e-11      -2.786818725282e-15 
   20       1.218932542576e-10       6.893378179894e-16       1.763181051319e-13       1.610782173595e-17       3.132877177808e-10       2.758111258480e-11       3.663089023481e-16 
   21       1.235699198543e-10       8.193204424640e-16       1.863654762277e-13       1.773382191622e-17       2.876225845079e-10       2.546161271910e-11      -8.169830136628e-16 
   22       1.253172772852e-10       9.672477267374e-16       1.967603105856e-13       1.943946566752e-17       2.648371744537e-10       2.361646457896e-11      -4.734764171803e-15 
   23       1.271336223487e-10       1.133401592775e-15       2.071836013565e-13       2.122490888798e-17       2.446171448039e-10       2.199304183496e-11      -9.638405395941e-15 
   24       1.289961124991e-10       1.318253278754e-15       2.172240935254e-13       2.309029458630e-17       2.264939429925e-10       2.050570877300e-11      -1.360865015551e-14 
   25       1.309043797465e-10       1.521994150215e-15       2.265689173614e-13       2.503575804423e-17       2.102540646917e-10       1.913058324125e-11      -1.579292633295e-14 
   26       1.328515839655e-10       1.744879358121e-15       2.349456385285e-13       2.706142322138e-17       1.956034401519e-10       1.785579480146e-11      -1.581685480975e-14 
   27       1.348468922551e-10       1.988503701344e-15       2.422757584504e-13       2.916740778210e-17       1.823661328875e-10       1.669905147055e-11      -1.414207905033e-14 
   28       1.368933494407e-10       2.254918049791e-15       2.485594603703e-13       3.135382064643e-17       1.703136311122e-10       1.567568060748e-11      -1.160172148006e-14 
   29       1.389940676860e-10       2.545676422263e-15       2.538187353298e-13       3.362077046766e-17       1.593839712891e-10       1.477111634246e-11      -8.884121509273e-15 
   30       1.411379184405e-10       2.862233547122e-15       2.581070182344e-13       3.596835845898e-17       1.494592126750e-10       1.394729303516e-11      -6.772294936580e-15 
   31       1.433033184652e-10       3.205989831579e-15       2.614919458704e-13       3.839667841957e-17       1.403362794563e-10       1.315994455748e-11      -6.006025392757e-15 
   32       1.454952681996e-10       3.577865487454e-15       2.639774920588e-13       4.090582783955e-17       1.319679944465e-10       1.241244493469e-11      -6.430240928617e-15 
   33       1.477196018857e-10       3.978552896275e-15       2.655539366035e-13       4.349590064676e-17       1.242952975779e-10       1.172101260651e-11      -7.515104198424e-15 
   34       1.499747340711e-10       4.408686554632e-15       2.661911651245e-13       4.616698599704e-17       1.172109006040e-10       1.109698459330e-11      -8.667451137974e-15 
