# Matter power spectrum P(k) at redshift z=0
# for k=1.06275e-05 to 537.834 h/Mpc,
# number of wavenumbers equal to 628
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062751731485e-05       4.563620367486e+01 
       2.377066760304e-05       9.932198746574e+01 
       3.696183745703e-05       1.521391550260e+02 
       5.023798171468e-05       2.046366215219e+02 
       6.363669046477e-05       2.571330169405e+02 
       7.719653795630e-05       3.098711562548e+02 
       9.095744308956e-05       3.630614554381e+02 
       1.049610464652e-04       4.168998042881e+02 
       1.192511090035e-04       4.715768516088e+02 
       1.338739371823e-04       5.272836820372e+02 
       1.488788399361e-04       5.842159038278e+02 
       1.643186221737e-04       6.425768161813e+02 
       1.802501196255e-04       7.025802413471e+02 
       1.967347792420e-04       7.644531114244e+02 
       2.138392885043e-04       8.284379960565e+02 
       2.316362556040e-04       8.947956379483e+02 
       2.502049402892e-04       9.638074947956e+02 
       2.696320319709e-04       1.035778306214e+03 
       2.900124670960e-04       1.111038662147e+03 
       3.114502713885e-04       1.189947543067e+03 
       3.340594038823e-04       1.272894667292e+03 
       3.579645682147e-04       1.360302589957e+03 
       3.833019420125e-04       1.452628256540e+03 
       4.102197571613e-04       1.550363907927e+03 
       4.388786425460e-04       1.654036813347e+03 
       4.694516174882e-04       1.764207587413e+03 
       5.021236007956e-04       1.881466505558e+03 
       5.370902809794e-04       2.006427379018e+03 
       5.745561837576e-04       2.139718385131e+03 
       6.147317815280e-04       2.281969486372e+03 
       6.578295255731e-04       2.433795896509e+03 
       7.040587543763e-04       2.595778248189e+03 
       7.536195458255e-04       2.768439012096e+03 
       8.066957341371e-04       2.952216968441e+03 
       8.634474881110e-04       3.147441112929e+03 
       9.240040149906e-04       3.354305907218e+03 
       9.884570713149e-04       3.572851196575e+03 
       1.056855984938e-03       3.802948192166e+03 
       1.129204791610e-03       4.044294476298e+03 
       1.205461865781e-03       4.296418912775e+03 
       1.285542115896e-03       4.558695602178e+03 
       1.369321485441e-03       4.830366939212e+03 
       1.456643226157e-03       5.110571926688e+03 
       1.547325245602e-03       5.398377912074e+03 
       1.641167799292e-03       5.692811794238e+03 
       1.737960882708e-03       5.992889157770e+03 
       1.837490840006e-03       6.297639356373e+03 
       1.939545895951e-03       6.606125128848e+03 
       2.043920494837e-03       6.917458108220e+03 
       2.150418469919e-03       7.230809508570e+03 
       2.258855160039e-03       7.545415621103e+03 
       2.369058639712e-03       7.860580759332e+03 
       2.480870244225e-03       8.175677413707e+03 
       2.594144563424e-03       8.490144584065e+03 
       2.708749056879e-03       8.803480837953e+03 
       2.824563416617e-03       9.115245931958e+03 
       2.941478776655e-03       9.425052391683e+03 
       3.059396844056e-03       9.732560042674e+03 
       3.178229005476e-03       1.003747361580e+04 
       3.297895446462e-03       1.033953637471e+04 
       3.418324307898e-03       1.063852823633e+04 
       3.539450894359e-03       1.093425864231e+04 
       3.661216942219e-03       1.122656415431e+04 
       3.783569950486e-03       1.151530755459e+04 
       3.906462574100e-03       1.180037216036e+04 
       4.029852077304e-03       1.208166112501e+04 
       4.153699843475e-03       1.235909379991e+04 
       4.277970937103e-03       1.263260434568e+04 
       4.402633713366e-03       1.290214194763e+04 
       4.527659470755e-03       1.316766674878e+04 
       4.653022142328e-03       1.342914416776e+04 
       4.778698021514e-03       1.368655882773e+04 
       4.904665518641e-03       1.393987225878e+04 
       5.030904944732e-03       1.418912095891e+04 
       5.157398319469e-03       1.443429455921e+04 
       5.284129200512e-03       1.467532864705e+04 
       5.411082531704e-03       1.491236497369e+04 
       5.538244507950e-03       1.514528081761e+04 
       5.665602454829e-03       1.537419326107e+04 
       5.793144721209e-03       1.559910452157e+04 
       5.920860583369e-03       1.581995752274e+04 
       6.048740159282e-03       1.603686074968e+04 
       6.176774331888e-03       1.624978700845e+04 
       6.304954680341e-03       1.645879317244e+04 
       6.433273418315e-03       1.666392519940e+04 
       6.561723338563e-03       1.686516930312e+04 
       6.690297763060e-03       1.706259718903e+04 
       6.818990498074e-03       1.725621552695e+04 
       6.947795793660e-03       1.744609645018e+04 
       7.076708307064e-03       1.763223932109e+04 
       7.205723069646e-03       1.781468161861e+04 
       7.334835456926e-03       1.799347334277e+04 
       7.464041161431e-03       1.816864387240e+04 
       7.593336168054e-03       1.834023542713e+04 
       7.722716731668e-03       1.850828764067e+04 
       7.852179356748e-03       1.867281701656e+04 
       7.981720778828e-03       1.883389423409e+04 
       8.111337947576e-03       1.899153203031e+04 
       8.241028011361e-03       1.914577208052e+04 
       8.370788303134e-03       1.929665568003e+04 
       8.500616327529e-03       1.944421955050e+04 
       8.630509749034e-03       1.958850279483e+04 
       8.760466381163e-03       1.972954403400e+04 
       8.890484176511e-03       1.986737261717e+04 
       9.020561217625e-03       2.000202957760e+04 
       9.150695708611e-03       2.013355090629e+04 
       9.280885967411e-03       2.026197103196e+04 
       9.411130418692e-03       2.038732211610e+04 
       9.541427587293e-03       2.050964919543e+04 
       9.671776092178e-03       2.062897740975e+04 
       9.802174640855e-03       2.074533870476e+04 
       9.932622024223e-03       2.085877920742e+04 
       1.006311711180e-02       2.096932251958e+04 
       1.019365884734e-02       2.107700367401e+04 
       1.032424624470e-02       2.118184625503e+04 
       1.045487838411e-02       2.128392712874e+04 
       1.058555440865e-02       2.138321704557e+04 
       1.071627352100e-02       2.147978683814e+04 
       1.084703498043e-02       2.157365932522e+04 
       1.097783810000e-02       2.166486252295e+04 
       1.110868224398e-02       2.175343413905e+04 
       1.123956682540e-02       2.183939871591e+04 
       1.137049130385e-02       2.192279791692e+04 
       1.150145518338e-02       2.200365063915e+04 
       1.163245801056e-02       2.208199513292e+04 
       1.176349937267e-02       2.215785095567e+04 
       1.189457889605e-02       2.223126033932e+04 
       1.202569624455e-02       2.230223867272e+04 
       1.215685111803e-02       2.237082868982e+04 
       1.228804325109e-02       2.243704962983e+04 
       1.241927241176e-02       2.250094106836e+04 
       1.255053840035e-02       2.256251326008e+04 
       1.268184104841e-02       2.262180463713e+04 
       1.281318021767e-02       2.267885051020e+04 
       1.294455579916e-02       2.273366904536e+04 
       1.307596771233e-02       2.278628867300e+04 
       1.320741590423e-02       2.283673927686e+04 
       1.333890034883e-02       2.288504299580e+04 
       1.347042104627e-02       2.293123188234e+04 
       1.360197802228e-02       2.297532617537e+04 
       1.373357132760e-02       2.301733535804e+04 
       1.386520103742e-02       2.305733284890e+04 
       1.399686725090e-02       2.309529991346e+04 
       1.412857009076e-02       2.313127226599e+04 
       1.426030970283e-02       2.316529124332e+04 
       1.439208625572e-02       2.319735870579e+04 
       1.452389994046e-02       2.322750418944e+04 
       1.465575097020e-02       2.325576769232e+04 
       1.478763958000e-02       2.328215921126e+04 
       1.491956602653e-02       2.330670720270e+04 
       1.505153058789e-02       2.332943268856e+04 
       1.518353356345e-02       2.335036136812e+04 
       1.531557527370e-02       2.336951194631e+04 
       1.544765606009e-02       2.338691511247e+04 
       1.557977628498e-02       2.340259010934e+04 
       1.571193633154e-02       2.341656105020e+04 
       1.584413660372e-02       2.342883900844e+04 
       1.597637752621e-02       2.343946605578e+04 
       1.610865954442e-02       2.344845764313e+04 
       1.624098312452e-02       2.345582450788e+04 
       1.637334875347e-02       2.346160221011e+04 
       1.650575693909e-02       2.346580633146e+04 
       1.663820821009e-02       2.346845147042e+04 
       1.677070311622e-02       2.346957468112e+04 
       1.690324222835e-02       2.346918453033e+04 
       1.703582613862e-02       2.346730403609e+04 
       1.716845546056e-02       2.346397498620e+04 
       1.730113082931e-02       2.345916520567e+04 
       1.743385290176e-02       2.345295006121e+04 
       1.756662235675e-02       2.344531351033e+04 
       1.769943989533e-02       2.343629918595e+04 
       1.783230624097e-02       2.342592801891e+04 
       1.796522213982e-02       2.341419441284e+04 
       1.809818836094e-02       2.340113676293e+04 
       1.823120569668e-02       2.338677814210e+04 
       1.836427496290e-02       2.337113027138e+04 
       1.849739699930e-02       2.335418622678e+04 
