# Matter power spectrum P(k) at redshift z=0
# for k=1.03549e-05 to 532.9 h/Mpc,
# number of wavenumbers equal to 631
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035488693039e-05       4.906996938066e+01 
       2.308264461892e-05       1.064467028883e+02 
       3.585418200988e-05       1.628866319186e+02 
       4.870304788631e-05       2.189648604499e+02 
       6.166333357666e-05       2.750118216451e+02 
       7.476996977703e-05       3.312769166746e+02 
       8.805903265829e-05       3.879744800058e+02 
       1.015680632403e-04       4.453026448294e+02 
       1.153364040462e-04       5.034530109804e+02 
       1.294055570830e-04       5.626165359937e+02 
       1.438195672030e-04       6.229876230532e+02 
       1.586254348573e-04       6.847672964856e+02 
       1.738735621005e-04       7.481659365637e+02 
       1.896182353967e-04       8.134057741839e+02 
       2.059181482136e-04       8.807232802925e+02 
       2.228369654681e-04       9.503715368151e+02 
       2.404439304604e-04       1.022622613090e+03 
       2.588145128066e-04       1.097769973220e+03 
       2.780310928253e-04       1.176130904442e+03 
       2.981836735618e-04       1.258048885550e+03 
       3.193706058134e-04       1.343895922694e+03 
       3.416993037940e-04       1.434074666484e+03 
       3.652869190924e-04       1.529020170530e+03 
       3.902609280857e-04       1.629201126016e+03 
       4.167595729022e-04       1.735120442497e+03 
       4.449320787419e-04       1.847314500208e+03 
       4.749385518446e-04       1.966351115996e+03 
       5.069494446152e-04       2.092825523277e+03 
       5.411444606421e-04       2.227353959199e+03 
       5.777107673647e-04       2.370564383845e+03 
       6.168403942197e-04       2.523084150299e+03 
       6.587267263248e-04       2.685523883648e+03 
       7.035600645611e-04       2.858458294892e+03 
       7.515223156322e-04       3.042403876282e+03 
       8.027809972482e-04       3.237794746461e+03 
       8.574828815586e-04       3.444957790979e+03 
       9.157477311955e-04       3.664089590429e+03 
       9.776626753612e-04       3.895236748122e+03 
       1.043277795842e-03       4.138282371991e+03 
       1.112603422109e-03       4.392940322535e+03 
       1.185609469147e-03       4.658758501575e+03 
       1.262226915914e-03       4.935131028822e+03 
       1.342351263143e-03       5.221318369387e+03 
       1.425847581341e-03       5.516473512341e+03 
       1.512556608961e-03       5.819671501395e+03 
       1.602301309166e-03       6.129939015756e+03 
       1.694893336545e-03       6.446283657782e+03 
       1.790138976679e-03       6.767718144423e+03 
       1.887844266239e-03       7.093282028718e+03 
       1.987819146633e-03       7.422057211547e+03 
       2.089880626781e-03       7.753180601643e+03 
       2.193855019549e-03       8.085851093510e+03 
       2.299579370229e-03       8.419333150439e+03 
       2.406902219710e-03       8.752959714940e+03 
       2.515683847280e-03       9.086128719503e+03 
       2.625796126489e-03       9.418301164987e+03 
       2.737122108794e-03       9.748999026404e+03 
       2.849555428478e-03       1.007779962556e+04 
       2.962999601874e-03       1.040432991246e+04 
       3.077367275601e-03       1.072826408463e+04 
       3.192579463299e-03       1.104931788137e+04 
       3.308564798103e-03       1.136724463924e+04 
       3.425258818671e-03       1.168183144491e+04 
       3.542603299518e-03       1.199289263457e+04 
       3.660545631326e-03       1.230027392431e+04 
       3.779038253264e-03       1.260384038263e+04 
       3.898038136947e-03       1.290347962371e+04 
       4.017506320061e-03       1.319909827585e+04 
       4.137407486727e-03       1.349061842895e+04 
       4.257709591174e-03       1.377797930782e+04 
       4.378383521050e-03       1.406112839578e+04 
       4.499402796725e-03       1.434003099537e+04 
       4.620743303034e-03       1.461465614338e+04 
       4.742383050127e-03       1.488495348632e+04 
       4.864301960332e-03       1.515097640046e+04 
       4.986481678198e-03       1.541268743283e+04 
       5.108905401163e-03       1.567003966214e+04 
       5.231557728525e-03       1.592316538851e+04 
       5.354424526666e-03       1.617191928884e+04 
       5.477492808684e-03       1.641643713108e+04 
       5.600750626800e-03       1.665667755025e+04 
       5.724186976087e-03       1.689269603751e+04 
       5.847791708254e-03       1.712446926761e+04 
       5.971555454340e-03       1.735205914974e+04 
       6.095469555321e-03       1.757543806456e+04 
       6.219525999753e-03       1.779472652932e+04 
       6.343717367671e-03       1.800987903871e+04 
       6.468036780047e-03       1.822096641500e+04 
       6.592477853215e-03       1.842801220209e+04 
       6.717034657720e-03       1.863107758745e+04 
       6.841701681105e-03       1.883016907181e+04 
       6.966473794245e-03       1.902532252672e+04 
       7.091346220825e-03       1.921657752157e+04 
       7.216314509655e-03       1.940398627152e+04 
       7.341374509525e-03       1.958757235216e+04 
       7.466522346332e-03       1.976739451230e+04 
       7.591754402262e-03       1.994346174556e+04 
       7.717067296817e-03       2.011584606277e+04 
       7.842457869495e-03       2.028456189266e+04 
       7.967923163984e-03       2.044965899307e+04 
       8.093460413695e-03       2.061117483003e+04 
       8.219067028532e-03       2.076914494742e+04 
       8.344740582763e-03       2.092360329620e+04 
       8.470478803901e-03       2.107462921788e+04 
       8.596279562492e-03       2.122220864750e+04 
       8.722140862738e-03       2.136639205687e+04 
       8.848060833865e-03       2.150726198976e+04 
       8.974037722186e-03       2.164479861966e+04 
       9.100069883781e-03       2.177906354435e+04 
       9.226155777753e-03       2.191009966400e+04 
       9.352293960001e-03       2.203792693121e+04 
       9.478483077474e-03       2.216259355431e+04 
       9.604721862854e-03       2.228413750599e+04 
       9.731009129646e-03       2.240258420515e+04 
       9.857343767630e-03       2.251797786835e+04 
       9.983724738648e-03       2.263034472644e+04 
       1.011015107270e-02       2.273973855049e+04 
       1.023662186434e-02       2.284616768109e+04 
       1.036313626929e-02       2.294967833482e+04 
       1.048969350137e-02       2.305031642497e+04 
       1.061629282956e-02       2.314810549552e+04 
       1.074293357533e-02       2.324307098417e+04 
       1.086961511017e-02       2.333525205779e+04 
       1.099633685322e-02       2.342469394262e+04 
       1.112309826915e-02       2.351141134152e+04 
       1.124989886614e-02       2.359545226589e+04 
       1.137673819400e-02       2.367683344819e+04 
       1.150361584245e-02       2.375558903918e+04 
       1.163053143951e-02       2.383175408000e+04 
       1.175748464996e-02       2.390535643949e+04 
       1.188447517398e-02       2.397643631772e+04 
       1.201150274583e-02       2.404501641629e+04 
       1.213856713263e-02       2.411111442634e+04 
       1.226566813326e-02       2.417479356130e+04 
       1.239280557729e-02       2.423604895913e+04 
       1.251997932402e-02       2.429492443505e+04 
       1.264718926157e-02       2.435145555750e+04 
       1.277443530606e-02       2.440565801083e+04 
       1.290171740082e-02       2.445758719861e+04 
       1.302903551568e-02       2.450722519476e+04 
       1.315638964630e-02       2.455463423268e+04 
       1.328377981357e-02       2.459982770488e+04 
       1.341120606305e-02       2.464283729069e+04 
       1.353866846442e-02       2.468369474275e+04 
       1.366616711106e-02       2.472241612124e+04 
       1.379370211955e-02       2.475903757800e+04 
       1.392127362936e-02       2.479358024133e+04 
       1.404888180239e-02       2.482607092124e+04 
       1.417652682275e-02       2.485654462168e+04 
       1.430420889639e-02       2.488501426411e+04 
       1.443192825089e-02       2.491150350924e+04 
       1.455968513521e-02       2.493604601529e+04 
       1.468747981950e-02       2.495866700689e+04 
       1.481531259493e-02       2.497939031929e+04 
       1.494318377352e-02       2.499824850551e+04 
       1.507109368808e-02       2.501524406653e+04 
       1.519904269204e-02       2.503041579233e+04 
       1.532703115946e-02       2.504378892956e+04 
       1.545505948490e-02       2.505538567016e+04 
       1.558312808345e-02       2.506522985224e+04 
       1.571123739071e-02       2.507334761126e+04 
       1.583938786281e-02       2.507974654736e+04 
       1.596757997644e-02       2.508445821593e+04 
       1.609581422889e-02       2.508752259406e+04 
       1.622409113817e-02       2.508895555603e+04 
       1.635241124306e-02       2.508876477572e+04 
       1.648077510324e-02       2.508695536246e+04 
       1.660918329944e-02       2.508361108956e+04 
       1.673763643353e-02       2.507870101927e+04 
       1.686613512876e-02       2.507226074144e+04 
       1.699468002990e-02       2.506430631295e+04 
       1.712327180342e-02       2.505487705770e+04 
       1.725191113776e-02       2.504398304656e+04 
       1.738059874354e-02       2.503166133796e+04 
       1.750933535379e-02       2.501790130061e+04 
       1.763812172423e-02       2.500274194449e+04 
       1.776695863358e-02       2.498620849672e+04 
       1.789584688382e-02       2.496831088175e+04 
       1.802478730054e-02       2.494908670561e+04 
       1.815378073323e-02       2.492851977430e+04 
       1.828282805568e-02       2.490668039681e+04 
       1.841193016631e-02       2.488354477867e+04 
       1.854108798858e-02       2.485913704314e+04 
       1.867030247137e-02       2.483352319475e+04 
       1.879957458938e-02       2.480669342586e+04 
       1.892890534364e-02       2.477862110252e+04 
       1.905829576185e-02       2.474941330191e+04 
       1.918774689897e-02       2.471902286686e+04 
       1.931725983761e-02       2.468745827641e+04 
       1.944683568858e-02       2.465481675729e+04 
       1.957647559144e-02       2.462105145681e+04 
       1.970618071497e-02       2.458621258905e+04 
