# Matter power spectrum P(k) at redshift z=0
# for k=1.03549e-05 to 532.9 h/Mpc,
# number of wavenumbers equal to 631
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035488693039e-05       4.923349466689e+01 
       2.308264461892e-05       1.068014240532e+02 
       3.585418200988e-05       1.634294011648e+02 
       4.870304788631e-05       2.196944322841e+02 
       6.166333357666e-05       2.759280369017e+02 
       7.476996977703e-05       3.323804319531e+02 
       8.805903265829e-05       3.892666490302e+02 
       1.015680632403e-04       4.467854629606e+02 
       1.153364040462e-04       5.051290918875e+02 
       1.294055570830e-04       5.644891064084e+02 
       1.438195672030e-04       6.250605320503e+02 
       1.586254348573e-04       6.870450332160e+02 
       1.738735621005e-04       7.506536585304e+02 
       1.896182353967e-04       8.161093410745e+02 
       2.059181482136e-04       8.836492967856e+02 
       2.228369654681e-04       9.535274016544e+02 
       2.404439304604e-04       1.026016575760e+03 
       2.588145128066e-04       1.101411197985e+03 
       2.780310928253e-04       1.180029541610e+03 
       2.981836735618e-04       1.262216150914e+03 
       3.193706058134e-04       1.348344184580e+03 
       3.416993037940e-04       1.438817541101e+03 
       3.652869190924e-04       1.534072624306e+03 
       3.902609280857e-04       1.634579588077e+03 
       4.167595729022e-04       1.740842921714e+03 
       4.449320787419e-04       1.853400713874e+03 
       4.749385518446e-04       1.972822620721e+03 
       5.069494446152e-04       2.099705859650e+03 
       5.411444606421e-04       2.234668796544e+03 
       5.777107673647e-04       2.378341672582e+03 
       6.168403942197e-04       2.531354289488e+03 
       6.587267263248e-04       2.694319882155e+03 
       7.035600645611e-04       2.867815932718e+03 
       7.515223156322e-04       3.052361877746e+03 
       8.027809972482e-04       3.248394919660e+03 
       8.574828815586e-04       3.456245146396e+03 
       9.157477311955e-04       3.676112393844e+03 
       9.776626753612e-04       3.908046467249e+03 
       1.043277795842e-03       4.151933538704e+03 
       1.112603422109e-03       4.407490186866e+03 
       1.185609469147e-03       4.674266523173e+03 
       1.262226915914e-03       4.951658183591e+03 
       1.342351263143e-03       5.238926274652e+03 
       1.425847581341e-03       5.535223419369e+03 
       1.512556608961e-03       5.839623219383e+03 
       1.602301309166e-03       6.151149853811e+03 
       1.694893336545e-03       6.468807432819e+03 
       1.790138976679e-03       6.791604409997e+03 
       1.887844266239e-03       7.118575563144e+03 
       1.987819146633e-03       7.448797783930e+03 
       2.089880626781e-03       7.781403094183e+03 
