# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.429114353430e-10       4.204297601492e-15       3.809063210044e-13       0.000000000000e+00       8.077197446589e-09       4.345658068433e-10      -1.846469790933e-12 
    3       1.351850551645e-10       5.387910781544e-15       4.250015197618e-13       0.000000000000e+00       5.024380248249e-09       3.097812038653e-10      -1.399962294431e-12 
    4       1.276999004289e-10       4.662804929361e-15       3.956596710180e-13       0.000000000000e+00       3.503650600013e-09       2.346117270661e-10      -9.170135928255e-13 
    5       1.219881216595e-10       3.112265064283e-15       3.351012118018e-13       0.000000000000e+00       2.617646132961e-09       1.851486970743e-10      -5.104341730453e-13 
    6       1.179616223027e-10       1.739960551389e-15       2.678083800444e-13       0.000000000000e+00       2.045473894210e-09       1.505323313161e-10      -2.106565464739e-13 
    7       1.152880780442e-10       9.386136522724e-16       2.080378747156e-13       0.000000000000e+00       1.649596823974e-09       1.251546683270e-10      -1.931874343802e-14 
    8       1.135650807829e-10       6.037774215272e-16       1.621328194073e-13       0.000000000000e+00       1.362306257378e-09       1.059032992935e-10       7.846255977608e-14 
    9       1.126116137649e-10       4.836878172096e-16       1.314787706241e-13       0.000000000000e+00       1.146353203242e-09       9.094405689051e-11       1.060085507586e-13 
   10       1.122420178345e-10       4.118754993712e-16       1.145234311502e-13       0.000000000000e+00       9.797118944334e-10       7.909608202883e-11       8.918866538662e-14 
   11       1.122669060605e-10       3.458093647268e-16       1.083626013200e-13       0.000000000000e+00       8.250459881875e-10       6.975246384616e-11       5.205349718721e-14 
