# Matter power spectrum P(k) at redshift z=0
# for k=1.04542e-05 to 530.366 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045418263576e-05       4.795944168013e+01 
       2.335860758179e-05       1.042731712054e+02 
       3.630853901088e-05       1.596697988441e+02 
       4.933894711041e-05       2.147191084220e+02 
       6.248538221742e-05       2.697497148929e+02 
       7.578429296286e-05       3.250106023408e+02 
       8.927335461953e-05       3.807164731129e+02 
       1.029918120354e-04       4.370663829357e+02 
       1.169808415681e-04       4.942533432294e+02 
       1.312839364691e-04       5.524701621924e+02 
       1.459473201725e-04       6.119135876350e+02 
       1.610203918815e-04       6.727874953910e+02 
       1.765562086606e-04       7.353056987494e+02 
       1.926120078640e-04       7.996944976473e+02 
       2.092497730541e-04       8.661951450736e+02 
       2.265368454614e-04       9.350663175304e+02 
       2.445465813295e-04       1.006586572933e+03 
       2.633590529564e-04       1.081056852912e+03 
       2.830617876064e-04       1.158802987770e+03 
       3.037505333829e-04       1.240178160609e+03 
       3.255300342452e-04       1.325565288091e+03 
       3.485147871997e-04       1.415379105259e+03 
       3.728297429224e-04       1.510067933603e+03 
       3.986108964219e-04       1.610114764128e+03 
       4.260056968656e-04       1.716037487737e+03 
       4.551731859315e-04       1.828387827360e+03 
       4.862837534437e-04       1.947748616160e+03 
       5.195183802393e-04       2.074728886206e+03 
       5.550672254829e-04       2.209956354087e+03 
       5.931274150117e-04       2.354066641664e+03 
       6.338999063690e-04       2.507689245703e+03 
       6.775853530004e-04       2.671429596119e+03 
       7.243789710688e-04       2.845847966973e+03 
       7.744645289198e-04       3.031435431977e+03 
       8.280077240351e-04       3.228588472129e+03 
       8.851493661626e-04       3.437583856679e+03 
       9.459989172148e-04       3.658555932827e+03 
       1.010629010894e-03       3.891479092951e+03 
       1.079071554240e-03       4.136157097724e+03 
       1.151315883402e-03       4.392221670838e+03 
       1.227309219042e-03       4.659139971417e+03 
       1.306959384449e-03       4.936231770151e+03 
       1.390139471957e-03       5.222693516403e+03 
       1.476693930060e-03       5.517627001079e+03 
       1.566445434217e-03       5.820070878588e+03 
       1.659201907235e-03       6.129030649492e+03 
       1.754763150336e-03       6.443506492109e+03 
       1.852926696135e-03       6.762516415934e+03 
       1.953492659852e-03       7.085116194882e+03 
       2.056267513617e-03       7.410412282387e+03 
       2.161066822587e-03       7.737572130509e+03 
       2.267717055596e-03       8.065831095953e+03 
       2.376056620830e-03       8.394491316851e+03 
       2.485936286918e-03       8.722925210664e+03 
       2.597219141225e-03       9.050569136237e+03 
       2.709780218116e-03       9.376924715605e+03 
       2.823505906830e-03       9.701549002087e+03 
       2.938293225246e-03       1.002405337795e+04 
       3.054049024753e-03       1.034409674627e+04 
       3.170689173489e-03       1.066138277349e+04 
       3.288137750827e-03       1.097565200073e+04 
       3.406326274758e-03       1.128668116600e+04 
       3.525192975461e-03       1.159427665290e+04 
       3.644682122232e-03       1.189827303473e+04 
       3.764743406647e-03       1.219853086116e+04 
       3.885331381932e-03       1.249492859775e+04 
       4.006404956591e-03       1.278737010403e+04 
       4.127926939195e-03       1.307577101664e+04 
       4.249863630605e-03       1.336006714840e+04 
       4.372184459631e-03       1.364020607423e+04 
       4.494861658082e-03       1.391614543751e+04 
       4.617869971307e-03       1.418785853203e+04 
       4.741186400542e-03       1.445530979562e+04 
       4.864789973635e-03       1.471849114580e+04 
       4.988661541037e-03       1.497741257350e+04 
       5.112783594219e-03       1.523210487342e+04 
       5.237140103981e-03       1.548249209563e+04 
       5.361716376380e-03       1.572859816556e+04 
       5.486498924255e-03       1.597052132624e+04 
       5.611475352558e-03       1.620813930205e+04 
       5.736634255918e-03       1.644163602727e+04 
       5.861965127014e-03       1.667091841022e+04 
       5.987458274547e-03       1.689603212762e+04 
       6.113104749706e-03       1.711696980175e+04 
       6.238896280181e-03       1.733385308202e+04 
       6.364825210863e-03       1.754664553741e+04 
       6.490884450506e-03       1.775540808400e+04 
       6.617067423670e-03       1.796013467136e+04 
       6.743368027394e-03       1.816091872249e+04 
       6.869780592062e-03       1.835776368365e+04 
       6.996299846025e-03       1.855071619058e+04 
       7.122920883578e-03       1.873978953432e+04 
       7.249639135940e-03       1.892504285905e+04 
       7.376450344912e-03       1.910650107018e+04 
       7.503350538959e-03       1.928422351822e+04 
       7.630336011448e-03       1.945822051170e+04 
       7.757403300834e-03       1.962855152741e+04 
       7.884549172602e-03       1.979524016681e+04 
       8.011770602780e-03       1.995834264417e+04 
       8.139064762885e-03       2.011787419764e+04 
       8.266429006150e-03       2.027388833608e+04 
       8.393860854919e-03       2.042642621530e+04 
       8.521357989095e-03       2.057553175485e+04 
       8.648918235536e-03       2.072123251897e+04 
       8.776539558335e-03       2.086356892044e+04 
       8.904220049869e-03       2.100258037595e+04 
       9.031957922578e-03       2.113830520164e+04 
       9.159751501391e-03       2.127077609798e+04 
       9.287599216747e-03       2.140004161940e+04 
       9.415499598159e-03       2.152612425423e+04 
       9.543451268279e-03       2.164906663465e+04 
       9.671452937407e-03       2.176890574013e+04 
       9.799503398424e-03       2.188567232925e+04 
       9.927601522103e-03       2.199940204966e+04 
       1.005574625276e-02       2.211013816664e+04 
       1.018393660426e-02       2.221790114195e+04 
       1.031217165625e-02       2.232274005868e+04 
       1.044045055074e-02       2.242467430901e+04 
       1.056877248888e-02       2.252375267678e+04 
       1.069713672801e-02       2.261999433827e+04 
       1.082554257885e-02       2.271344493174e+04 
       1.095398940300e-02       2.280412825794e+04 
       1.108247661049e-02       2.289207808557e+04 
       1.121100365763e-02       2.297733584140e+04 
       1.133957004488e-02       2.305992197841e+04 
       1.146817531501e-02       2.313987053339e+04 
       1.159681905124e-02       2.321721440734e+04 
       1.172550087565e-02       2.329197792072e+04 
       1.185422044759e-02       2.336420799062e+04 
       1.198297746229e-02       2.343391564830e+04 
       1.211177164948e-02       2.350114746503e+04 
       1.224060277217e-02       2.356592098033e+04 
       1.236947062552e-02       2.362827464456e+04 
       1.249837503574e-02       2.368822830430e+04 
       1.262731585910e-02       2.374582691427e+04 
       1.275629298102e-02       2.380109144193e+04 
       1.288530631519e-02       2.385404637074e+04 
       1.301435580281e-02       2.390472896418e+04 
       1.314344141184e-02       2.395315013757e+04 
       1.327256313632e-02       2.399936584112e+04 
       1.340172099573e-02       2.404337677562e+04 
       1.353091503446e-02       2.408520752679e+04 
       1.366014532122e-02       2.412491210931e+04 
       1.378941194862e-02       2.416248757566e+04 
