# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434406804255e-10       4.241367609341e-15       3.811310511181e-13       2.210607953055e-19       8.132573889089e-09       4.382287321621e-10      -1.856383135087e-12 
    3       1.355950166517e-10       5.434070718330e-15       4.262898126613e-13       4.422133832999e-19       5.026902859631e-09       3.114017654147e-10      -1.405119234239e-12 
    4       1.280285284740e-10       4.696028510730e-15       3.968489956778e-13       7.372244934067e-19       3.495264527405e-09       2.357921302872e-10      -9.193367535596e-13 
    5       1.222503950389e-10       3.129501335961e-15       3.360019406657e-13       1.106211568458e-18       2.605993088302e-09       1.860456395815e-10      -5.106031530280e-13 
    6       1.181743756161e-10       1.747892266180e-15       2.683837470289e-13       1.549317271505e-18       2.033699817426e-09       1.511834033905e-10      -2.096323812230e-13 
    7       1.154500552918e-10       9.437787401579e-16       2.083462165912e-13       2.066706906943e-18       1.639997678713e-09       1.256810436858e-10      -1.790188661370e-14 
    8       1.137234000490e-10       6.091313295531e-16       1.622500423225e-13       2.658565499022e-18       1.355040921776e-09       1.063820278407e-10       7.972925740744e-14 
    9       1.127475063804e-10       4.894131109175e-16       1.315154601852e-13       3.325094612064e-18       1.140806096770e-09       9.137107769353e-11       1.068460108761e-13 
   10       1.123582391064e-10       4.175858813895e-16       1.145601691610e-13       4.066509002798e-18       9.750291991215e-10       7.945239675631e-11       8.952785022612e-14 
   11       1.124071972612e-10       3.516338269068e-16       1.083574521367e-13       4.883033198263e-18       8.215214443124e-10       7.007201929355e-11       5.196695309999e-14 
   12       1.127410569856e-10       3.072220647833e-16       1.096244233792e-13       5.774898092578e-18       7.175989405694e-10       6.210591772776e-11       1.224849898301e-14 
   13       1.134009835624e-10       2.952690356977e-16       1.153847824683e-13       6.742337652558e-18       6.323004657889e-10       5.523975825194e-11      -1.836764580656e-14 
   14       1.142625670888e-10       3.075983945851e-16       1.232911112824e-13       7.785585815881e-18       5.613438019099e-10       4.958060463826e-11      -3.467598324046e-14 
   15       1.152806738435e-10       3.323674125962e-16       1.319281607098e-13       8.904873656456e-18       5.016368728969e-10       4.481519767758e-11      -3.738607794628e-14 
   16       1.164812475090e-10       3.671362689348e-16       1.406175592452e-13       1.010042688025e-17       4.508827684793e-10       4.055515492529e-11      -3.078349610329e-14 
   17       1.177952333183e-10       4.175261484981e-16       1.491399071700e-13       1.137246370147e-17       4.073505963680e-10       3.686540091927e-11      -1.979958051568e-14 
   18       1.192106367741e-10       4.891285035584e-16       1.577674261644e-13       1.272119297128e-17       3.695740718244e-10       3.365666389203e-11      -9.330094068597e-15 
   19       1.207434065910e-10       5.821726534033e-16       1.667571147621e-13       1.414681371927e-17       3.369532081792e-10       3.087730269325e-11      -2.000820333609e-15 
   20       1.223533172274e-10       6.944591103650e-16       1.762960011786e-13       1.564951250567e-17       3.082286849754e-10       2.843782388664e-11       4.904358583172e-16 
   21       1.240472210261e-10       8.253540205768e-16       1.863509857000e-13       1.722946555899e-17       2.829479010489e-10       2.628364514909e-11      -1.273546024330e-15 
   22       1.258137617903e-10       9.744421320318e-16       1.967390700486e-13       1.888683588549e-17       2.605046562079e-10       2.433909883175e-11      -5.522347020899e-15 
   23       1.276469589886e-10       1.141916371037e-15       2.071373602267e-13       2.062177678534e-17       2.405893110293e-10       2.259441825919e-11      -1.047843409588e-14 
   24       1.295223740084e-10       1.327980708277e-15       2.171303008152e-13       2.243442891017e-17       2.227403398105e-10       2.103864035611e-11      -1.425432539615e-14 
   25       1.314467681886e-10       1.532742784081e-15       2.264046481399e-13       2.432492541161e-17       2.067468126324e-10       1.965357987532e-11      -1.604654649607e-14 
   26       1.334209185902e-10       1.756506915269e-15       2.346841862204e-13       2.629338838665e-17       1.923184023535e-10       1.840253698351e-11      -1.557590607826e-14 
   27       1.354446079783e-10       2.001258296427e-15       2.418622805893e-13       2.833993387917e-17       1.792822008614e-10       1.725551937044e-11      -1.352093562720e-14 
   28       1.375076904863e-10       2.269485527132e-15       2.479149634619e-13       3.046466945836e-17       1.674138158497e-10       1.618003790506e-11      -1.094122992290e-14 
   29       1.396164479303e-10       2.562601296552e-15       2.529116556367e-13       3.266770260246e-17       1.566521109574e-10       1.518214667028e-11      -8.466048893183e-15 
   30       1.417697192287e-10       2.881666636695e-15       2.569895889810e-13       3.494913362774e-17       1.468805442393e-10       1.427452202786e-11      -6.694819660284e-15 
   31       1.439554392664e-10       3.227699982374e-15       2.602886824944e-13       3.730905570852e-17       1.378987508516e-10       1.346131665281e-11      -6.172009960966e-15 
   32       1.461759017079e-10       3.601713623689e-15       2.627548048719e-13       3.974756578846e-17       1.296602602258e-10       1.273257301654e-11      -6.702345875791e-15 
   33       1.484292384747e-10       4.004681206437e-15       2.642617025570e-13       4.226475747469e-17       1.221070557187e-10       1.206590082062e-11      -7.765762714742e-15 
   34       1.507072054109e-10       4.437507429658e-15       2.646696431159e-13       4.486071983237e-17       1.151336296976e-10       1.143516152813e-11      -8.790297595955e-15 
