# Matter power spectrum P(k) at redshift z=0
# for k=1.04191e-05 to 528.706 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041908238681e-05       4.827202639990e+01 
       2.329572772725e-05       1.050205036369e+02 
       3.621755309602e-05       1.608431402670e+02 
       4.921930226242e-05       2.163139407772e+02 
       6.233629263574e-05       2.717635455636e+02 
       7.560472997094e-05       3.274422424428e+02 
       8.906203312220e-05       3.835657319639e+02 
       1.027471731613e-04       4.403338653728e+02 
       1.167010312109e-04       4.979403393968e+02 
       1.309667793763e-04       5.565785808448e+02 
       1.455902891651e-04       6.164458537697e+02 
       1.606205717266e-04       6.777465365165e+02 
       1.761102540636e-04       7.406948629038e+02 
       1.921160950017e-04       8.055175191071e+02 
       2.086995440477e-04       8.724560894081e+02 
       2.259273451923e-04       9.417695026433e+02 
       2.438721860586e-04       1.013736543771e+03 
       2.626133903290e-04       1.088658286481e+03 
       2.822376478497e-04       1.166860640344e+03 
       3.028397718653e-04       1.248696772852e+03 
       3.245234661137e-04       1.334549496228e+03 
       3.474020756007e-04       1.424833394631e+03 
       3.715992834022e-04       1.519996568989e+03 
       3.972497015584e-04       1.620521719240e+03 
       4.244992870343e-04       1.726926437987e+03 
       4.535054943711e-04       1.839762175696e+03 
       4.844370563661e-04       1.959611593947e+03 
       5.174732654477e-04       2.087083725019e+03 
       5.528026154277e-04       2.222806631241e+03 
       5.906206618648e-04       2.367416658874e+03 
       6.311269767112e-04       2.521544669565e+03 
       6.745211171686e-04       2.685798218488e+03 
       7.209976061859e-04       2.860740536972e+03 
       7.707400346226e-04       3.046866628578e+03 
       8.239145361946e-04       3.244577901926e+03 
       8.806630379131e-04       3.454156840317e+03 
       9.410968211426e-04       3.675744195252e+03 
       1.005291004947e-03       3.909320981834e+03 
       1.073280550461e-03       4.154697267600e+03 
       1.145058265224e-03       4.411510508910e+03 
       1.220575069444e-03       4.679232433149e+03 
       1.299742510642e-03       4.957185777557e+03 
       1.382437237505e-03       5.244567915169e+03 
       1.468506926931e-03       5.540480062681e+03 
       1.557777041207e-03       5.843958568209e+03 
       1.650057785971e-03       6.154004817193e+03 
       1.745150726538e-03       6.469613818962e+03 
       1.842854664634e-03       6.789797587332e+03 
