# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.417541356662e-10       4.119952248738e-15       3.780615618295e-13       0.000000000000e+00       8.158823036718e-09       4.282035586053e-10      -1.833376261722e-12 
    3       1.343137515380e-10       5.298758517804e-15       4.224297332047e-13       0.000000000000e+00       5.077407821118e-09       3.052155242451e-10      -1.390036569887e-12 
    4       1.270485325789e-10       4.599580134745e-15       3.933169577295e-13       0.000000000000e+00       3.537966574016e-09       2.314749286864e-10      -9.127008295231e-13 
    5       1.215019027362e-10       3.080315064981e-15       3.333185530381e-13       0.000000000000e+00       2.641764613512e-09       1.828971724516e-10      -5.101891703732e-13 
    6       1.175730386595e-10       1.727355553330e-15       2.666310547453e-13       0.000000000000e+00       2.062160822908e-09       1.487363739641e-10      -2.127199536689e-13 
    7       1.149237289005e-10       9.325342121668e-16       2.074022959067e-13       0.000000000000e+00       1.662146254440e-09       1.236675322294e-10      -2.214668776204e-14 
    8       1.132922107305e-10       5.985016071234e-16       1.618462483686e-13       0.000000000000e+00       1.373338358233e-09       1.047156852073e-10       7.596537391464e-14 
    9       1.123775828508e-10       4.789526341932e-16       1.313838693635e-13       0.000000000000e+00       1.156894912360e-09       9.000828128356e-11       1.044217170389e-13 
   10       1.120058283081e-10       4.086110506893e-16       1.145805235658e-13       0.000000000000e+00       9.893687578966e-10       7.832105385224e-11       8.862061739414e-14 
   11       1.120708656992e-10       3.439545622371e-16       1.084873949437e-13       0.000000000000e+00       8.320263450913e-10       6.919749295473e-11       5.239118889788e-14 
   12       1.124824123502e-10       2.996674068440e-16       1.097832753309e-13       0.000000000000e+00       7.269398808030e-10       6.115814772856e-11       1.304686827192e-14 
   13       1.131221138062e-10       2.871574178256e-16       1.155380651080e-13       0.000000000000e+00       6.406697227305e-10       5.459420782063e-11      -1.733517715339e-14 
   14       1.139952436135e-10       2.990865991456e-16       1.235484898194e-13       0.000000000000e+00       5.689046893167e-10       4.902061712572e-11      -3.401038718665e-14 
   15       1.150446226798e-10       3.237765082230e-16       1.323269273051e-13       0.000000000000e+00       5.085028805241e-10       4.412540043117e-11      -3.750958386429e-14 
   16       1.162193668338e-10       3.584096833293e-16       1.411452612254e-13       0.000000000000e+00       4.571491213736e-10       3.998209265544e-11      -3.131114150684e-14 
   17       1.175280740629e-10       4.082333792066e-16       1.498620952836e-13       0.000000000000e+00       4.130988874798e-10       3.644232330478e-11      -2.049273607212e-14 
   18       1.189441950246e-10       4.788338041629e-16       1.586375100401e-13       0.000000000000e+00       3.748678141349e-10       3.332755462081e-11      -9.938568083164e-15 
   19       1.204688106755e-10       5.707785834478e-16       1.677207790259e-13       0.000000000000e+00       3.418511376129e-10       3.058558519987e-11      -2.331000799209e-15 
   20       1.220601894090e-10       6.822679733422e-16       1.773495055373e-13       0.000000000000e+00       3.127737031943e-10       2.813481744126e-11       4.788161153157e-16 
   21       1.237271239823e-10       8.124619468195e-16       1.874956675151e-13       0.000000000000e+00       2.871783159846e-10       2.597519944897e-11      -1.028823737159e-15 
   22       1.254625286224e-10       9.605861435102e-16       1.979681150412e-13       0.000000000000e+00       2.644527418884e-10       2.409022874095e-11      -5.167682847709e-15 
   23       1.272659235924e-10       1.127065125687e-15       2.084499697448e-13       0.000000000000e+00       2.442842321026e-10       2.241520634620e-11      -1.017185778335e-14 
   24       1.291180497203e-10       1.312498897052e-15       2.185337173637e-13       0.000000000000e+00       2.262060240344e-10       2.085741650782e-11      -1.412355127637e-14 
   25       1.310229103375e-10       1.516944630086e-15       2.278936615788e-13       0.000000000000e+00       2.100051334005e-10       1.943496747737e-11      -1.613532343610e-14 
   26       1.329761553814e-10       1.740499728318e-15       2.362440178201e-13       0.000000000000e+00       1.953880611713e-10       1.818073129724e-11      -1.582775046167e-14 
   27       1.349772415466e-10       1.985032055458e-15       2.435242598762e-13       0.000000000000e+00       1.821795493837e-10       1.706094993110e-11      -1.386146834247e-14 
   28       1.370168074511e-10       2.252953871683e-15       2.497618776592e-13       0.000000000000e+00       1.701520418645e-10       1.601680446219e-11      -1.130438279568e-14 
   29       1.390994640161e-10       2.545724662533e-15       2.549847863319e-13       0.000000000000e+00       1.592440282826e-10       1.504667526986e-11      -8.786403287034e-15 
   30       1.412212154195e-10       2.864509255283e-15       2.592453415832e-13       0.000000000000e+00       1.493381582777e-10       1.416080554145e-11      -6.907214520571e-15 
   31       1.433676699743e-10       3.210423511296e-15       2.626089950262e-13       0.000000000000e+00       1.402321412478e-10       1.336155338668e-11      -6.222060466777e-15 
   32       1.455433480463e-10       3.584441774172e-15       2.650762881702e-13       0.000000000000e+00       1.318790022746e-10       1.264123625164e-11      -6.584391822489e-15 
   33       1.477507334140e-10       3.987443482836e-15       2.666327171370e-13       0.000000000000e+00       1.242198217840e-10       1.198178877619e-11      -7.545357648188e-15 
   34       1.499856641123e-10       4.420257718898e-15       2.672412880287e-13       0.000000000000e+00       1.171475340215e-10       1.136114389227e-11      -8.595137751744e-15 
   35       1.522522881613e-10       4.883760256468e-15       2.667464154363e-13       0.000000000000e+00       1.106258302139e-10       1.077697494066e-11      -9.450999800247e-15 
   36       1.545516378151e-10       5.378801785452e-15       2.649330920147e-13       0.000000000000e+00       1.046021714620e-10       1.023042559002e-11      -9.861337243613e-15 
   37       1.568802630100e-10       5.906176485439e-15       2.615968404615e-13       0.000000000000e+00       9.899794612612e-11       9.720466070275e-12      -9.615634972294e-15 
   38       1.592421097604e-10       6.466616926408e-15       2.567059493628e-13       0.000000000000e+00       9.379868483498e-11       9.247074955118e-12      -8.849425768979e-15 
   39       1.616393883900e-10       7.060789938099e-15       2.502928315835e-13       0.000000000000e+00       8.898797722260e-11       8.808657251866e-12      -7.843293361589e-15 
   40       1.640686373130e-10       7.689292239844e-15       2.424123672406e-13       0.000000000000e+00       8.452003925990e-11       8.400887779894e-12      -6.946991381079e-15 
   41       1.665232344023e-10       8.352691581529e-15       2.331230995525e-13       0.000000000000e+00       8.033566970081e-11       8.018249424125e-12      -6.489093510495e-15 
   42       1.690033362607e-10       9.051677035334e-15       2.224201270983e-13       0.000000000000e+00       7.642252715658e-11       7.659822719422e-12      -6.459808383818e-15 
   43       1.715081789300e-10       9.786950094159e-15       2.102826994975e-13       0.000000000000e+00       7.277016182982e-11       7.324980073371e-12      -6.732445538164e-15 
   44       1.740328829847e-10       1.055918196061e-14       1.966925211163e-13       0.000000000000e+00       6.935192389778e-11       7.011658055627e-12      -7.147325295888e-15 
   45       1.765715660382e-10       1.136899442973e-14       1.816262376219e-13       0.000000000000e+00       6.613447408387e-11       6.717108639192e-12      -7.545944181777e-15 
   46       1.791286812590e-10       1.221689890090e-14       1.650302330900e-13       0.000000000000e+00       6.311274431682e-11       6.440694263811e-12      -7.890477592808e-15 
   47       1.817104251916e-10       1.310333683808e-14       1.468382866529e-13       0.000000000000e+00       6.028323568771e-11       6.181730948083e-12      -8.176519895775e-15 
   48       1.843213686541e-10       1.402869364422e-14       1.269779972923e-13       0.000000000000e+00       5.763347585562e-11       5.938629119627e-12      -8.400009129906e-15 
   49       1.869642795171e-10       1.499329628896e-14       1.053703447206e-13       0.000000000000e+00       5.514135167184e-11       5.708827495182e-12      -8.557264523636e-15 
   50       1.896402777106e-10       1.599738912600e-14       8.194511717282e-14       0.000000000000e+00       5.278177057648e-11       5.489569449879e-12      -8.649476624897e-15 
   51       1.923497610047e-10       1.704105911098e-14       5.669315043086e-14       0.000000000000e+00       5.055032474698e-11       5.280633961416e-12      -8.697527494768e-15 
   52       1.950914241831e-10       1.812428618404e-14       2.962750944821e-14       0.000000000000e+00       4.844489671529e-11       5.082231657503e-12      -8.731258137904e-15 
   53       1.978617910230e-10       1.924695998783e-14       7.691610180446e-16       0.000000000000e+00       4.645857716071e-11       4.894201270136e-12      -8.785608672893e-15 
   54       2.006550527075e-10       2.040887646872e-14      -2.985271866738e-14       0.000000000000e+00       4.457934241758e-11       4.715983162249e-12      -8.900865383775e-15 
   55       2.034653779691e-10       2.160981796116e-14      -6.221119394477e-14       0.000000000000e+00       4.279372097335e-11       4.546837535059e-12      -9.110800885265e-15 
   56       2.062948857429e-10       2.284982452415e-14      -9.631666403392e-14       0.000000000000e+00       4.109959838107e-11       4.386623176662e-12      -9.403078512053e-15 
   57       2.091473700587e-10       2.412898405742e-14      -1.321899481600e-13       0.000000000000e+00       3.949602849139e-11       4.235165801155e-12      -9.749444259920e-15 
   58       2.120259379710e-10       2.544735458107e-14      -1.698524010359e-13       0.000000000000e+00       3.797935972253e-11       4.092013745895e-12      -1.011675211072e-14 
   59       2.149329442728e-10       2.680496408943e-14      -2.093260244257e-13       0.000000000000e+00       3.654306798319e-11       3.956421031168e-12      -1.046673938703e-14 
   60       2.178699262093e-10       2.820181040495e-14      -2.506335787080e-13       0.000000000000e+00       3.517758959535e-11       3.827330419844e-12      -1.075580210682e-14 
   61       2.208378889413e-10       2.963776139432e-14      -2.937927763451e-13       0.000000000000e+00       3.387297670982e-11       3.703660023947e-12      -1.094516649953e-14 
   62       2.238383845063e-10       3.111222977495e-14      -3.387970868750e-13       0.000000000000e+00       3.262793803292e-11       3.585276623895e-12      -1.103457970693e-14 
   63       2.268725602926e-10       3.262442472382e-14      -3.856308017575e-13       0.000000000000e+00       3.144254014185e-11       3.472211754537e-12      -1.103581710014e-14 
   64       2.299407765756e-10       3.417344183198e-14      -4.342744975716e-13       0.000000000000e+00       3.031548807409e-11       3.364370272375e-12      -1.096305655760e-14 
   65       2.330425523612e-10       3.575825979702e-14      -4.847049598028e-13       0.000000000000e+00       2.924404780581e-11       3.261523046536e-12      -1.083298368206e-14 
   66       2.361765112283e-10       3.737773711549e-14      -5.368951066296e-13       0.000000000000e+00       2.822396873031e-11       3.163299649752e-12      -1.066489701762e-14 
   67       2.393403271714e-10       3.903060877529e-14      -5.908139127103e-13       0.000000000000e+00       2.724940613638e-11       3.069181049329e-12      -1.048081326664e-14 
