# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.412009642021e-10       4.084951627505e-15       3.777792770340e-13       2.322324644995e-19       8.293409634857e-09       4.245495147723e-10      -1.823952797620e-12 
    3       1.339116133576e-10       5.255703107936e-15       4.211924715290e-13       4.645606193492e-19       5.090714228857e-09       3.027395155206e-10      -1.384935093506e-12 
    4       1.267449843664e-10       4.569371097317e-15       3.921589060293e-13       7.744783949459e-19       3.542049818561e-09       2.298216726530e-10      -9.104831347409e-13 
    5       1.212629959970e-10       3.065867658989e-15       3.324589069179e-13       1.162108010901e-18       2.645421817455e-09       1.816962792672e-10      -5.099172555292e-13 
    6       1.173889439743e-10       1.722768942098e-15       2.660750259865e-13       1.627597755654e-18       2.067281012079e-09       1.478373200284e-10      -2.136319499211e-13 
    7       1.147760554350e-10       9.317286994031e-16       2.070899635068e-13       2.171119200141e-18       1.668313238612e-09       1.229694379776e-10      -2.348299298735e-14 
    8       1.131651360465e-10       5.987339332118e-16       1.617282545256e-13       2.792864048971e-18       1.378869814131e-09       1.041479568461e-10       7.473740183531e-14 
    9       1.122614098854e-10       4.801531514827e-16       1.313974936015e-13       3.493040723558e-18       1.160783476258e-09       8.955090790798e-11       1.035871960337e-13 
   10       1.119319752189e-10       4.113155356070e-16       1.146352675881e-13       4.271870778201e-18       9.917631719038e-10       7.795190901862e-11       8.824883303346e-14 
   11       1.120052860923e-10       3.481935117107e-16       1.085139301562e-13       5.129585253103e-18       8.354946111997e-10       6.878522653238e-11       5.229979642020e-14 
   12       1.123723052500e-10       3.051495448306e-16       1.097871533227e-13       6.066421067618e-18       7.300256760980e-10       6.086809554902e-11       1.332381837105e-14 
   13       1.130312355313e-10       2.938054508849e-16       1.155807776729e-13       7.082617552758e-18       6.434363796143e-10       5.424283506178e-11      -1.711144245982e-14 
   14       1.139313571253e-10       3.070602058345e-16       1.236314329505e-13       8.178413214283e-18       5.713977818368e-10       4.879212886017e-11      -3.382402832120e-14 
   15       1.149553690355e-10       3.332356398772e-16       1.324280380311e-13       9.354042806923e-18       5.107699403688e-10       4.405955752931e-11      -3.734866488900e-14 
   16       1.161321941503e-10       3.694432066071e-16       1.412925348248e-13       1.060973478687e-17       4.592208151769e-10       3.987967372532e-11      -3.136499247437e-14 
   17       1.174553872785e-10       4.208779344013e-16       1.500297001632e-13       1.194570919404e-17       4.149998774123e-10       3.626350142708e-11      -2.073670886841e-14 
   18       1.188746208800e-10       4.930725128717e-16       1.588618415465e-13       1.336217581056e-17       3.766191257021e-10       3.313341182047e-11      -1.030183326923e-14 
   19       1.203946830031e-10       5.866108953644e-16       1.680059721976e-13       1.485933392874e-17       3.434704967732e-10       3.043015021961e-11      -2.726519832873e-15 
   20       1.219833321284e-10       6.997579329013e-16       1.776286106543e-13       1.643736957162e-17       3.142760762703e-10       2.803595383490e-11       1.623654011086e-16 
   21       1.236463010842e-10       8.317864685764e-16       1.877450486557e-13       1.809645816405e-17       2.885771138404e-10       2.590651508200e-11      -1.189238490701e-15 
   22       1.253698707480e-10       9.820300060735e-16       1.982401045243e-13       1.983676147709e-17       2.657585090820e-10       2.399019664771e-11      -5.157080962119e-15 
   23       1.271553355732e-10       1.150819937663e-15       2.087747679857e-13       2.165843172334e-17       2.455063938451e-10       2.228067906174e-11      -1.001603955111e-14 
   24       1.289892109469e-10       1.338602858277e-15       2.188928317706e-13       2.356160844905e-17       2.273523881270e-10       2.076276823020e-11      -1.388379477144e-14 
   25       1.308831425906e-10       1.545438941390e-15       2.282879185263e-13       2.554642428758e-17       2.110826039018e-10       1.941056707032e-11      -1.589220730740e-14 
   26       1.328383377769e-10       1.771478827077e-15       2.367046061343e-13       2.761300121769e-17       1.964023003430e-10       1.818026784123e-11      -1.566377329229e-14 
   27       1.348422838808e-10       2.018606605429e-15       2.440369719102e-13       2.976145604410e-17       1.831360812843e-10       1.704782973084e-11      -1.380436081160e-14 
   28       1.368701015791e-10       2.289246585976e-15       2.502554852551e-13       3.199189783563e-17       1.710561426972e-10       1.599003477175e-11      -1.131376371871e-14 
   29       1.389309547297e-10       2.584898047504e-15       2.554279510920e-13       3.430443665881e-17       1.601006284731e-10       1.501137360277e-11      -8.823965766885e-15 
   30       1.410338941652e-10       2.906782509684e-15       2.596909186823e-13       3.669917636487e-17       1.501512628653e-10       1.411877599956e-11      -6.963781979979e-15 
   31       1.431772703480e-10       3.256061398487e-15       2.631821335376e-13       3.917621452210e-17       1.410044649389e-10       1.331148802679e-11      -6.316158043451e-15 
   32       1.453636737374e-10       3.633659730042e-15       2.658397107388e-13       4.173565312226e-17       1.326131571199e-10       1.258355632052e-11      -6.722779551561e-15 
   33       1.475878419607e-10       4.040362961379e-15       2.675263891160e-13       4.437759174845e-17       1.249184617650e-10       1.192063244535e-11      -7.706970100131e-15 
   34       1.498372503288e-10       4.476895408171e-15       2.680937343647e-13       4.710212619354e-17       1.178131497624e-10       1.130378573739e-11      -8.735613904457e-15 
   35       1.521128475250e-10       4.944066197076e-15       2.674325449978e-13       4.990935328497e-17       1.112608319965e-10       1.072828007593e-11      -9.546279888515e-15 
   36       1.544137861184e-10       5.442664370310e-15       2.654382460316e-13       5.279936791192e-17       1.052087421704e-10       1.019045418741e-11      -9.926452032997e-15 
   37       1.567352274771e-10       5.973450675240e-15       2.620145286420e-13       5.577226104933e-17       9.957791541467e-11       9.684714980651e-12      -9.701004169300e-15 
   38       1.590826317296e-10       6.537277816471e-15       2.571338541038e-13       5.882811688902e-17       9.435381524737e-11       9.211560549862e-12      -8.993126896141e-15 
   39       1.614610616904e-10       7.135005085608e-15       2.507973832949e-13       6.196701490270e-17       8.951994704822e-11       8.771751769339e-12      -8.052668539248e-15 
   40       1.638706655170e-10       7.767463838829e-15       2.430197769919e-13       6.518903068542e-17       8.503029899083e-11       8.363909167023e-12      -7.191449171311e-15 
   41       1.663083303753e-10       8.435430922938e-15       2.338192461469e-13       6.849423273877e-17       8.082538117692e-11       7.985162673891e-12      -6.704767114184e-15 
   42       1.687745921697e-10       9.139542968227e-15       2.231819348048e-13       7.188267142315e-17       7.689281340347e-11       7.633835257753e-12      -6.595528867066e-15 
   43       1.712680640347e-10       9.880351101127e-15       2.110872536448e-13       7.535438650568e-17       7.322212616166e-11       7.307296822786e-12      -6.767076467745e-15 
