# Matter power spectrum P(k) at redshift z=0
# for k=1.05585e-05 to 541.964 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055852937587e-05       4.643480325370e+01 
       2.354577459380e-05       1.007682500682e+02 
       3.657950796098e-05       1.542216438363e+02 
       4.969538056532e-05       2.073453327543e+02 
       6.292964339490e-05       2.604579104450e+02 
       7.631947591371e-05       3.138014063799e+02 
       8.990332531742e-05       3.675849748345e+02 
       1.037212610497e-04       4.220028428179e+02 
       1.178153491945e-04       4.772436178476e+02 
       1.322300513933e-04       5.334959709123e+02 
       1.470126529400e-04       5.909526327601e+02 
       1.622137246335e-04       6.498135706924e+02 
       1.778876227676e-04       7.102887107389e+02 
       1.940930312188e-04       7.726004790672e+02 
       2.108935488575e-04       8.369862413809e+02 
       2.283583243069e-04       9.037007582650e+02 
       2.465627382169e-04       9.730186033666e+02 
       2.655891304691e-04       1.045236686923e+03 
       2.855275657773e-04       1.120676731155e+03 
       3.064766256368e-04       1.199687715634e+03 
       3.285442070815e-04       1.282648207247e+03 
       3.518482988051e-04       1.369968460381e+03 
       3.765176924845e-04       1.462092056551e+03 
       4.026925713716e-04       1.559496989843e+03 
       4.305248994985e-04       1.662695645845e+03 
       4.601785138523e-04       1.772233680189e+03 
       4.918288003110e-04       1.888686997476e+03 
       5.256618150193e-04       2.012656513035e+03 
       5.618727010436e-04       2.144760336260e+03 
       6.006632522914e-04       2.285622531890e+03 
       6.422385010491e-04       2.435858526275e+03 
       6.868022605471e-04       2.596056824673e+03 
       7.345516458463e-04       2.766757440041e+03 
       7.856707252009e-04       2.948427719341e+03 
       8.403236098760e-04       3.141437123156e+03 
       8.986474502429e-04       3.346032475329e+03 
       9.607459348958e-04       3.562316494430e+03 
       1.026683947396e-03       3.790231735827e+03 
       1.096483989134e-03       4.029551921635e+03 
       1.170124815492e-03       4.279882486977e+03 
       1.247542476167e-03       4.540670585036e+03 
       1.328633649281e-03       4.811223641383e+03 
       1.413260878645e-03       5.090735016725e+03 
       1.501259123885e-03       5.378312624636e+03 
       1.592442948494e-03       5.673011084492e+03 
       1.686613702011e-03       5.973859708457e+03 
       1.783566171934e-03       6.279889202976e+03 
       1.883094346798e-03       6.590154073247e+03 
       1.984996103190e-03       6.903749118108e+03 
       2.089076776423e-03       7.219821996991e+03 
       2.195151682193e-03       7.537581079418e+03 
       2.303047722304e-03       7.856301583396e+03 
       2.412604237391e-03       8.175323441810e+03 
       2.523673272965e-03       8.494053651676e+03 
       2.636119411813e-03       8.811960868812e+03 
       2.749819303814e-03       9.128575139334e+03 
       2.864660999489e-03       9.443479400955e+03 
       2.980543169677e-03       9.756308212292e+03 
       3.097374272597e-03       1.006674118327e+04 
       3.215071712044e-03       1.037449995772e+04 
       3.333561016496e-03       1.067934240279e+04 
       3.452775058299e-03       1.098105968554e+04 
       3.572653324198e-03       1.127947085440e+04 
       3.693141242843e-03       1.157442459802e+04 
       3.814189570953e-03       1.186578887764e+04 
       3.935753837241e-03       1.215345318076e+04 
       4.057793841503e-03       1.243732532089e+04 
       4.180273205324e-03       1.271733194436e+04 
       4.303158970347e-03       1.299340798276e+04 
       4.426421239886e-03       1.326550393122e+04 
       4.550032859711e-03       1.353358597046e+04 
       4.673969134006e-03       1.379762336277e+04 
       4.798207572770e-03       1.405757923810e+04 
       4.922727667219e-03       1.431346404939e+04 
       5.047510690062e-03       1.456525843566e+04 
       5.172539517830e-03       1.481301518272e+04 
       5.297798472749e-03       1.505664149660e+04 
       5.423273181880e-03       1.529619135601e+04 
       5.548950451566e-03       1.553171870415e+04 
       5.674818155389e-03       1.576316499878e+04 
       5.800865134094e-03       1.599064304814e+04 
       5.927081106103e-03       1.621409967421e+04 
       6.053456587397e-03       1.643356959168e+04 
       6.179982819716e-03       1.664904154109e+04 
       6.306651706114e-03       1.686065173820e+04 
       6.433455753069e-03       1.706833076987e+04 
       6.560388018386e-03       1.727216648050e+04 
       6.687442064291e-03       1.747214660807e+04 
       6.814611915107e-03       1.766834691947e+04 
       6.941892019051e-03       1.786078200426e+04 
       7.069277213681e-03       1.804947808170e+04 
       7.196762694627e-03       1.823447319574e+04 
       7.324343987240e-03       1.841581233918e+04 
       7.452016920875e-03       1.859351706400e+04 
       7.579777605517e-03       1.876763753181e+04 
       7.707622410527e-03       1.893821464775e+04 
       7.835547945285e-03       1.910526850201e+04 
       7.963551041542e-03       1.926884534235e+04 
       8.091628737315e-03       1.942898269548e+04 
       8.219778262171e-03       1.958571045251e+04 
       8.347997023769e-03       1.973906604339e+04 
       8.476282595537e-03       1.988909657414e+04 
       8.604632705379e-03       2.003583473382e+04 
       8.733045225316e-03       2.017931088954e+04 
       8.861518161971e-03       2.031956462260e+04 
       8.990049647826e-03       2.045662456377e+04 
       9.118637933177e-03       2.059054975077e+04 
       9.247281378729e-03       2.072135999878e+04 
       9.375978448772e-03       2.084907667749e+04 
       9.504727704884e-03       2.097375099698e+04 
       9.633527800123e-03       2.109541894830e+04 
       9.762377473661e-03       2.121410129240e+04 
       9.891275545822e-03       2.132984040689e+04 
       1.002022091350e-02       2.144266870608e+04 
       1.014921254589e-02       2.155261810681e+04 
       1.027824948059e-02       2.165972179224e+04 
       1.040733081994e-02       2.176401398824e+04 
       1.053645572761e-02       2.186552496196e+04 
       1.066562342554e-02       2.196428389132e+04 
       1.079483319094e-02       2.206033104428e+04 
       1.092408435365e-02       2.215368960719e+04 
       1.105337629362e-02       2.224439500298e+04 
       1.118270843856e-02       2.233248005059e+04 
       1.131208026177e-02       2.241796988632e+04 
       1.144149128017e-02       2.250089897463e+04 
       1.157094105235e-02       2.258128905055e+04 
       1.170042917690e-02       2.265918269312e+04 
       1.182995529074e-02       2.273459925481e+04 
       1.195951906765e-02       2.280757227388e+04 
       1.208912021682e-02       2.287813481140e+04 
       1.221875848160e-02       2.294630105245e+04 
       1.234843363825e-02       2.301210740098e+04 
       1.247814549483e-02       2.307559039813e+04 
       1.260789389015e-02       2.313677286681e+04 
       1.273767869280e-02       2.319567403534e+04 
       1.286749980026e-02       2.325233201816e+04 
       1.299735713805e-02       2.330676318857e+04 
       1.312725065894e-02       2.335901488380e+04 
       1.325718034229e-02       2.340908913804e+04 
       1.338714619334e-02       2.345702099247e+04 
       1.351714824262e-02       2.350284185111e+04 
       1.364718654539e-02       2.354657568598e+04 
       1.377726118113e-02       2.358823868833e+04 
       1.390737225305e-02       2.362787068986e+04 
       1.403751988769e-02       2.366548322446e+04 
       1.416770423450e-02       2.370110633267e+04 
       1.429792546551e-02       2.373476195624e+04 
       1.442818377499e-02       2.376648103390e+04 
       1.455847937918e-02       2.379629076459e+04 
       1.468881251602e-02       2.382420771382e+04 
       1.481918344497e-02       2.385025450177e+04 
       1.494959244674e-02       2.387445550831e+04 
       1.508003982320e-02       2.389683349482e+04 
       1.521052589718e-02       2.391742200963e+04 
       1.534105101241e-02       2.393623452419e+04 
       1.547161553338e-02       2.395329058871e+04 
       1.560221984531e-02       2.396863169253e+04 
       1.573286435409e-02       2.398225222192e+04 
       1.586354948626e-02       2.399420653520e+04 
       1.599427568902e-02       2.400448088406e+04 
       1.612504343024e-02       2.401313044336e+04 
       1.625585319851e-02       2.402015947953e+04 
       1.638670550319e-02       2.402558392770e+04 
       1.651760087451e-02       2.402944899053e+04 
       1.664853986365e-02       2.403175524116e+04 
       1.677952304287e-02       2.403251360295e+04 
       1.691055100564e-02       2.403179426160e+04 
       1.704162436681e-02       2.402956639878e+04 
       1.717274376275e-02       2.402586441975e+04 
       1.730390985156e-02       2.402071245940e+04 
       1.743512331329e-02       2.401415940141e+04 
       1.756638485012e-02       2.400615363386e+04 
       1.769769518664e-02       2.399678500335e+04 
       1.782905507010e-02       2.398605437823e+04 
       1.796046527067e-02       2.397396874574e+04 
       1.809192658172e-02       2.396054524074e+04 
       1.822343982017e-02       2.394581776766e+04 
       1.835500582677e-02       2.392978910778e+04 
       1.848662546645e-02       2.391251187986e+04 
       1.861829962870e-02       2.389397605936e+04 
       1.875002922792e-02       2.387419782776e+04 
       1.888181520380e-02       2.385317626109e+04 
       1.901365852178e-02       2.383098942176e+04 
       1.914556017340e-02       2.380765767453e+04 
       1.927752117682e-02       2.378313976137e+04 
       1.940954257722e-02       2.375745411402e+04 
       1.954162544730e-02       2.373069049945e+04 
       1.967377088779e-02       2.370278501855e+04 
       1.980598002795e-02       2.367383732803e+04 
       1.993825402610e-02       2.364372264570e+04 
       2.007059407018e-02       2.361264614937e+04 
       2.020300137833e-02       2.358052529570e+04 
       2.033547719947e-02       2.354733806766e+04 
       2.046802281391e-02       2.351318596504e+04 
       2.060063953400e-02       2.347805656358e+04 
       2.073332870476e-02       2.344191907029e+04 
       2.086609170459e-02       2.340487307055e+04 
       2.099892994592e-02       2.336685034817e+04 
       2.113184487600e-02       2.332796000255e+04 
       2.126483797756e-02       2.328814006874e+04 
       2.139791076965e-02       2.324745452128e+04 
       2.153106480839e-02       2.320582382534e+04 
       2.166430168782e-02       2.316336368925e+04 
       2.179762304070e-02       2.312015902165e+04 
       2.193103053942e-02       2.307607351865e+04 
       2.206452589690e-02       2.303117502855e+04 
