# Matter power spectrum P(k) at redshift z=0
# for k=1.05585e-05 to 541.964 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055852937587e-05       4.658999162368e+01 
       2.354577459380e-05       1.011050137235e+02 
       3.657950796098e-05       1.547370172312e+02 
       4.969538056532e-05       2.080381762632e+02 
       6.292964339490e-05       2.613281353292e+02 
       7.631947591371e-05       3.148497178278e+02 
       8.990332531742e-05       3.688127611286e+02 
       1.037212610497e-04       4.234121235240e+02 
       1.178153491945e-04       4.788370233158e+02 
       1.322300513933e-04       5.352767396397e+02 
       1.470126529400e-04       5.929246225599e+02 
       1.622137246335e-04       6.519812788867e+02 
       1.778876227676e-04       7.126573036094e+02 
       1.940930312188e-04       7.751758289285e+02 
       2.108935488575e-04       8.397749709792e+02 
       2.283583243069e-04       9.067102927236e+02 
       2.465627382169e-04       9.762572295262e+02 
       2.655891304691e-04       1.048713620243e+03 
       2.855275657773e-04       1.124402190251e+03 
       3.064766256368e-04       1.203673004973e+03 
       3.285442070815e-04       1.286905807480e+03 
       3.518482988051e-04       1.374512126823e+03 
       3.765176924845e-04       1.466936925384e+03 
       4.026925713716e-04       1.564659690889e+03 
       4.305248994985e-04       1.668194424485e+03 
       4.601785138523e-04       1.778088522690e+03 
       4.918288003110e-04       1.894919765702e+03 
       5.256618150193e-04       2.019291078708e+03 
       5.618727010436e-04       2.151822725676e+03 
       6.006632522914e-04       2.293141073193e+03 
       6.422385010491e-04       2.443863989691e+03 
       6.868022605471e-04       2.604582581341e+03 
       7.345516458463e-04       2.775839600364e+03 
       7.856707252009e-04       2.958105268483e+03 
       8.403236098760e-04       3.151752035956e+03 
       8.986474502429e-04       3.357029771473e+03 
       9.607459348958e-04       3.574044237582e+03 
       1.026683947396e-03       3.802740919703e+03 
       1.096483989134e-03       4.042896218696e+03 
       1.170124815492e-03       4.294117824087e+03 
       1.247542476167e-03       4.555854549306e+03 
       1.328633649281e-03       4.827414709180e+03 
       1.413260878645e-03       5.107991626885e+03 
       1.501259123885e-03       5.396692183967e+03 
       1.592442948494e-03       5.692568915695e+03 
