# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 532.02 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248189e-05       4.749488609944e+01 
       2.342123705210e-05       1.031974284329e+02 
       3.639918491839e-05       1.579944630198e+02 
       4.945816293613e-05       2.124497882449e+02 
       6.263395465631e-05       2.668889689031e+02 
       7.596325192725e-05       3.215588986501e+02 
       8.948398685729e-05       3.766726290125e+02 
       1.032356785857e-04       4.324277891713e+02 
       1.172597993434e-04       4.890161009679e+02 
       1.316001643185e-04       5.466291917986e+02 
       1.463033498471e-04       6.054626299717e+02 
       1.614191443827e-04       6.657192002091e+02 
       1.770010365119e-04       7.276116193595e+02 
       1.931067438874e-04       7.913651087562e+02 
       2.097987862585e-04       8.572198615933e+02 
       2.271451046410e-04       9.254334932045e+02 
       2.452197269150e-04       9.962835041391e+02 
       2.641034775335e-04       1.070069777017e+03 
       2.838847252846e-04       1.147117086974e+03 
       3.046601578296e-04       1.227777560980e+03 
       3.265355646375e-04       1.312433027171e+03 
       3.496266005408e-04       1.401497134216e+03 
       3.740594900526e-04       1.495417072450e+03 
       3.999716175740e-04       1.594674639116e+03 
       4.275119307200e-04       1.699786381263e+03 
       4.568410638349e-04       1.811302592929e+03 
       4.881310678311e-04       1.929804386737e+03 
       5.215646135672e-04       2.055898768266e+03 
       5.573335235123e-04       2.190210933585e+03 
       5.956364866911e-04       2.333373432601e+03 
       6.366758326681e-04       2.486011874096e+03 
       6.806532898080e-04       2.648726912342e+03 
       7.277647375801e-04       2.822072981428e+03 
       7.781940832929e-04       3.006534242685e+03 
       8.321065421505e-04       3.202499103647e+03 
       8.896417554989e-04       3.410235335708e+03 
       9.509073132966e-04       3.629867768054e+03 
       1.015973314698e-03       3.861360983833e+03 
       1.084868571743e-03       4.104509517366e+03 
       1.157578920946e-03       4.358936981837e+03 
       1.234047870839e-03       4.624104205702e+03 
       1.314179524573e-03       4.899327026521e+03 
       1.397843437847e-03       5.183800536943e+03 
       1.484880863293e-03       5.476628325013e+03 
       1.575111730993e-03       5.776853264978e+03 
       1.668341727033e-03       6.083487768111e+03 
       1.764368935363e-03       6.395541218554e+03 
       1.862989663871e-03       6.712042261972e+03 
       1.964003242934e-03       7.032057983778e+03 
       2.067215732972e-03       7.354707341175e+03 
       2.172442589440e-03       7.679170307192e+03 
       2.279510404943e-03       8.004693372901e+03 
