# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423015451392e-10       4.161465289531e-15       3.794370966107e-13       0.000000000000e+00       8.228376649041e-09       4.314350298635e-10      -1.840046881616e-12 
    3       1.347277287165e-10       5.343087994935e-15       4.237520117451e-13       0.000000000000e+00       5.062560515604e-09       3.069374523933e-10      -1.394936399864e-12 
    4       1.273677666930e-10       4.631341206268e-15       3.945403377578e-13       0.000000000000e+00       3.517602836052e-09       2.326856005892e-10      -9.149101774422e-13 
    5       1.217351500570e-10       3.096250759551e-15       3.342358478399e-13       0.000000000000e+00       2.624627162075e-09       1.838268296250e-10      -5.103197009756e-13 
    6       1.177684887278e-10       1.733658892282e-15       2.672274349662e-13       0.000000000000e+00       2.049775511142e-09       1.495259460302e-10      -2.117252481664e-13 
    7       1.150868084597e-10       9.355702806811e-16       2.077221426796e-13       0.000000000000e+00       1.653541520920e-09       1.243372186500e-10      -2.077161991397e-14 
    8       1.134102864126e-10       6.011271699775e-16       1.619924129633e-13       0.000000000000e+00       1.366636259431e-09       1.052357750414e-10       7.719376805154e-14 
    9       1.124886265145e-10       4.813073923433e-16       1.314075365487e-13       0.000000000000e+00       1.150809763323e-09       9.041309646541e-11       1.052115139448e-13 
   10       1.120953107824e-10       4.102337347591e-16       1.145212328776e-13       0.000000000000e+00       9.835347400524e-10       7.866865417654e-11       8.890025585444e-14 
   11       1.121656017345e-10       3.448764746536e-16       1.084167706354e-13       0.000000000000e+00       8.285438509665e-10       6.949511733239e-11       5.221887114286e-14 
   12       1.125512438210e-10       3.002549146344e-16       1.097382611408e-13       0.000000000000e+00       7.238372459014e-10       6.141129383117e-11       1.272599433699e-14 
   13       1.131992436116e-10       2.876112369998e-16       1.154979574670e-13       0.000000000000e+00       6.378930314559e-10       5.486265552061e-11      -1.755091683787e-14 
   14       1.140562755590e-10       2.993373314129e-16       1.234514912718e-13       0.000000000000e+00       5.663968903527e-10       4.914189104027e-11      -3.426733118367e-14 
   15       1.151116123925e-10       3.236774330418e-16       1.322004667243e-13       0.000000000000e+00       5.062229340426e-10       4.434346661650e-11      -3.748934385849e-14 
   16       1.162927790743e-10       3.579221377115e-16       1.409868437014e-13       0.000000000000e+00       4.550673733943e-10       4.021476832651e-11      -3.107609091012e-14 
   17       1.176193355381e-10       4.075695234089e-16       1.495972387604e-13       0.000000000000e+00       4.111899579782e-10       3.661515502099e-11      -2.016417971813e-14 
   18       1.190299850435e-10       4.781099564597e-16       1.583253070605e-13       0.000000000000e+00       3.731111722465e-10       3.347235048689e-11      -9.646096021219e-15 
   19       1.205356669890e-10       5.699214105261e-16       1.674047723864e-13       0.000000000000e+00       3.402262828479e-10       3.074359856529e-11      -2.158142132525e-15 
   20       1.221252095525e-10       6.810509923821e-16       1.769919795400e-13       0.000000000000e+00       3.112660352529e-10       2.832552233363e-11       5.408940209320e-16 
   21       1.238014879089e-10       8.108682725385e-16       1.870848709283e-13       0.000000000000e+00       2.857748634172e-10       2.617346214101e-11      -1.023493417742e-15 
   22       1.255401978878e-10       9.588870266017e-16       1.975464022532e-13       0.000000000000e+00       2.631425070329e-10       2.422984396223e-11      -5.143215285958e-15 
   23       1.273441782305e-10       1.125338341586e-15       2.080264249236e-13       0.000000000000e+00       2.430574136384e-10       2.248436789318e-11      -1.008549086516e-14 
   24       1.292036499282e-10       1.310480938286e-15       2.180654562878e-13       0.000000000000e+00       2.250548181721e-10       2.092040696860e-11      -1.398874654712e-14 
   25       1.311223977176e-10       1.514346631001e-15       2.273782936050e-13       0.000000000000e+00       2.089226376609e-10       1.952206207543e-11      -1.599991977168e-14 
   26       1.330916716775e-10       1.737129700464e-15       2.357341590049e-13       0.000000000000e+00       1.943685463576e-10       1.825913139637e-11      -1.575362256766e-14 
   27       1.351041350440e-10       1.980825063331e-15       2.430111564347e-13       0.000000000000e+00       1.812176781276e-10       1.711206682345e-11      -1.384648356069e-14 
   28       1.371442462455e-10       2.247979013015e-15       2.491525329559e-13       0.000000000000e+00       1.692430307013e-10       1.605778660542e-11      -1.126875309505e-14 
   29       1.392212518787e-10       2.540077427810e-15       2.542238618764e-13       0.000000000000e+00       1.583833158185e-10       1.509468743659e-11      -8.678590617052e-15 
   30       1.413408650440e-10       2.858273801342e-15       2.583686187173e-13       0.000000000000e+00       1.485217938167e-10       1.421964275913e-11      -6.749651578657e-15 
   31       1.434980809873e-10       3.203659770944e-15       2.617353631895e-13       0.000000000000e+00       1.394571386844e-10       1.342120969257e-11      -6.107353671008e-15 
   32       1.456956554050e-10       3.577158767367e-15       2.642812507181e-13       0.000000000000e+00       1.311424338045e-10       1.269079375312e-11      -6.583404449033e-15 
   33       1.479298155128e-10       3.979579163596e-15       2.658941511088e-13       0.000000000000e+00       1.235187720684e-10       1.201398482840e-11      -7.669339526452e-15 
   34       1.501898423776e-10       4.411676586119e-15       2.664442119576e-13       0.000000000000e+00       1.164793343477e-10       1.137329757676e-11      -8.794753578038e-15 
   35       1.524783597248e-10       4.874304886076e-15       2.657929936243e-13       0.000000000000e+00       1.099880163922e-10       1.077087953430e-11      -9.668739069815e-15 
   36       1.547963962117e-10       5.368309028112e-15       2.637848248914e-13       0.000000000000e+00       1.039926680479e-10       1.021303908484e-11      -1.004907416888e-14 
   37       1.571405103847e-10       5.894487314848e-15       2.602768492634e-13       0.000000000000e+00       9.841517732961e-11       9.703252424212e-12      -9.738020591922e-15 
   38       1.595142710020e-10       6.453612470574e-15       2.552556198444e-13       0.000000000000e+00       9.324109708266e-11       9.239552269820e-12      -8.885884253960e-15 
   39       1.619194010822e-10       7.046411067341e-15       2.487596415089e-13       0.000000000000e+00       8.845398246939e-11       8.815778973163e-12      -7.791415812426e-15 
   40       1.643519508575e-10       7.673553252444e-15       2.408498998638e-13       0.000000000000e+00       8.400812951330e-11       8.421876508753e-12      -6.826636369651e-15 
   41       1.668054543723e-10       8.335671302062e-15       2.315858522107e-13       0.000000000000e+00       7.984448984126e-11       8.046928717250e-12      -6.339374180189e-15 
   42       1.692830513571e-10       9.033431247444e-15       2.209407382227e-13       0.000000000000e+00       7.595078056602e-11       7.690213053541e-12      -6.311335346021e-15 
   43       1.717883198414e-10       9.767478473135e-15       2.088609841870e-13       0.000000000000e+00       7.231664681641e-11       7.353215682409e-12      -6.596692199453e-15 
   44       1.743215454344e-10       1.053841549914e-14       1.952888098727e-13       0.000000000000e+00       6.891562481911e-11       7.036508501394e-12      -7.012424075176e-15 
   45       1.768811147348e-10       1.134679375372e-14       1.801675224483e-13       0.000000000000e+00       6.571458901338e-11       6.739872957747e-12      -7.379235179482e-15 
   46       1.794689749257e-10       1.219309091997e-14       1.634602026937e-13       0.000000000000e+00       6.270848296459e-11       6.462914031958e-12      -7.664307493277e-15 
