# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368771687018e-10       4.151791168705e-15       3.524922310871e-13       0.000000000000e+00       8.242034053832e-09       4.455018825167e-10      -1.839371500790e-12 
    3       1.296677678787e-10       5.330904075341e-15       3.957939562360e-13       0.000000000000e+00       5.071898080209e-09       3.160731106789e-10      -1.394426114866e-12 
    4       1.228143848644e-10       4.621071357105e-15       3.700635573539e-13       0.000000000000e+00       3.524191185106e-09       2.393588717247e-10      -9.146291052954e-13 
    5       1.176781841018e-10       3.089631231169e-15       3.151526973932e-13       0.000000000000e+00       2.629566469901e-09       1.890494126001e-10      -5.102318105439e-13 
    6       1.141631543619e-10       1.730105618210e-15       2.538094319652e-13       0.000000000000e+00       2.053673031598e-09       1.537891094333e-10      -2.117616649795e-13 
    7       1.118825552476e-10       9.337056304935e-16       1.992447581394e-13       0.000000000000e+00       1.656712168538e-09       1.279138292456e-10      -2.087493197732e-14 
    8       1.105656306806e-10       5.999186801581e-16       1.572587584345e-13       0.000000000000e+00       1.369288642238e-09       1.083004718729e-10       7.707164029530e-14 
    9       1.099704786753e-10       4.803295598735e-16       1.291239768881e-13       0.000000000000e+00       1.153078865489e-09       9.308908686759e-11       1.051031732422e-13 
   10       1.098691301043e-10       4.094194550818e-16       1.135400076694e-13       0.000000000000e+00       9.855077876307e-10       8.103995937420e-11       8.882214671368e-14 
   11       1.102072319393e-10       3.442233959326e-16       1.078598154732e-13       0.000000000000e+00       8.301580385059e-10       7.161598719150e-11       5.217875839919e-14 
   12       1.108339823053e-10       2.997109731042e-16       1.090290389275e-13       0.000000000000e+00       7.252593114267e-10       6.331645981749e-11       1.270602956091e-14 
   13       1.117006442226e-10       2.871042867609e-16       1.143436667767e-13       0.000000000000e+00       6.391560984314e-10       5.658504907516e-11      -1.755976359634e-14 
   14       1.127627221435e-10       2.988208399613e-16       1.217713987822e-13       0.000000000000e+00       5.675274177032e-10       5.072756333708e-11      -3.426318520102e-14 
   15       1.140059628431e-10       3.231351701426e-16       1.300368319603e-13       0.000000000000e+00       5.072411509562e-10       4.580309877511e-11      -3.749013612550e-14 
   16       1.153551352450e-10       3.573387210040e-16       1.384442538290e-13       0.000000000000e+00       4.559895022436e-10       4.155871201195e-11      -3.108456308477e-14 
   17       1.168398576320e-10       4.069132488606e-16       1.467849624585e-13       0.000000000000e+00       4.120292090109e-10       3.785432127994e-11      -2.018003711257e-14 
   18       1.183965818791e-10       4.773443741959e-16       1.553181778850e-13       0.000000000000e+00       3.738781025496e-10       3.462669393888e-11      -9.659885315398e-15 
   19       1.200367421876e-10       5.690116001965e-16       1.642470412250e-13       0.000000000000e+00       3.409304818537e-10       3.182828900223e-11      -2.162940181778e-15 
   20       1.217538673812e-10       6.799659582489e-16       1.736940864737e-13       0.000000000000e+00       3.119147125093e-10       2.934284164629e-11       5.432878062757e-16 
   21       1.235490948621e-10       8.095791531700e-16       1.836393885452e-13       0.000000000000e+00       2.863744184512e-10       2.712487988219e-11      -1.019618499931e-15 
   22       1.253958768149e-10       9.573665049119e-16       1.939351576424e-13       0.000000000000e+00       2.636982365285e-10       2.511975363598e-11      -5.144765297156e-15 
   23       1.272997279140e-10       1.123556265166e-15       2.042394841796e-13       0.000000000000e+00       2.435740616544e-10       2.332071176048e-11      -1.009396760832e-14 
   24       1.292551911900e-10       1.308404424067e-15       2.141085742085e-13       0.000000000000e+00       2.255362697979e-10       2.171318556836e-11      -1.399856191867e-14 
   25       1.312635039866e-10       1.511948594191e-15       2.232656239617e-13       0.000000000000e+00       2.093723900706e-10       2.027586873741e-11      -1.600666886469e-14 
   26       1.333124275928e-10       1.734389771157e-15       2.314857659607e-13       0.000000000000e+00       1.947895471106e-10       1.897143242815e-11      -1.575704753202e-14 
   27       1.353976587617e-10       1.977714529119e-15       2.386482519910e-13       0.000000000000e+00       1.816125608418e-10       1.778374897289e-11      -1.384905327881e-14 
   28       1.375086536601e-10       2.244456412621e-15       2.446948602112e-13       0.000000000000e+00       1.696140143540e-10       1.669566927593e-11      -1.127460848486e-14 
   29       1.396544821826e-10       2.536097458659e-15       2.496860904663e-13       0.000000000000e+00       1.587325196801e-10       1.570495195045e-11      -8.689321360236e-15 
   30       1.418390409214e-10       2.853790330352e-15       2.537577904342e-13       0.000000000000e+00       1.488511247900e-10       1.480493187791e-11      -6.762184174816e-15 
   31       1.440557863159e-10       3.198626786850e-15       2.570507504542e-13       0.000000000000e+00       1.397681234265e-10       1.398045507749e-11      -6.114528139220e-15 
   32       1.463077958516e-10       3.571532643864e-15       2.595213464460e-13       0.000000000000e+00       1.314365178315e-10       1.322341769553e-11      -6.581032706522e-15 
   33       1.485925549431e-10       3.973320256731e-15       2.610592447601e-13       0.000000000000e+00       1.237972927809e-10       1.252134694442e-11      -7.659331560020e-15 
   34       1.509006338696e-10       4.404748090018e-15       2.615370654486e-13       0.000000000000e+00       1.167434241666e-10       1.185850754704e-11      -8.784630091641e-15 
   35       1.532340798248e-10       4.866663000125e-15       2.608190483248e-13       0.000000000000e+00       1.102387406653e-10       1.123679450635e-11      -9.664007210141e-15 
   36       1.555927270818e-10       5.359898626356e-15       2.587528248360e-13       0.000000000000e+00       1.042309906701e-10       1.066140745041e-11      -1.005018058334e-14 
   37       1.579721831196e-10       5.885243119538e-15       2.551987765761e-13       0.000000000000e+00       9.864190824416e-11       1.013463340659e-11      -9.740561933758e-15 
   38       1.603765672576e-10       6.443471771696e-15       2.501436335237e-13       0.000000000000e+00       9.345702349576e-11       9.654369937152e-12      -8.885848154674e-15 
   39       1.628088381089e-10       7.035318775983e-15       2.436250454775e-13       0.000000000000e+00       8.865986547006e-11       9.214592219141e-12      -7.787042548793e-15 
