# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368776363370e-10       4.152018598303e-15       3.524922271292e-13       2.274295539876e-19       8.242034053832e-09       4.455018825167e-10      -1.839371500790e-12 
    3       1.296687008537e-10       5.331359028750e-15       3.957939385952e-13       4.549529808156e-19       5.071898080209e-09       3.160731106789e-10      -1.394426114866e-12 
    4       1.228159347848e-10       4.621829820908e-15       3.700635066555e-13       7.584616983991e-19       3.524191185106e-09       2.393588717247e-10      -9.146291052954e-13 
    5       1.176804996856e-10       3.090769314075e-15       3.151525818702e-13       1.138075703685e-18       2.629566469901e-09       1.890494126001e-10      -5.102318105439e-13 
    6       1.141663808613e-10       1.731699578505e-15       2.538092047462e-13       1.593940671862e-18       2.053673031598e-09       1.537891094333e-10      -2.117616649795e-13 
    7       1.118868339597e-10       9.358319013737e-16       1.992443547725e-13       2.126225269127e-18       1.656712168538e-09       1.279138292456e-10      -2.087493197732e-14 
    8       1.105710985557e-10       6.026538924490e-16       1.572580946773e-13       2.735118112444e-18       1.369288642238e-09       1.083004718729e-10       7.707164029530e-14 
    9       1.099772680321e-10       4.837505616572e-16       1.291229467885e-13       3.420824465912e-18       1.153078865489e-09       9.308908686759e-11       1.051031732422e-13 
   10       1.098773684533e-10       4.136033277219e-16       1.135384819513e-13       4.183562769672e-18       9.855077876307e-10       8.103995937420e-11       8.882214671368e-14 
   11       1.102170419154e-10       3.492474660053e-16       1.078576402323e-13       5.023561100311e-18       8.301580385059e-10       7.161598719150e-11       5.217875839919e-14 
   12       1.108454817045e-10       3.056528197663e-16       1.090260346360e-13       5.941053661281e-18       7.252593114267e-10       6.331645981749e-11       1.270602956091e-14 
   13       1.117139461361e-10       2.940417441254e-16       1.143396275883e-13       6.936277398021e-18       6.391560984314e-10       5.658504907516e-11      -1.755976359634e-14 
   14       1.127779351774e-10       3.068319941146e-16       1.217660921205e-13       8.009468825487e-18       5.675274177032e-10       5.072756333708e-11      -3.426318520102e-14 
   15       1.140231914111e-10       3.322983505193e-16       1.300299983720e-13       9.160861145807e-18       5.072411509562e-10       4.580309877511e-11      -3.749013612550e-14 
   16       1.153744799183e-10       3.677324859357e-16       1.384356070773e-13       1.039068172134e-17       4.559895022436e-10       4.155871201195e-11      -3.108456308477e-14 
