# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049057020607e-05       4.738795814456e+01 
       2.342383175674e-05       1.029623991714e+02 
       3.640294017534e-05       1.576335286045e+02 
       4.946310172769e-05       2.119638849050e+02 
       6.264010964761e-05       2.662783215834e+02 
       7.597066588263e-05       3.208232237326e+02 
       8.949271320693e-05       3.758112097002e+02 
       1.032457821521e-04       4.314395165024e+02 
       1.172713572397e-04       4.878995001939e+02 
       1.316132670330e-04       5.453824166430e+02 
       1.463181025322e-04       6.040834836943e+02 
       1.614356683682e-04       6.642051359742e+02 
       1.770194710643e-04       7.259596775545e+02 
       1.931272482408e-04       7.895720133579e+02 
       2.098215419412e-04       8.552818644551e+02 
       2.271703181237e-04       9.233464273759e+02 
       2.452476326021e-04       9.940428463647e+02 
       2.641343411152e-04       1.067670482238e+03 
       2.839188474579e-04       1.144553679671e+03 
       3.046978783783e-04       1.225044039027e+03 
       3.265772668417e-04       1.309522884472e+03 
       3.496727158483e-04       1.398403314966e+03 
       3.741105029017e-04       1.492131946230e+03 
       4.000280701917e-04       1.591190035226e+03 
       4.275744276432e-04       1.696093530394e+03 
       4.569102758037e-04       1.807392071504e+03 
       4.882077345954e-04       1.925666206150e+03 
       5.216495450332e-04       2.051522304854e+03 
       5.574275985540e-04       2.185584780980e+03 
       5.957406488859e-04       2.328485693888e+03 
       6.367910822232e-04       2.480849868530e+03 
       6.807806710644e-04       2.643277352820e+03 
       7.279053217476e-04       2.816321511899e+03 
       7.783489465075e-04       3.000465924837e+03 
       8.322767395368e-04       3.196098058384e+03 
       8.898282925935e-04       3.403484797136e+03 
       9.511111168305e-04       3.622749968149e+03 
       1.016195205181e-03       3.853857508452e+03 
       1.085109240391e-03       4.096601181498e+03 
       1.157838913172e-03       4.350604406516e+03 
       1.234327577774e-03       4.615327848266e+03 
       1.314479183095e-03       4.890088547442e+03 
       1.398163138530e-03       5.174057034884e+03 
       1.485220564818e-03       5.466348680311e+03 
       1.575471279029e-03       5.766022116032e+03 
       1.668720875437e-03       6.072092984690e+03 
       1.764767367745e-03       6.383574342429e+03 
       1.863407013975e-03       6.699499275774e+03 
       1.964439112787e-03       7.018938538813e+03 
       2.067669708242e-03       7.341015562755e+03 
       2.172914251825e-03       7.664913455319e+03 
       2.279999341734e-03       7.989881745908e+03 
       2.388763694444e-03       8.315237372143e+03 
       2.499058511202e-03       8.640363756539e+03 
