# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.358212206278e-10       4.143097786252e-15       3.536163068241e-13       2.277874777223e-19       8.275842693647e-09       4.388197610244e-10      -1.839500421194e-12 
    3       1.288719881454e-10       5.331322592675e-15       3.965490108023e-13       4.556684733354e-19       5.092944846656e-09       3.117269170997e-10      -1.396137780466e-12 
    4       1.221930378185e-10       4.634360242848e-15       3.706575047285e-13       7.596534245546e-19       3.538426756673e-09       2.362268785808e-10      -9.177421297581e-13 
    5       1.171722936779e-10       3.108152484518e-15       3.156941013964e-13       1.139861929908e-18       2.639871095629e-09       1.865816800577e-10      -5.139181330078e-13 
    6       1.137274854473e-10       1.745371346488e-15       2.543324895562e-13       1.596439227584e-18       2.061541800734e-09       1.517779731312e-10      -2.151902689529e-13 
    7       1.115455237135e-10       9.429341744450e-16       1.997024302103e-13       2.129553544093e-18       1.662931026325e-09       1.263250573134e-10      -2.346805742621e-14 
    8       1.102803555375e-10       6.053520236436e-16       1.576068361229e-13       2.739393092631e-18       1.374366582684e-09       1.070514621540e-10       7.557251809871e-14 
    9       1.097085781677e-10       4.852209390217e-16       1.293608687115e-13       3.426162808661e-18       1.157341877600e-09       9.200589990790e-11       1.046641237391e-13 
   10       1.096470722876e-10       4.152844890917e-16       1.136336874965e-13       4.190080916496e-18       9.891551941243e-10       8.002064476350e-11       8.919437336413e-14 
   11       1.099806573002e-10       3.508650134974e-16       1.078171177360e-13       5.031375423738e-18       8.328922350474e-10       7.067090961662e-11       5.293728763897e-14 
   12       1.106575529801e-10       3.066125811603e-16       1.089228448996e-13       5.950280640097e-18       7.276152462636e-10       6.261940086206e-11       1.359064982343e-14 
   13       1.115588393014e-10       2.943024639955e-16       1.142008824587e-13       6.947033813560e-18       6.412103588176e-10       5.595526645063e-11      -1.699845866208e-14 
   14       1.126080681646e-10       3.066916398289e-16       1.215952507443e-13       8.021871970190e-18       5.693291608211e-10       5.013143708953e-11      -3.409404491411e-14 
   15       1.138328183949e-10       3.319456316685e-16       1.298159072281e-13       9.175029034266e-18       5.088352713589e-10       4.523113129234e-11      -3.770234043512e-14 
   16       1.152408798233e-10       3.670927347735e-16       1.381963693069e-13       1.040673329350e-17       4.574102965380e-10       4.108220929597e-11      -3.155588526411e-14 
   17       1.167026311456e-10       4.172834565921e-16       1.465806246470e-13       1.171720526001e-17       4.133033371292e-10       3.750325710157e-11      -2.071752101183e-14 
   18       1.182661238091e-10       4.881364915230e-16       1.551068365216e-13       1.310665579175e-17       3.750256859275e-10       3.428791930259e-11      -1.016114404641e-14 
   19       1.199468062666e-10       5.803050565442e-16       1.639759234812e-13       1.457528568723e-17       3.419696497931e-10       3.143383852302e-11      -2.544422732443e-15 
