# Matter power spectrum P(k) at redshift z=0
# for k=1.05578e-05 to 107.394 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055778760927e-05       4.655181777971e+01 
       2.359456293992e-05       1.012312350827e+02 
       3.667824743851e-05       1.550238521590e+02 
       4.984490263509e-05       2.084859082052e+02 
       6.313120045079e-05       2.619394426194e+02 
       7.657475811892e-05       3.156292577884e+02 
       9.021448405784e-05       3.697670605339e+02 
       1.040909393991e-04       4.245495795887e+02 
       1.182467199095e-04       4.801679708949e+02 
       1.327268630792e-04       5.368135771195e+02 
       1.475792851512e-04       5.946819527536e+02 
       1.628552527892e-04       6.539761089175e+02 
       1.786098938664e-04       7.149092926613e+02 
       1.949027514218e-04       7.777075474726e+02 
       2.117983840528e-04       8.426122160071e+02 
       2.293670147563e-04       9.098824606503e+02 
       2.476852282780e-04       9.797976937106e+02 
       2.668367141491e-04       1.052660213600e+03 
       2.869130484421e-04       1.128797641795e+03 
       3.080145015012e-04       1.208565498470e+03 
       3.302508510535e-04       1.292349504512e+03 
       3.537421697339e-04       1.380567715848e+03 
       3.786195427621e-04       1.473672154777e+03 
       4.050256550468e-04       1.572149858889e+03 
       4.331151675090e-04       1.676522643955e+03 
       4.630547806904e-04       1.787346137519e+03 
       4.950228615743e-04       1.905205900548e+03 
       5.292084902923e-04       2.030712654488e+03 
       5.658097721735e-04       2.164493200145e+03 
       6.050312645449e-04       2.307179091111e+03 
       6.470803954473e-04       2.459391105381e+03 
       6.921628116644e-04       2.621720297337e+03 
       7.404766921153e-04       2.794705586129e+03 
       7.922061989761e-04       2.978808847365e+03 
       8.475144011679e-04       3.174389180690e+03 
       9.065361677599e-04       3.381677821754e+03 
       9.693716550976e-04       3.600757038662e+03 
       1.036081059581e-03       3.831543792878e+03 
       1.106681245827e-03       4.073783669330e+03 
       1.181144679530e-03       4.327050840572e+03 
       1.259400820881e-03       4.590761449252e+03 
       1.341339823203e-03       4.864192696131e+03 
       1.426818101166e-03       5.146475513596e+03 
       1.515665142836e-03       5.436718859495e+03 
       1.607690870801e-03       5.733960926780e+03 
       1.702692905549e-03       6.037214597519e+03 
       1.800463217438e-03       6.345498187280e+03 
       1.900793827804e-03       6.657857432067e+03 
       2.003481393805e-03       6.973382074396e+03 
       2.108330656988e-03       7.291217157216e+03 
       2.215156839021e-03       7.610572083390e+03 
       2.323787128821e-03       7.930723164980e+03 
       2.434061430581e-03       8.251014750256e+03 
       2.545832541907e-03       8.570857655204e+03 
       2.658965915393e-03       8.889726493305e+03 
       2.773339133460e-03       9.207155504003e+03 
       2.888841200686e-03       9.522734242309e+03 
       3.005371733699e-03       9.836103130297e+03 
       3.122840107600e-03       1.014694732767e+04 
       3.241164600624e-03       1.045499402652e+04 
       3.360271565082e-03       1.076000577362e+04 
       3.480094642331e-03       1.106177991818e+04 
       3.600574031920e-03       1.136014146624e+04 
       3.721655819674e-03       1.165494123751e+04 
       3.843291365754e-03       1.194605243576e+04 
       3.965436751299e-03       1.223337072740e+04 
       4.088052280710e-03       1.251680706250e+04 
       4.211102035779e-03       1.279628960319e+04 
       4.334553477426e-03       1.307176010510e+04 
       4.458377090725e-03       1.334317424580e+04 
       4.582546068949e-03       1.361049511159e+04 
       4.707036032613e-03       1.387369536668e+04 
       4.831824779741e-03       1.413274449776e+04 
       4.956892063914e-03       1.438766647408e+04 
       5.082219396977e-03       1.463844788990e+04 
       5.207789873582e-03       1.488504176512e+04 
       5.333588015064e-03       1.512758452041e+04 
       5.459599630414e-03       1.536590950836e+04 
       5.585811692357e-03       1.560019686039e+04 
       5.712212226801e-03       1.583032199129e+04 
       5.838790214096e-03       1.605642855529e+04 
       5.965535500747e-03       1.627846706268e+04 
       6.092438720386e-03       1.649648317563e+04 
       6.219491222937e-03       1.671046576864e+04 
       6.346685011056e-03       1.692052510279e+04 
       6.474012683018e-03       1.712661841770e+04 
       6.601467381345e-03       1.732881364770e+04 
