# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.347547202005e-10       4.132203108156e-15       3.547208240856e-13       0.000000000000e+00       8.309917122901e-09       4.319727783950e-10      -1.839085431528e-12 
    3       1.280579198595e-10       5.328881757938e-15       3.972750097187e-13       0.000000000000e+00       5.115162978486e-09       3.072220979866e-10      -1.397403732277e-12 
    4       1.215475087168e-10       4.644741812541e-15       3.712242436309e-13       0.000000000000e+00       3.553553808025e-09       2.329104860312e-10      -9.205725382779e-13 
    5       1.166530550276e-10       3.123808314805e-15       3.162257560006e-13       0.000000000000e+00       2.650782140843e-09       1.840372841478e-10      -5.175105779005e-13 
    6       1.133018437930e-10       1.757324210628e-15       2.548306298148e-13       0.000000000000e+00       2.069884023510e-09       1.497996607720e-10      -2.186804625840e-13 
    7       1.111977382366e-10       9.478925517043e-16       2.001329454207e-13       0.000000000000e+00       1.669522739985e-09       1.247091021043e-10      -2.620095217869e-14 
    8       1.099596415003e-10       6.052308170126e-16       1.579476885137e-13       0.000000000000e+00       1.379746095335e-09       1.056667283406e-10       7.394235065577e-14 
    9       1.094215487012e-10       4.831374377624e-16       1.295997591766e-13       0.000000000000e+00       1.161872832794e-09       9.083477331794e-11       1.041557321448e-13 
   10       1.094096201780e-10       4.126815891251e-16       1.137466223330e-13       0.000000000000e+00       9.930488982075e-10       7.905177823435e-11       8.956177891220e-14 
   11       1.097547818201e-10       3.474151658959e-16       1.078031838907e-13       0.000000000000e+00       8.358025987312e-10       6.980080937765e-11       5.374763448471e-14 
