# Matter power spectrum P(k) at redshift z=0
# for k=1.06275e-05 to 107.312 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.062751730783e-05       4.570339637491e+01 
       2.377066327801e-05       9.946821894102e+01 
       3.696182877642e-05       1.523631608485e+02 
       5.023796860439e-05       2.049379638964e+02 
       6.363667281325e-05       2.575117343269e+02 
       7.719651561300e-05       3.103276578053e+02 
       9.095741586280e-05       3.635964714703e+02 
       1.049610141194e-04       4.175143690019e+02 
       1.192510712558e-04       4.722722935242e+02 
       1.338738936982e-04       5.280616427766e+02 
       1.488787903245e-04       5.850783242604e+02 
       1.643185659813e-04       6.435259682057e+02 
       1.802500563293e-04       7.036187354442e+02 
       1.967347082418e-04       7.655839408386e+02 
       2.138392091134e-04       8.296645608498e+02 
       2.316361670388e-04       8.961217756952e+02 
       2.502048416571e-04       9.652375371617e+02 
       2.696319222572e-04       1.037317039672e+03 
       2.900123451493e-04       1.112691575185e+03 
       3.114501359044e-04       1.191720636832e+03 
       3.340592533859e-04       1.274794800166e+03 
       3.579644010424e-04       1.362337346926e+03 
       3.833017562930e-04       1.454806130428e+03 
       4.102195507971e-04       1.552694382073e+03 
       4.388784131965e-04       1.656530504213e+03 
       4.694513625553e-04       1.766876268374e+03 
       5.021233174148e-04       1.884323370098e+03 
       5.370899660179e-04       2.009487182862e+03 
       5.745558338226e-04       2.142997445806e+03 
       6.147313929885e-04       2.285486028081e+03 
       6.578290945975e-04       2.437570101899e+03 
       7.040582769881e-04       2.599832402416e+03 
       7.536190179776e-04       2.772797746874e+03 
       8.066951518042e-04       2.956907298589e+03 
       8.634468473950e-04       3.152492568072e+03 
       9.240033122331e-04       3.359750621062e+03 
       9.884563032075e-04       3.578723842596e+03 
       1.056855148621e-03       3.809286046256e+03 
       1.129203884749e-03       4.051137292725e+03 
       1.205460886613e-03       4.303808597279e+03 
       1.285541063247e-03       4.566676275164e+03 
       1.369320358706e-03       4.838982368938e+03 
       1.456642025254e-03       5.119832148890e+03 
       1.547323970908e-03       5.408327869960e+03 
       1.641166451562e-03       5.703496547176e+03 
       1.737959462994e-03       6.004353630411e+03 
       1.837489349578e-03       6.309927516704e+03 
       1.939544336221e-03       6.619280266599e+03 
       2.043918867299e-03       6.931522246663e+03 
       2.150416776098e-03       7.245822643660e+03 
       2.258853401451e-03       7.561416246055e+03 
       2.369056817834e-03       7.877605437492e+03 
       2.480868360476e-03       8.193760588070e+03 
       2.594142619149e-03       8.509318151010e+03 
       2.708747053342e-03       8.823775775991e+03 
       2.824561354999e-03       9.136690972287e+03 
       2.941476658050e-03       9.447673188417e+03 
       3.059394669478e-03       9.756381373263e+03 
       3.178226775858e-03       1.006251958527e+04 
       3.297893162661e-03       1.036582834789e+04 
