# Matter power spectrum P(k) at redshift z=0
# for k=1.04215e-05 to 106.241 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042149697471e-05       4.827144629734e+01 
       2.325061637297e-05       1.047993268559e+02 
       3.612452631685e-05       1.604062587302e+02 
       4.907758642006e-05       2.156615999882e+02 
       6.214472039590e-05       2.708932921439e+02 
       7.536172497075e-05       3.263494466905e+02 
       8.876558860341e-05       3.822437316411e+02 
       1.023948242181e-04       4.387739976854e+02 
       1.162898201906e-04       4.961318785813e+02 
       1.304932138611e-04       5.545086524504e+02 
       1.450502918548e-04       6.140992782238e+02 
       1.600094214340e-04       6.751056229887e+02 
       1.754225169433e-04       7.377392106596e+02 
       1.913455450521e-04       8.022237380091e+02 
       2.078390718808e-04       8.687975055646e+02 
       2.249688540690e-04       9.377158054443e+02 
       2.428064742650e-04       1.009253429195e+03 
       2.614300191597e-04       1.083706941622e+03 
       2.809247948128e-04       1.161397334863e+03 
       3.013840692965e-04       1.242672390056e+03 
       3.229098262534e-04       1.327908950870e+03 
       3.456135044500e-04       1.417515149942e+03 
       3.696166874253e-04       1.511931929544e+03 
       3.950516936346e-04       1.611634626655e+03 
       4.220620010694e-04       1.717132904724e+03 
       4.508024216475e-04       1.828970064999e+03 
       4.814389209498e-04       1.947720630528e+03 
       5.141479604683e-04       2.073985786714e+03 
       5.491152262332e-04       2.208386352643e+03 
       5.865336050019e-04       2.351552894327e+03 
       6.266002841134e-04       2.504112083227e+03 
       6.695128913070e-04       2.666669925906e+03 
       7.154646627516e-04       2.839791368474e+03 
       7.646387336008e-04       3.023977242480e+03 
       8.172017802334e-04       3.219639127579e+03 
       8.732973908297e-04       3.427074404441e+03 
       9.330396735256e-04       3.646443974734e+03 
       9.965076940197e-04       3.877753025874e+03 
       1.063741333727e-03       4.120839698391e+03 
       1.134739056067e-03       4.375371630415e+03 
       1.209457867961e-03       4.640851761134e+03 
       1.287815500289e-03       4.916633675006e+03 
       1.369694559503e-03       5.201925185708e+03 
       1.454948181085e-03       5.495847135672e+03 
       1.543406586669e-03       5.797477420664e+03 
       1.634883925501e-03       6.105834505945e+03 
       1.729184853931e-03       6.419925560778e+03 
       1.826110441106e-03       6.738771270644e+03 
       1.925463146599e-03       7.061424963190e+03 
       2.027050763887e-03       7.386987539667e+03 
       2.130689341938e-03       7.714617920939e+03 
       2.236205177913e-03       8.043538821642e+03 
       2.343436018737e-03       8.373041536475e+03 
