# Matter power spectrum P(k) at redshift z=0
# for k=1.04215e-05 to 106.241 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042149697471e-05       4.827083440518e+01 
       2.325061637297e-05       1.047980057947e+02 
       3.612452631685e-05       1.604042567030e+02 
       4.907758642006e-05       2.156589471272e+02 
       6.214472039590e-05       2.708900240575e+02 
       7.536172497075e-05       3.263456062434e+02 
       8.876558860341e-05       3.822393704543e+02 
       1.023948242181e-04       4.387691777282e+02 
       1.162898201906e-04       4.961266740144e+02 
       1.304932138611e-04       5.545031518307e+02 
       1.450502918548e-04       6.140935871746e+02 
       1.600094214340e-04       6.750998674473e+02 
       1.754225169433e-04       7.377335408362e+02 
       1.913455450521e-04       8.022183332225e+02 
       2.078390718808e-04       8.687925801549e+02 
       2.249688540690e-04       9.377116160125e+02 
       2.428064742650e-04       1.009250283482e+03 
       2.614300191597e-04       1.083705209412e+03 
       2.809247948128e-04       1.161397461388e+03 
       3.013840692965e-04       1.242674912492e+03 
       3.229098262534e-04       1.327914518650e+03 
       3.456135044500e-04       1.417524549781e+03 
       3.696166874253e-04       1.511946116241e+03 
       3.950516936346e-04       1.611654760968e+03 
       4.220620010694e-04       1.717160399845e+03 
       4.508024216475e-04       1.829006643387e+03 
       4.814389209498e-04       1.947768393096e+03 
       5.141479604683e-04       2.074047296505e+03 
       5.491152262332e-04       2.208464735216e+03 
       5.865336050019e-04       2.351651956900e+03 
       6.266002841134e-04       2.504236454200e+03 
       6.695128913070e-04       2.666825215540e+03 
       7.154646627516e-04       2.839984350109e+03 
       7.646387336008e-04       3.024216051771e+03 
       8.172017802334e-04       3.219933474606e+03 
       8.732973908297e-04       3.427435790622e+03 
       9.330396735256e-04       3.646885903421e+03 
       9.965076940197e-04       3.878291192546e+03 
       1.063741333727e-03       4.121492144784e+03 
       1.134739056067e-03       4.376158846468e+03 
       1.209457867961e-03       4.641796720362e+03 
       1.287815500289e-03       4.917761792586e+03 
       1.369694559503e-03       5.203264182771e+03 
       1.454948181085e-03       5.497426840077e+03 
       1.543406586669e-03       5.799329504343e+03 
       1.634883925501e-03       6.107992133237e+03 
       1.729184853931e-03       6.422423007938e+03 
       1.826110441106e-03       6.741643524879e+03 
       1.925463146599e-03       7.064707322304e+03 
