# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.390799189005e-10       4.174699481341e-15       3.503931684556e-13       2.264142296589e-19       8.174136768188e-09       4.589214905331e-10      -1.840211442198e-12 
    3       1.313569239112e-10       5.336657060612e-15       3.944409178421e-13       4.529225843648e-19       5.027610722994e-09       3.249027746413e-10      -1.391816958076e-12 
    4       1.241329970798e-10       4.600633182046e-15       3.690096103830e-13       7.550782364165e-19       3.494297461873e-09       2.457983573839e-10      -9.088446863658e-13 
    5       1.187558617151e-10       3.058260361695e-15       3.141704817156e-13       1.133001441644e-18       2.607981890802e-09       1.939931544552e-10      -5.029620163046e-13 
    6       1.150471031402e-10       1.705603791948e-15       2.528680446443e-13       1.586838135935e-18       2.037209562544e-09       1.576817020754e-10      -2.047841433812e-13 
    7       1.126318926449e-10       9.223836676457e-16       1.984139213669e-13       2.116757211225e-18       1.643689210533e-09       1.310809792461e-10      -1.549769997249e-14 
    8       1.112352808083e-10       5.977528911305e-16       1.565976463282e-13       2.722947435996e-18       1.358610070133e-09       1.109724695844e-10       8.019545237106e-14 
    9       1.105565260911e-10       4.811356194977e-16       1.287121723434e-13       3.405614112098e-18       1.144059718086e-09       9.536621362759e-11       1.059990187176e-13 
   10       1.104063393158e-10       4.104572879137e-16       1.134069333585e-13       4.164975566164e-18       9.777376242818e-10       8.296706890711e-11       8.804429295187e-14 
   11       1.106809326481e-10       3.461726875460e-16       1.079312968273e-13       5.001259576823e-18       8.243438704501e-10       7.332761177117e-11       5.061097231168e-14 
   12       1.112965282592e-10       3.038852897442e-16       1.092237363657e-13       5.914699838319e-18       7.202403821467e-10       6.481119607056e-11       1.099791842238e-14 
   13       1.121203124524e-10       2.936604407052e-16       1.146340473168e-13       6.905532557079e-18       6.347717750677e-10       5.787213442257e-11      -1.886913803660e-14 
   14       1.131760740128e-10       3.071186536286e-16       1.221470560303e-13       7.973993270357e-18       5.636692083987e-10       5.197092278722e-11      -3.463812121370e-14 
   15       1.143909218010e-10       3.329261717884e-16       1.304317095562e-13       9.120313965715e-18       5.038213528138e-10       4.681074545350e-11      -3.716690351260e-14 
   16       1.157257311701e-10       3.691545120652e-16       1.388431613686e-13       1.034472056712e-17       4.529364252405e-10       4.243380176423e-11      -3.026458471261e-14 
   17       1.171847853313e-10       4.213872551881e-16       1.472830783253e-13       1.164743083835e-17       4.092867793936e-10       3.869032005205e-11      -1.919005520213e-14 
   18       1.187426789352e-10       4.947773545028e-16       1.558611067105e-13       1.302865255583e-17       3.714029524369e-10       3.539689847141e-11      -8.834132825045e-15 
   19       1.204019663510e-10       5.895559992884e-16       1.648040306448e-13       1.448858324252e-17       3.386837879398e-10       3.249717592742e-11      -1.723614580114e-15 
   20       1.221224829678e-10       7.037052906074e-16       1.743331382679e-13       1.602740743839e-17       3.098681031631e-10       2.990365998589e-11       5.365820806158e-16 
   21       1.239113092678e-10       8.366043051664e-16       1.843797045897e-13       1.764529925722e-17       2.845030579272e-10       2.761526424152e-11      -1.399726095257e-15 
   22       1.257598933009e-10       9.878092958196e-16       1.947052678907e-13       1.934241938932e-17       2.619815113999e-10       2.561426315401e-11      -5.704550964641e-15 
   23       1.276700257196e-10       1.157572456920e-15       2.049954472383e-13       2.111891905958e-17       2.419936719838e-10       2.383598796593e-11      -1.061744063203e-14 
   24       1.296260536106e-10       1.346182008605e-15       2.148640234239e-13       2.297493697854e-17       2.240773245664e-10       2.218649427420e-11      -1.429795676675e-14 
   25       1.316303487979e-10       1.553744337774e-15       2.239987671910e-13       2.491060493617e-17       2.080214667987e-10       2.068096253422e-11      -1.596946492799e-14 
   26       1.336762027879e-10       1.780542675338e-15       2.321230765805e-13       2.692604412956e-17       1.935352308192e-10       1.934863083949e-11      -1.538145797255e-14 
   27       1.357653507604e-10       2.028600014743e-15       2.391670285331e-13       2.902137050665e-17       1.804449336157e-10       1.815770632148e-11      -1.325952138324e-14 
   28       1.378920573739e-10       2.300471617341e-15       2.451476994283e-13       3.119669225349e-17       1.685250769287e-10       1.705208195030e-11      -1.070641490870e-14 
   29       1.400604808590e-10       2.597656838224e-15       2.501132160697e-13       3.345211837595e-17       1.577147189063e-10       1.602850353874e-11      -8.321045064661e-15 
   30       1.422648209200e-10       2.921322820211e-15       2.541513600391e-13       3.578775158701e-17       1.478975945067e-10       1.509304604804e-11      -6.637558234793e-15 
   31       1.444891500821e-10       3.272547921195e-15       2.573550837802e-13       3.820368825334e-17       1.388732677429e-10       1.424365071002e-11      -6.138029938399e-15 
   32       1.467384467959e-10       3.652126643859e-15       2.596848668494e-13       4.070002901860e-17       1.305951761725e-10       1.347354668147e-11      -6.646042878529e-15 
   33       1.490166293832e-10       4.060673962194e-15       2.610543971332e-13       4.327687200012e-17       1.230049079527e-10       1.276738403507e-11      -7.693488165345e-15 
   34       1.513210037990e-10       4.498783773606e-15       2.613637495829e-13       4.593431145065e-17       1.159963416149e-10       1.210549111540e-11      -8.755013110821e-15 
   35       1.536553246562e-10       4.967445005694e-15       2.604952962846e-13       4.867244270859e-17       1.095334872546e-10       1.148518677902e-11      -9.558335158910e-15 
   36       1.560196135780e-10       5.467766423569e-15       2.583142246996e-13       5.149135912437e-17       1.035642780348e-10       1.090603075949e-11      -9.874377728325e-15 
   37       1.584095717992e-10       6.000808481407e-15       2.546921796892e-13       5.439115016726e-17       9.801081141883e-11       1.036525859438e-11      -9.519432035661e-15 
   38       1.608294420870e-10       6.567381454896e-15       2.495891130211e-13       5.737189898992e-17       9.285874109218e-11       9.862648139756e-12      -8.651760336807e-15 
   39       1.632822344887e-10       7.168175519880e-15       2.429985426615e-13       6.043368419547e-17       8.809179672821e-11       9.396767567167e-12      -7.576794193281e-15 
   40       1.657655497208e-10       7.803808744895e-15       2.349265891077e-13       6.357658056533e-17       8.366460168763e-11       8.963354611398e-12      -6.673851001400e-15 
   41       1.682737280887e-10       8.474849799028e-15       2.253860421024e-13       6.680065603455e-17       7.951848456902e-11       8.556857824061e-12      -6.294130377498e-15 
   42       1.708065167151e-10       9.181906355576e-15       2.143744523186e-13       7.010596129433e-17       7.564120850355e-11       8.176260943246e-12      -6.403339209866e-15 
   43       1.733622581597e-10       9.925557492132e-15       2.018901579160e-13       7.349253690212e-17       7.202241181227e-11       7.820736423395e-12      -6.830730561875e-15 
   44       1.759350318331e-10       1.070632592951e-14       1.879386236151e-13       7.696041592072e-17       6.863568099797e-11       7.487896306707e-12      -7.363281824891e-15 
   45       1.785180967362e-10       1.152469208944e-14       1.725197614553e-13       8.050962017071e-17       6.544797442424e-11       7.174647319698e-12      -7.794696381109e-15 
   46       1.811163579348e-10       1.238114800697e-14       1.555847149735e-13       8.414014802084e-17       6.245426334240e-11       6.880356502912e-12      -8.095978972016e-15 
   47       1.837369695408e-10       1.327615467934e-14       1.370666300815e-13       8.785198268099e-17       5.965107411849e-11       6.604418678498e-12      -8.291451641446e-15 
   48       1.863856672825e-10       1.421012472047e-14       1.168920368442e-13       9.164509512230e-17       5.702604213150e-11       6.345290983140e-12      -8.411962499115e-15 
   49       1.890666024925e-10       1.518342048003e-14       9.498038236362e-14       9.551944371364e-17       5.455725058194e-11       6.100423940907e-12      -8.495267874435e-15 
   50       1.917821094435e-10       1.619633685020e-14       7.125863671701e-14       9.947497404595e-17       5.221983102064e-11       5.867033489139e-12      -8.579187116942e-15 
   51       1.945323180568e-10       1.724904854787e-14       4.571086838048e-14       1.035116191918e-16       5.000941106884e-11       5.644824015355e-12      -8.677989936841e-15 
   52       1.973151491041e-10       1.834164527146e-14       1.834131805522e-14       1.076292988882e-16       4.792388840666e-11       5.433885313134e-12      -8.800260251276e-15 
   53       2.001262065337e-10       1.947414322275e-14      -1.083926180381e-14       1.118279190086e-16       4.595641344051e-11       5.233887573726e-12      -8.955604398052e-15 
   54       2.029586083202e-10       2.064648250531e-14      -4.181336478361e-14       1.161073712085e-16       4.409506983960e-11       5.044052033172e-12      -9.154693178709e-15 
   55       2.058055536138e-10       2.185855376150e-14      -7.456367532434e-14       1.204675412510e-16       4.232650705824e-11       4.863435224168e-12      -9.404663241772e-15 
