# Matter power spectrum P(k) at redshift z=0
# for k=1.04542e-05 to 105.822 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045418262939e-05       4.787152868298e+01 
       2.335860328868e-05       1.040820237307e+02 
       3.630853039503e-05       1.593771223602e+02 
       4.933893410090e-05       2.143255926628e+02 
       6.248536470749e-05       2.692554470702e+02 
       7.578427080856e-05       3.244152450664e+02 
       8.927332763768e-05       3.800193059881e+02 
       1.029917800011e-04       4.362663437919e+02 
       1.169808042116e-04       4.933490369258e+02 
       1.312838934717e-04       5.514598919510e+02 
       1.459472711623e-04       6.107952692186e+02 
       1.610203364278e-04       6.715587484204e+02 
       1.765561462674e-04       7.339637793543e+02 
       1.926119379629e-04       7.982362896360e+02 
       2.092496949961e-04       8.646171524382e+02 
       2.265367585070e-04       9.333646119961e+02 
       2.445464846379e-04       1.004756801052e+03 
       2.633589455736e-04       1.079094171900e+03 
       2.830616684515e-04       1.156702088970e+03 
       3.037504012334e-04       1.237933101750e+03 
       3.255298877210e-04       1.323169593287e+03 
       3.485146247459e-04       1.412825658634e+03 
       3.728295627915e-04       1.507348964536e+03 
       3.986106966566e-04       1.607221771643e+03 
       4.260054752815e-04       1.712961083431e+03 
       4.551729401028e-04       1.825117796779e+03 
       4.862834806918e-04       1.944273747872e+03 
       5.195180776284e-04       2.071037138173e+03 
       5.550668898224e-04       2.206034229119e+03 
       5.931270428707e-04       2.349899720356e+03 
       6.338994941035e-04       2.503261547180e+03 
       6.775848967971e-04       2.666723608381e+03 
       7.243784670059e-04       2.840844493011e+03 
       7.744639730445e-04       3.026113218926e+03 
       8.280071124570e-04       3.222924149596e+03 
       8.851486951564e-04       3.431551686501e+03 
       9.459981833268e-04       3.652127486945e+03 
       1.010628211044e-03       3.884623340465e+03 
       1.079070685805e-03       4.128840303834e+03 
       1.151314944282e-03       4.384407684787e+03 
       1.227308207694e-03       4.650790318163e+03 
       1.306958299893e-03       4.927306712755e+03 
       1.390138313747e-03       5.213128464021e+03 
       1.476692698237e-03       5.507363314382e+03 
       1.566444129245e-03       5.809065588741e+03 
       1.659200529924e-03       6.117242317298e+03 
       1.754761701761e-03       6.430895706383e+03 
       1.852925177565e-03       6.749047376746e+03 
       1.953491072684e-03       7.070755982564e+03 
       2.056265859317e-03       7.395132363446e+03 
       2.161065102644e-03       7.721347231084e+03 
       2.267715271487e-03       8.048638513045e+03 
       2.376054773992e-03       8.376311315851e+03 
       2.485934378731e-03       8.703739916543e+03 
       2.597217172996e-03       9.030362773764e+03 
       2.709778191077e-03       9.355681545326e+03 
       2.823503822130e-03       9.679254020729e+03 
       2.938291083954e-03       1.000069318226e+04 
       3.054046827858e-03       1.031965860111e+04 
       3.170686921904e-03       1.063585479903e+04 
       3.288135445391e-03       1.094902393615e+04 
       3.406323916245e-03       1.125894503729e+04 
       3.525190564580e-03       1.156542572581e+04 
       3.644679659634e-03       1.186830409915e+04 
       3.764740892929e-03       1.216744041697e+04 
       3.885328817643e-03       1.246271901425e+04 
       4.006402342234e-03       1.275404139241e+04 
       4.127924275230e-03       1.304132876274e+04 
       4.249860917458e-03       1.332451105891e+04 
       4.372181697692e-03       1.360354222040e+04 
       4.494858847709e-03       1.387837859459e+04 
       4.617867112830e-03       1.414899313380e+04 
       4.741183494266e-03       1.441535248554e+04 
       4.864787019840e-03       1.467744592324e+04 
       4.988658539983e-03       1.493528390787e+04 
       5.112780546146e-03       1.518890128312e+04 
       5.237137009110e-03       1.543821388600e+04 
