# Matter power spectrum P(k) at redshift z=0
# for k=1.04542e-05 to 105.822 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045418262939e-05       4.787091883409e+01 
       2.335860328868e-05       1.040807052015e+02 
       3.630853039503e-05       1.593751234115e+02 
       4.933893410090e-05       2.143229435109e+02 
       6.248536470749e-05       2.692521834490e+02 
       7.578427080856e-05       3.244114100227e+02 
       8.927332763768e-05       3.800149514009e+02 
       1.029917800011e-04       4.362615319890e+02 
       1.169808042116e-04       4.933438425600e+02 
       1.312838934717e-04       5.514544042481e+02 
       1.459472711623e-04       6.107895947029e+02 
       1.610203364278e-04       6.715530142332e+02 
       1.765561462674e-04       7.339581373058e+02 
       1.926119379629e-04       7.982309211590e+02 
       2.092496949961e-04       8.646122746538e+02 
       2.265367585070e-04       9.333604851499e+02 
       2.445464846379e-04       1.004753737646e+03 
       2.633589455736e-04       1.079092547921e+03 
       2.830616684515e-04       1.156702357711e+03 
       3.037504012334e-04       1.237935810847e+03 
       3.255298877210e-04       1.323175405717e+03 
       3.485146247459e-04       1.412835378619e+03 
       3.728295627915e-04       1.507363569463e+03 
       3.986106966566e-04       1.607242451355e+03 
       4.260054752815e-04       1.712989288484e+03 
       4.551729401028e-04       1.825155297493e+03 
       4.862834806918e-04       1.944322706246e+03 
       5.195180776284e-04       2.071100194892e+03 
       5.550668898224e-04       2.206114607885e+03 
       5.931270428707e-04       2.350001351644e+03 
       6.338994941035e-04       2.503389212961e+03 
       6.775848967971e-04       2.666883108447e+03 
       7.243784670059e-04       2.841042832013e+03 
       7.744639730445e-04       3.026358811116e+03 
       8.280071124570e-04       3.223227035602e+03 
       8.851486951564e-04       3.431923753286e+03 
       9.459981833268e-04       3.652582678932e+03 
       1.010628211044e-03       3.885177847181e+03 
       1.079070685805e-03       4.129512707641e+03 
       1.151314944282e-03       4.385219052522e+03 
       1.227308207694e-03       4.651764222391e+03 
       1.306958299893e-03       4.928469172855e+03 
