# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.559809314987e-26       4.636603989638e-09       2.157173308869e+22       1.424847712902e+04       1.424847712902e-10       1.424847712902e+18       2.676420419332e-09       2.751479771419e+44       2.488912738110e+33       1.308476465919e+34       6.329081912896e+43       2.109693970965e+43       3.483571410310e-08       1.269008721634e+44       4.653396684498e+44       4.653396684498e+44       1.551132228114e+44      -1.338424416406e+53       5.577213595775e-06       2.000000000000e+00 
       9.893085837570e+13       7.724089334070e-26       4.685716703534e-09       2.111293412038e+22       1.424847712902e+04       1.440245982190e-10       1.409614072921e+18       2.705344383539e-09       2.635684565162e+44       2.409933186015e+33       1.266955168839e+34       6.062724386616e+43       2.020908128872e+43       3.483571410310e-08       1.215602867740e+44       4.457559871714e+44       4.457559871714e+44       1.485853290521e+44      -1.268389788601e+53       5.697112311617e-06       1.957908951181e+00 
       9.787314738953e+13       7.891939257369e-26       4.736648406833e-09       2.066389312989e+22       1.424847712902e+04       1.455810659926e-10       1.394543302125e+18       2.734580926804e-09       2.524762565653e+44       2.333459856639e+33       1.226751448465e+34       5.807576437456e+43       1.935858812485e+43       3.483571410310e-08       1.164444583293e+44       4.269964792837e+44       4.269964792837e+44       1.423321597564e+44      -1.202019804859e+53       5.817011027445e-06       1.917553041712e+00 
       9.682674483178e+13       8.063436668110e-26       4.787580110133e-09       2.022440257944e+22       1.424847712902e+04       1.471543544480e-10       1.379633659213e+18       2.764133427727e-09       2.418508685440e+44       2.259413221140e+33       1.187823494725e+34       5.563166313705e+43       1.854388771235e+43       3.483571410310e-08       1.115439280001e+44       4.090264596953e+44       4.090264596953e+44       1.363421532271e+44      -1.139122708381e+53       5.936909743265e-06       1.878827146122e+00 
       9.579152979933e+13       8.238660842250e-26       4.838511813432e-09       1.979425934523e+22       1.424847712902e+04       1.487446453655e-10       1.364883421500e+18       2.794005301432e-09       2.316726468112e+44       2.187716274329e+33       1.150130824290e+34       5.329042117179e+43       1.776347372393e+43       3.483571410310e-08       1.068496350296e+44       3.918127030263e+44       3.918127030263e+44       1.306042343375e+44      -1.079516776265e+53       6.056808459088e-06       1.841634462244e+00 
       9.476738268169e+13       8.417692760901e-26       4.891262506135e-09       1.937326462363e+22       1.424847712902e+04       1.503521224901e-10       1.350290884717e+18       2.824199999183e-09       2.219227725071e+44       2.118294454587e+33       1.113634238467e+34       5.104770967696e+43       1.701590322565e+43       3.483571410310e-08       1.023528999798e+44       3.753233821771e+44       3.753233821771e+44       1.251077940546e+44      -1.023029794477e+53       6.176707174907e-06       1.805885704713e+00 
       9.375418514718e+13       8.600615168631e-26       4.944013198838e-09       1.896122383925e+22       1.424847712902e+04       1.519769715523e-10       1.335854362820e+18       2.854721009727e-09       2.125832187576e+44       2.051075566329e+33       1.078295782439e+34       4.889938202708e+43       1.629979400903e+43       3.483571410310e-08       9.804540868467e+43       3.595280094822e+44       3.595280094822e+44       1.198426698231e+44      -9.694985602797e+52       6.296605890726e-06       1.771498388655e+00 
       9.275182012925e+13       8.787512610124e-26       4.998582880944e-09       1.855794655505e+22       1.424847712902e+04       1.536193802900e-10       1.321572187787e+18       2.885571859570e-09       2.036367173446e+44       1.985989704916e+33       1.044078705794e+34       4.684146610616e+43       1.561382203539e+43       3.483571410310e-08       9.391919687705e+43       3.443973803402e+44       3.443973803402e+44       1.147991267759e+44      -9.187684107139e+52       6.416504606545e-06       1.738396194400e+00 
       9.176017181296e+13       8.978471473010e-26       5.051333573647e-09       1.816324638430e+22       1.424847712902e+04       1.552795384698e-10       1.307442709432e+18       2.916756113351e-09       1.950667267775e+44       1.922969183965e+33       1.010947424302e+34       4.487015696352e+43       1.495671898784e+43       3.483571410310e-08       8.996663546377e+43       3.299035192168e+44       3.299035192168e+44       1.099678397349e+44      -8.706927757399e+52       6.536403322362e-06       1.706508402067e+00 
       9.077912562158e+13       9.173580012783e-26       5.105903255753e-09       1.777694090443e+22       1.424847712902e+04       1.569576379092e-10       1.293464295212e+18       2.948277374104e-09       1.868574017097e+44       1.861948464951e+33       9.788674829128e+33       4.298180977872e+43       1.432726992624e+43       3.483571410310e-08       8.618041641973e+43       3.160196279197e+44       3.160196279197e+44       1.053398759694e+44      -8.251327547675e+52       6.656302038176e-06       1.675769387306e+00 
