# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380994077375e-10       4.233106652735e-15       3.541267655402e-13       0.000000000000e+00       8.146428582333e-09       4.523445811349e-10      -1.856017272815e-12 
    3       1.305998971793e-10       5.423239757622e-15       3.983013618053e-13       0.000000000000e+00       5.035226556215e-09       3.205696532278e-10      -1.404826096111e-12 
    4       1.235279164959e-10       4.686316460942e-15       3.723850317450e-13       0.000000000000e+00       3.501048551257e-09       2.424894410129e-10      -9.191556878578e-13 
    5       1.182363845180e-10       3.122448717618e-15       3.169637484267e-13       0.000000000000e+00       2.610354972786e-09       1.912805982054e-10      -5.105237785471e-13 
    6       1.146040425411e-10       1.743064773503e-15       2.550289709586e-13       0.000000000000e+00       2.037178959366e-09       1.554514892201e-10      -2.096290752037e-13 
    7       1.122777880797e-10       9.399798085020e-16       1.999361874266e-13       0.000000000000e+00       1.642846225456e-09       1.292639170628e-10      -1.794716756365e-14 
    8       1.109076709620e-10       6.053727166728e-16       1.575775291294e-13       0.000000000000e+00       1.357414342939e-09       1.094548582453e-10       7.966009890238e-14 
    9       1.102515780655e-10       4.852058134198e-16       1.292813725159e-13       0.000000000000e+00       1.142825963793e-09       9.405044982215e-11       1.067728903325e-13 
   10       1.101513845183e-10       4.127720157363e-16       1.136141165087e-13       0.000000000000e+00       9.767749100922e-10       8.181944918555e-11       8.946433066024e-14 
   11       1.104629935461e-10       3.461368290044e-16       1.078227493136e-13       0.000000000000e+00       8.229730710247e-10       7.218507580830e-11       5.192060069979e-14 
   12       1.110354343598e-10       3.009285515359e-16       1.089325734575e-13       0.000000000000e+00       7.188763230648e-10       6.401007993439e-11       1.221952801637e-14 
   13       1.119136108310e-10       2.880391647244e-16       1.142453118120e-13       0.000000000000e+00       6.334341098064e-10       5.697134622140e-11      -1.838227257165e-14 
   14       1.129754598737e-10       2.993077294124e-16       1.216235110842e-13       0.000000000000e+00       5.623572794817e-10       5.116249348202e-11      -3.468089838490e-14 
   15       1.141769003510e-10       3.229170999610e-16       1.297811523053e-13       0.000000000000e+00       5.025487363532e-10       4.626697546753e-11      -3.738612022324e-14 
   16       1.155457191112e-10       3.564349137477e-16       1.380958894263e-13       0.000000000000e+00       4.517078287097e-10       4.189573691602e-11      -3.078256096499e-14 
   17       1.170148029193e-10       4.054729365483e-16       1.463507720982e-13       0.000000000000e+00       4.081008471444e-10       3.810787014188e-11      -1.980012152963e-14 
   18       1.185737674847e-10       4.756116487163e-16       1.547888496358e-13       0.000000000000e+00       3.702590855652e-10       3.481164370702e-11      -9.332941605521e-15 
   19       1.202389268917e-10       5.670794374824e-16       1.636344175186e-13       0.000000000000e+00       3.375816358868e-10       3.195488042305e-11      -2.005759450230e-15 
   20       1.219721491618e-10       6.776804552030e-16       1.730360184757e-13       0.000000000000e+00       3.088070497059e-10       2.944572711365e-11       4.845217834788e-16 
   21       1.237804740460e-10       8.067821560521e-16       1.829449971635e-13       0.000000000000e+00       2.834819951280e-10       2.722894907094e-11      -1.279191472369e-15 
   22       1.256532436590e-10       9.539703007730e-16       1.931718614697e-13       0.000000000000e+00       2.609992717611e-10       2.522776245034e-11      -5.526722389573e-15 
   23       1.275849117331e-10       1.119437216969e-15       2.034002572830e-13       0.000000000000e+00       2.410487368885e-10       2.343178263499e-11      -1.048098214059e-14 
   24       1.295520916968e-10       1.303386161532e-15       2.132271082125e-13       0.000000000000e+00       2.231680877153e-10       2.182899463347e-11      -1.425505578695e-14 
