# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380998693801e-10       4.233328370515e-15       3.541267616452e-13       2.217177335624e-19       8.146428582333e-09       4.523445811349e-10      -1.856017272815e-12 
    3       1.306008182112e-10       5.423683285392e-15       3.983013444442e-13       4.435273188057e-19       5.035226556215e-09       3.205696532278e-10      -1.404826096111e-12 
    4       1.235294466031e-10       4.687055877680e-15       3.723849818496e-13       7.394145169427e-19       3.501048551257e-09       2.424894410129e-10      -9.191556878578e-13 
    5       1.182386705513e-10       3.123558222071e-15       3.169636347307e-13       1.109496849264e-18       2.610354972786e-09       1.912805982054e-10      -5.105237785471e-13 
    6       1.146072279478e-10       1.744618711310e-15       2.550287473270e-13       1.553917076697e-18       2.037178959366e-09       1.554514892201e-10      -2.096290752037e-13 
    7       1.122820124214e-10       9.420526973345e-16       1.999357904156e-13       2.072840620756e-18       1.642846225456e-09       1.292639170628e-10      -1.794716756365e-14 
    8       1.109130695297e-10       6.080392689366e-16       1.575768758081e-13       2.666452641830e-18       1.357414342939e-09       1.094548582453e-10       7.966009890238e-14 
    9       1.102582815974e-10       4.885409560111e-16       1.292803585733e-13       3.334954859075e-18       1.142825963793e-09       9.405044982215e-11       1.067728903325e-13 
   10       1.101595190249e-10       4.168509063537e-16       1.136126146595e-13       4.078562202353e-18       9.767749100922e-10       8.181944918555e-11       8.946433066024e-14 
   11       1.104726802411e-10       3.510348685023e-16       1.078206080098e-13       4.897499389620e-18       8.229730710247e-10       7.218507580830e-11       5.192060069979e-14 
