# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.559809314983e-26       4.636603989638e-09       2.157173308870e+22       1.410655745554e+04       1.410655745554e-10       1.410655745554e+18       2.676420419331e-09       2.751479771419e+44       2.488912738110e+33       1.348531867937e+34       6.329081912896e+43       2.109693970965e+43       3.443516008292e-08       1.269008721634e+44       4.653396684502e+44       4.653396684502e+44       1.551132228114e+44      -1.338424416407e+53       5.410418175934e-06       2.000000000000e+00 
       9.893085837570e+13       7.724089334067e-26       4.685716703534e-09       2.111293412039e+22       1.410655745554e+04       1.425900642848e-10       1.395573837802e+18       2.705344383538e-09       2.635684565162e+44       2.409933186015e+33       1.305739510743e+34       6.062724386616e+43       2.020908128872e+43       3.443516008292e-08       1.215602867740e+44       4.457559871718e+44       4.457559871718e+44       1.485853290521e+44      -1.268389788601e+53       5.526731130480e-06       1.957908951181e+00 
       9.787314738953e+13       7.891939257365e-26       4.736648406833e-09       2.066389312990e+22       1.410655745554e+04       1.441310291105e-10       1.380653177005e+18       2.734580926803e-09       2.524762565653e+44       2.333459856639e+33       1.264305064234e+34       5.807576437456e+43       1.935858812485e+43       3.443516008292e-08       1.164444583293e+44       4.269964792841e+44       4.269964792841e+44       1.423321597564e+44      -1.202019804860e+53       5.643044085014e-06       1.917553041712e+00 
       9.682674483178e+13       8.063436668106e-26       4.787580110133e-09       2.022440257945e+22       1.410655745554e+04       1.456886470783e-10       1.365892039202e+18       2.764133427726e-09       2.418508685440e+44       2.259413221140e+33       1.224185438442e+34       5.563166313705e+43       1.854388771235e+43       3.443516008292e-08       1.115439280001e+44       4.090264596957e+44       4.090264596957e+44       1.363421532271e+44      -1.139122708381e+53       5.759357039539e-06       1.878827146123e+00 
       9.579152979933e+13       8.238660842246e-26       4.838511813432e-09       1.979425934524e+22       1.410655745554e+04       1.472630981579e-10       1.351288718868e+18       2.794005301431e-09       2.316726468112e+44       2.187716274329e+33       1.185338910748e+34       5.329042117179e+43       1.776347372393e+43       3.443516008292e-08       1.068496350296e+44       3.918127030267e+44       3.918127030267e+44       1.306042343375e+44      -1.079516776266e+53       5.875669994067e-06       1.841634462244e+00 
       9.476738268169e+13       8.417692760896e-26       4.891262506135e-09       1.937326462364e+22       1.410655745554e+04       1.488545642641e-10       1.336841528710e+18       2.824199999182e-09       2.219227725071e+44       2.118294454587e+33       1.147725082501e+34       5.104770967696e+43       1.701590322565e+43       3.443516008292e-08       1.023528999798e+44       3.753233821775e+44       3.753233821775e+44       1.251077940546e+44      -1.023029794477e+53       5.991982948591e-06       1.805885704713e+00 
       9.375418514718e+13       8.600615168627e-26       4.944013198838e-09       1.896122383926e+22       1.410655745554e+04       1.504632292776e-10       1.322548799476e+18       2.854721009725e-09       2.125832187576e+44       2.051075566329e+33       1.111304837004e+34       4.889938202708e+43       1.629979400903e+43       3.443516008292e-08       9.804540868467e+43       3.595280094825e+44       3.595280094825e+44       1.198426698231e+44      -9.694985602801e+52       6.108295903115e-06       1.771498388655e+00 
       9.275182012925e+13       8.787512610119e-26       4.998582880944e-09       1.855794655506e+22       1.410655745554e+04       1.520892790662e-10       1.308408879759e+18       2.885571859569e-09       2.036367173446e+44       1.985989704916e+33       1.076040298829e+34       4.684146610616e+43       1.561382203539e+43       3.443516008292e-08       9.391919687705e+43       3.443973803405e+44       3.443973803405e+44       1.147991267759e+44      -9.187684107144e+52       6.224608857640e-06       1.738396194401e+00 
       9.176017181296e+13       8.978471473005e-26       5.051333573647e-09       1.816324638431e+22       1.410655745554e+04       1.537329015065e-10       1.294420135809e+18       2.916756113349e-09       1.950667267775e+44       1.922969183965e+33       1.041894794434e+34       4.487015696352e+43       1.495671898784e+43       3.443516008292e-08       8.996663546377e+43       3.299035192171e+44       3.299035192171e+44       1.099678397349e+44      -8.706927757403e+52       6.340921812163e-06       1.706508402067e+00 
       9.077912562158e+13       9.173580012778e-26       5.105903255753e-09       1.777694090444e+22       1.410655745554e+04       1.553942865053e-10       1.280580951344e+18       2.948277374103e-09       1.868574017097e+44       1.861948464951e+33       1.008832814022e+34       4.298180977872e+43       1.432726992624e+43       3.443516008292e-08       8.618041641973e+43       3.160196279200e+44       3.160196279200e+44       1.053398759694e+44      -8.251327547679e+52       6.457234766682e-06       1.675769387306e+00 
