# Matter power spectrum P(k) at redshift z=0
# for k=1.05239e-05 to 107.805 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052390404073e-05       4.695188717728e+01 
       2.348362379891e-05       1.019535445595e+02 
       3.648950406411e-05       1.560627253250e+02 
       4.957696864784e-05       2.098363541444e+02 
       6.278203464046e-05       2.635964201230e+02 
       7.614163748988e-05       3.175873334819e+02 
       8.969396659995e-05       3.720201546117e+02 
       1.034788159622e-04       4.270907783940e+02 
       1.175379543692e-04       4.829893347072e+02 
       1.319155197903e-04       5.399059136226e+02 
       1.466584424979e-04       5.980346707424e+02 
       1.618169014590e-04       6.575769471760e+02 
       1.774448183157e-04       7.187440463772e+02 
       1.936003928714e-04       7.817597334530e+02 
       2.103466832851e-04       8.468627948645e+02 
       2.277522330073e-04       9.143093795803e+02 
       2.458917446871e-04       9.843755299502e+02 
       2.648467986014e-04       1.057359609976e+03 
       2.847066093131e-04       1.133584830784e+03 
       3.055688089015e-04       1.213401763107e+03 
       3.275402378102e-04       1.297190579161e+03 
       3.507377147132e-04       1.385363216176e+03 
       3.752887444007e-04       1.478365106755e+03 
       4.013321072969e-04       1.576676070543e+03 
       4.290182559159e-04       1.680810631916e+03 
       4.585094229885e-04       1.791316738237e+03 
       4.899793247392e-04       1.908772871693e+03 
       5.236123237737e-04       2.033783033029e+03 
       5.596019038630e-04       2.166968804163e+03 
       5.981483100854e-04       2.308958394962e+03 
       6.394552303158e-04       2.460372183866e+03 
       6.837254462740e-04       2.621804546666e+03 
       7.311554705114e-04       2.793802349739e+03 
       7.819293104283e-04       2.976840849777e+03 
       8.362116525945e-04       3.171298456227e+03 
       8.941409186219e-04       3.377431545964e+03 
       9.558227740153e-04       3.595352911856e+03 
       1.021324734446e-03       3.825015040558e+03 
       1.090672476545e-03       4.066200708110e+03 
       1.163848309649e-03       4.318523155341e+03 
       1.240792018347e-03       4.581435203023e+03 
       1.321403990468e-03       4.854247441970e+03 
       1.405550265331e-03       5.136125795098e+03 
       1.493068932506e-03       5.426188453447e+03 
       1.583777218088e-03       5.723495167854e+03 
       1.677478617175e-03       6.027067021351e+03 
       1.773969542664e-03       6.335924453461e+03 
       1.873045121325e-03       6.649110239721e+03 
       1.974503937590e-03       6.965706141677e+03 
       2.078151673213e-03       7.284846919205e+03 
       2.183803700743e-03       7.605728033213e+03 
       2.291286757332e-03       7.927610859337e+03 
       2.400439857851e-03       8.249824387822e+03 
       2.511114611862e-03       8.571763709875e+03 
       2.623175097168e-03       8.892887156172e+03 
       2.736497421664e-03       9.212714858178e+03 
       2.850969080966e-03       9.530821334959e+03 
       2.966488195518e-03       9.846833595276e+03 
       3.082962689767e-03       1.016042453148e+04 
       3.200309458314e-03       1.047130955872e+04 
       3.318453549838e-03       1.077924121912e+04 
       3.437327388786e-03       1.108400678658e+04 
       3.556870046742e-03       1.138542131249e+04 
       3.677026569612e-03       1.168332915161e+04 
       3.797747362709e-03       1.197759594877e+04 
       3.918987633089e-03       1.226811020304e+04 
       4.040706886790e-03       1.255477643549e+04 
       4.162868477539e-03       1.283751862894e+04 
       4.285439202996e-03       1.311627307301e+04 
       4.408388944383e-03       1.339098904879e+04 
       4.531690345355e-03       1.366162761677e+04 
       4.655318526165e-03       1.392816153646e+04 
       4.779250829383e-03       1.419055609663e+04 
       4.903466593759e-03       1.444881177810e+04 
       5.027946953072e-03       1.470292278323e+04 
       5.152674657176e-03       1.495293204233e+04 
       5.277633912690e-03       1.519874687179e+04 
       5.402810241081e-03       1.544042923874e+04 
       5.528190352147e-03       1.567802836455e+04 
       5.653762031111e-03       1.591148102414e+04 
       5.779514037764e-03       1.614091499654e+04 
       5.905436016274e-03       1.636625554165e+04 
       6.031518414443e-03       1.658756574286e+04 
       6.157752411333e-03       1.680482136327e+04 
       6.284129852314e-03       1.701814280249e+04 
       6.410643190710e-03       1.722748922749e+04 
       6.537285435297e-03       1.743292753386e+04 
       6.664050103011e-03       1.763445765116e+04 
       6.790931176303e-03       1.783215595009e+04 
       6.917923064622e-03       1.802603058263e+04 
       7.045020569598e-03       1.821612616417e+04 
       7.172218853518e-03       1.840246318764e+04 
       7.299513410760e-03       1.858508634991e+04 
       7.426900041868e-03       1.876403420569e+04 
       7.554374830001e-03       1.893934833439e+04 
       7.681934119511e-03       1.911106448577e+04 
       7.809574496434e-03       1.927920315193e+04 
       7.937292770710e-03       1.944383242764e+04 
       8.065085959952e-03       1.960496944366e+04 
       8.192951274618e-03       1.976264806440e+04 
       8.320886104448e-03       1.991690858551e+04 
       8.448888006053e-03       2.006780384480e+04 
       8.576954691531e-03       2.021536691460e+04 
       8.705084018032e-03       2.035962516649e+04 
       8.833273978172e-03       2.050061399225e+04 
       8.961522691226e-03       2.063837904002e+04 
       9.089828395020e-03       2.077295595956e+04 
       9.218189438475e-03       2.090437496168e+04 
       9.346604274729e-03       2.103266368626e+04 
       9.475071454795e-03       2.115788217225e+04 
       9.603589621714e-03       2.128004029951e+04 
       9.732157505142e-03       2.139919028398e+04 
       9.860773916360e-03       2.151536167523e+04 
       9.989437743647e-03       2.162857689837e+04 
       1.011814794801e-02       2.173888084201e+04 
       1.024690355921e-02       2.184630708934e+04 
       1.037570367211e-02       2.195088480842e+04 
       1.050454744323e-02       2.205264368686e+04 
       1.063343408767e-02       2.215162829314e+04 
       1.076236287606e-02       2.224786365859e+04 
       1.089133313196e-02       2.234137649545e+04 
       1.102034422926e-02       2.243220742350e+04 
       1.114939558982e-02       2.252038300580e+04 
       1.127848668135e-02       2.260593940343e+04 
       1.140761701532e-02       2.268890288556e+04 
       1.153678614512e-02       2.276929633810e+04 
       1.166599366424e-02       2.284717608049e+04 
       1.179523920473e-02       2.292253918428e+04 
