# Matter power spectrum P(k) at redshift z=0
# for k=1.05239e-05 to 107.805 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052390404073e-05       4.695130316639e+01 
       2.348362379891e-05       1.019522834810e+02 
       3.648950406411e-05       1.560608141147e+02 
       4.957696864784e-05       2.098338215829e+02 
       6.278203464046e-05       2.635933002362e+02 
       7.614163748988e-05       3.175836672592e+02 
       8.969396659995e-05       3.720159914650e+02 
       1.034788159622e-04       4.270861777118e+02 
       1.175379543692e-04       4.829843676604e+02 
       1.319155197903e-04       5.399006653308e+02 
       1.466584424979e-04       5.980292429012e+02 
       1.618169014590e-04       6.575714612599e+02 
       1.774448183157e-04       7.187386475541e+02 
       1.936003928714e-04       7.817545953733e+02 
       2.103466832851e-04       8.468581255316e+02 
       2.277522330073e-04       9.143054285550e+02 
       2.458917446871e-04       9.843725972066e+02 
       2.648467986014e-04       1.057358056802e+03 
       2.847066093131e-04       1.133585093214e+03 
       3.055688089015e-04       1.213404368492e+03 
       3.275402378102e-04       1.297196166623e+03 
       3.507377147132e-04       1.385372561855e+03 
       3.752887444007e-04       1.478379154953e+03 
       4.013321072969e-04       1.576695972101e+03 
       4.290182559159e-04       1.680837791369e+03 
       4.585094229885e-04       1.791352871570e+03 
       4.899793247392e-04       1.908820076711e+03 
       5.236123237737e-04       2.033843874500e+03 
       5.596019038630e-04       2.167046415950e+03 
       5.981483100854e-04       2.309056601103e+03 
       6.394552303158e-04       2.460495640082e+03 
       6.837254462740e-04       2.621958902807e+03 
       7.311554705114e-04       2.793994432119e+03 
       7.819293104283e-04       2.977078860289e+03 
       8.362116525945e-04       3.171592182423e+03 
       8.941409186219e-04       3.377792573195e+03 
       9.558227740153e-04       3.595794825576e+03 
       1.021324734446e-03       3.825553604332e+03 
       1.090672476545e-03       4.066854001396e+03 
       1.163848309649e-03       4.319311655468e+03 
       1.240792018347e-03       4.582381798145e+03 
       1.321403990468e-03       4.855377365910e+03 
       1.405550265331e-03       5.137466463956e+03 
       1.493068932506e-03       5.427769265109e+03 
       1.583777218088e-03       5.725347209362e+03 
       1.677478617175e-03       6.029222716802e+03 
       1.773969542664e-03       6.338417185021e+03 
       1.873045121325e-03       6.651973955714e+03 
       1.974503937590e-03       6.968974971737e+03 
       2.078151673213e-03       7.288554815631e+03 
       2.183803700743e-03       7.609908452947e+03 
