# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.357528172430e-10       4.076929745616e-15       3.510401218446e-13       0.000000000000e+00       8.306576061772e-09       4.387943530055e-10      -1.823588577729e-12 
    3       1.288337978656e-10       5.245130784967e-15       3.934262575210e-13       0.000000000000e+00       5.099031187963e-09       3.119989785897e-10      -1.384641839680e-12 
    4       1.221751694818e-10       4.559815084493e-15       3.678177943391e-13       0.000000000000e+00       3.548021167725e-09       2.365864167087e-10      -9.103004145244e-13 
    5       1.171885663362e-10       3.058850067586e-15       3.134464301418e-13       0.000000000000e+00       2.649968709598e-09       1.869839195190e-10      -5.098352841857e-13 
    6       1.137647153771e-10       1.717896467589e-15       2.526749629867e-13       0.000000000000e+00       2.070888423839e-09       1.521491294650e-10      -2.136254520779e-13 
    7       1.115543269855e-10       9.278434154123e-16       1.985955965241e-13       0.000000000000e+00       1.671257705462e-09       1.265900795536e-10      -2.352516895299e-14 
    8       1.103034687163e-10       5.948602965390e-16       1.569611967172e-13       0.000000000000e+00       1.381318109389e-09       1.072540637859e-10       7.467080547489e-14 
    9       1.097231113488e-10       4.757961730339e-16       1.290788460799e-13       0.000000000000e+00       1.162854400950e-09       9.225965575161e-11       1.035159745113e-13 
   10       1.096858613278e-10       4.063085421090e-16       1.136246994432e-13       0.000000000000e+00       9.935442377149e-10       8.034527300275e-11       8.818662388022e-14 
   11       1.100243692876e-10       3.424559655657e-16       1.079358462671e-13       0.000000000000e+00       8.369779260932e-10       7.092141086479e-11       5.225436967068e-14 
   12       1.106319810412e-10       2.985671722140e-16       1.090680223758e-13       0.000000000000e+00       7.313312579769e-10       6.279554490964e-11       1.329547470163e-14 
   13       1.115105039852e-10       2.862362169233e-16       1.144225315629e-13       0.000000000000e+00       6.445953229722e-10       5.599496376227e-11      -1.712557072372e-14 
   14       1.126124662480e-10       2.983751134275e-16       1.219459544726e-13       0.000000000000e+00       5.724341257129e-10       5.039261729848e-11      -3.382852369640e-14 
