# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.357532905239e-10       4.077162664104e-15       3.510401178227e-13       2.329184461755e-19       8.306576061772e-09       4.387943530055e-10      -1.823588577729e-12 
    3       1.288347420920e-10       5.245596718019e-15       3.934262395950e-13       4.659326425473e-19       5.099031187963e-09       3.119989785897e-10      -1.384641839680e-12 
    4       1.221767380672e-10       4.560591851737e-15       3.678177428229e-13       7.767652331647e-19       3.548021167725e-09       2.365864167087e-10      -9.103004145244e-13 
    5       1.171909097573e-10       3.060015612982e-15       3.134463127591e-13       1.165538517139e-18       2.649968709598e-09       1.869839195190e-10      -5.098352841857e-13 
    6       1.137679805864e-10       1.719528887206e-15       2.526747321195e-13       1.632400882002e-18       2.070888423839e-09       1.521491294650e-10      -2.136254520779e-13 
    7       1.115586569142e-10       9.300209829464e-16       1.985951867000e-13       2.177524017167e-18       1.671257705462e-09       1.265900795536e-10      -2.352516895299e-14 
    8       1.103090018781e-10       5.976614860878e-16       1.569605223697e-13       2.801099764812e-18       1.381318109389e-09       1.072540637859e-10       7.467080547489e-14 
    9       1.097299815519e-10       4.792996786216e-16       1.290777996057e-13       3.503336702653e-18       1.162854400950e-09       9.225965575161e-11       1.035159745113e-13 
   10       1.096941974975e-10       4.105932934719e-16       1.136231495697e-13       4.284456559564e-18       9.935442377149e-10       8.034527300275e-11       8.818662388022e-14 
   11       1.100342954008e-10       3.476011397131e-16       1.079336367365e-13       5.144690568048e-18       8.369779260932e-10       7.092141086479e-11       5.225436967068e-14 
   12       1.106436161664e-10       3.046522003124e-16       1.090649709442e-13       6.084275856824e-18       7.313312579769e-10       6.279554490964e-11       1.329547470163e-14 
   13       1.115239624217e-10       2.933407860992e-16       1.144184293039e-13       7.103451982574e-18       6.445953229722e-10       5.599496376227e-11      -1.712557072372e-14 
   14       1.126278577530e-10       3.065791631473e-16       1.219405653704e-13       8.202457692163e-18       5.724341257129e-10       5.039261729848e-11      -3.382852369640e-14 
   15       1.138388061886e-10       3.327148595217e-16       1.302514057105e-13       9.381527995904e-18       5.117025959807e-10       4.552999528401e-11      -3.734834267960e-14 
   16       1.151875214340e-10       3.688679548023e-16       1.387320223122e-13       1.064089161899e-17       4.600648816945e-10       4.123744145881e-11      -3.136371873406e-14 
   17       1.166691274342e-10       4.202245119943e-16       1.471924742416e-13       1.198076888269e-17       4.157675872913e-10       3.752179771420e-11      -2.073686441729e-14 
   18       1.182353493446e-10       4.923060642769e-16       1.558271335889e-13       1.340136986162e-17       3.773202415593e-10       3.430323736884e-11      -1.030416377485e-14 
   19       1.198913883433e-10       5.856956411361e-16       1.648207745600e-13       1.490289415041e-17       3.441138389916e-10       3.152179727284e-11      -2.730808161864e-15 
   20       1.216069353613e-10       6.986618026252e-16       1.743015446155e-13       1.648552808352e-17       3.148682993813e-10       2.905730811755e-11       1.571235019017e-16 
   21       1.233878390123e-10       8.304787931303e-16       1.842683182753e-13       1.814944740460e-17       2.891241277001e-10       2.686474048363e-11      -1.194318606027e-15 
   22       1.252210726835e-10       9.804811030463e-16       1.945980729640e-13       1.989481421031e-17       2.662652017860e-10       2.489125603252e-11      -5.161091300557e-15 
   23       1.271084707404e-10       1.148998980331e-15       2.049574920663e-13       2.172178104437e-17       2.459771404439e-10       2.312992665457e-11      -1.001843018010e-14 
   24       1.290377243260e-10       1.336477731571e-15       2.149022513127e-13       2.363048778910e-17       2.277907713334e-10       2.156453365612e-11      -1.388447956087e-14 
   25       1.310206494220e-10       1.542978350345e-15       2.241361799392e-13       2.562106741821e-17       2.114918554884e-10       2.016887782216e-11      -1.589142319560e-14 
   26       1.330588048846e-10       1.768652403585e-15       2.324131131558e-13       2.769364225439e-17       1.967851541243e-10       1.889867397934e-11      -1.566202206586e-14 
   27       1.351399997485e-10       2.015380092350e-15       2.396278585994e-13       2.984832944988e-17       1.834949781372e-10       1.772963121251e-11      -1.380217574407e-14 
   28       1.372399523824e-10       2.285580439257e-15       2.457479713829e-13       3.208523842408e-17       1.713931341085e-10       1.663809829870e-11      -1.131160367889e-14 
   29       1.393679195437e-10       2.580750325565e-15       2.508364077879e-13       3.440447959971e-17       1.604176692362e-10       1.562843169892e-11      -8.822150012904e-15 
   30       1.415332366267e-10       2.902109865136e-15       2.550229658909e-13       3.680615718692e-17       1.504501081314e-10       1.470720795419e-11      -6.962426023861e-15 
   31       1.437348293054e-10       3.250819152325e-15       2.584384401788e-13       3.929036911613e-17       1.412865161988e-10       1.387308643529e-11      -6.315153050939e-15 
   32       1.459754258061e-10       3.627801467309e-15       2.610198960392e-13       4.185721775132e-17       1.328797401312e-10       1.312005451638e-11      -6.721929311503e-15 
   33       1.482499752640e-10       4.033840440764e-15       2.626311394141e-13       4.450680305273e-17       1.251708031826e-10       1.243370794108e-11      -7.706027397672e-15 
   34       1.505463222822e-10       4.469658612753e-15       2.631254959995e-13       4.723922119564e-17       1.180522888719e-10       1.179492358002e-11      -8.734306338555e-15 
   35       1.528654843598e-10       4.936063427380e-15       2.623965332845e-13       5.005456940425e-17       1.114877480772e-10       1.119891272461e-11      -9.544440721441e-15 
   36       1.552067103926e-10       5.433842320286e-15       2.603433616680e-13       5.295294297252e-17       1.054243237482e-10       1.064189297643e-11      -9.924086351352e-15 
   37       1.575653558586e-10       5.963754523382e-15       2.568731853441e-13       5.593443328935e-17       9.978291192080e-11       1.011806978570e-11      -9.698286281795e-15 
   38       1.599469506641e-10       6.526651385259e-15       2.519581204185e-13       5.899912498272e-17       9.454895388042e-11       9.627919612434e-12      -8.990246853034e-15 
   39       1.623566699129e-10       7.123390967869e-15       2.455976074007e-13       6.214709797405e-17       8.970592841188e-11       9.172169449535e-12      -8.049780389247e-15 
   40       1.647948872224e-10       7.754803516101e-15       2.378041690181e-13       6.537842831821e-17       8.520774233694e-11       8.749313455410e-12      -7.188658487221e-15 
   41       1.672587613467e-10       8.421664748346e-15       2.285938897732e-13       6.869318499065e-17       8.099479917387e-11       8.356312947699e-12      -6.702125660563e-15 
   42       1.697488975180e-10       9.124609670617e-15       2.179523095388e-13       7.209141885265e-17       7.705469862124e-11       7.991470335484e-12      -6.593055607648e-15 
   43       1.722639581797e-10       9.864187625553e-15       2.058586998536e-13       7.557317019064e-17       7.337695409899e-11       7.652140739823e-12      -6.764759324952e-15 
   44       1.747983510994e-10       1.064088127407e-14       1.922954309477e-13       7.913847151222e-17       6.993477504586e-11       7.333761921009e-12      -7.094112945583e-15 
   45       1.773454320925e-10       1.145512366632e-14       1.772425539190e-13       8.278734365110e-17       6.669463580345e-11       7.031265111758e-12      -7.456486119172e-15 
   46       1.799091671266e-10       1.230736391090e-14       1.606595061438e-13       8.651978309385e-17       6.365145201278e-11       6.744153366135e-12      -7.813329849416e-15 
   47       1.824952982961e-10       1.319801509587e-14       1.424980156465e-13       9.033577057514e-17       6.080171288594e-11       6.472693930035e-12      -8.147947507885e-15 
   48       1.851078810529e-10       1.412743306706e-14       1.227068294096e-13       9.423527409927e-17       5.813287288272e-11       6.216439288601e-12      -8.441051262277e-15 
   49       1.877491038707e-10       1.509591406362e-14       1.012314452015e-13       9.821824855565e-17       5.562267969029e-11       5.974171293981e-12      -8.670631813499e-15 
   50       1.904197191542e-10       1.610368374321e-14       7.802052649926e-14       1.022846355895e-16       5.324588030889e-11       5.744365078084e-12      -8.820041236431e-15 
   51       1.931208922326e-10       1.715086623113e-14       5.304782219217e-14       1.064343640644e-16       5.099804434322e-11       5.526858866492e-12      -8.905130221211e-15 
   52       1.958525425341e-10       1.823750258287e-14       2.629573318214e-14       1.106673490609e-16       4.887704564592e-11       5.321540838066e-12      -8.954251761896e-15 
   53       1.986126282320e-10       1.936355595634e-14      -2.250805461885e-15       1.149834912681e-16       4.687593228454e-11       5.127838287963e-12      -9.000942012209e-15 
   54       2.013969946746e-10       2.052890884225e-14      -3.260427817733e-14       1.193826766113e-16       4.498260172624e-11       4.944686215862e-12      -9.084176521618e-15 
   55       2.042011936481e-10       2.173342757259e-14      -6.477461809477e-14       1.238647849369e-16       4.318349355127e-11       4.770847413331e-12      -9.237796145935e-15 
   56       2.070268176438e-10       2.297718095694e-14      -9.876940921891e-14       1.284297194475e-16       4.147648595975e-11       4.606037803738e-12      -9.455121666805e-15 
   57       2.098764736706e-10       2.426027110892e-14      -1.345936533291e-13       1.330773839268e-16       3.986063409453e-11       4.450025640749e-12      -9.715997501663e-15 
   58       2.127518771298e-10       2.558277078161e-14      -1.722496564261e-13       1.378076743030e-16       3.833226858170e-11       4.302287171031e-12      -9.996689742555e-15 
   59       2.156537770304e-10       2.694472321917e-14      -2.117369853480e-13       1.426204786296e-16       3.688482724245e-11       4.161988917258e-12      -1.026972043149e-14 
   60       2.185818812034e-10       2.834614200846e-14      -2.530524243851e-13       1.475156770656e-16       3.550868680478e-11       4.027969961111e-12      -1.050370183578e-14 
   61       2.215356057853e-10       2.978690081210e-14      -2.961895572964e-13       1.524931579030e-16       3.419383628081e-11       3.899064144600e-12      -1.067029141538e-14 
   62       2.245166894379e-10       3.126637398093e-14      -3.411375018708e-13       1.575528698970e-16       3.293897902988e-11       3.775191266945e-12      -1.076725589662e-14 
   63       2.275270358808e-10       3.278371464273e-14      -3.878818130452e-13       1.626947817003e-16       3.174418441869e-11       3.656480494095e-12      -1.080031365638e-14 
   64       2.305678937349e-10       3.433795413219e-14      -4.364047782640e-13       1.679188673328e-16       3.060814986202e-11       3.542945259214e-12      -1.077652987353e-14 
   65       2.336398078908e-10       3.592799834856e-14      -4.866853622092e-13       1.732251066705e-16       2.952812269846e-11       3.434476331041e-12      -1.070437673845e-14 
   66       2.367425708766e-10       3.755262411326e-14      -5.386991515299e-13       1.786134859354e-16       2.849982206603e-11       3.330834882236e-12      -1.059379366252e-14 
   67       2.398751742270e-10       3.921047552753e-14      -5.924182995721e-13       1.840839981851e-16       2.751736077793e-11       3.231645557735e-12      -1.045624748770e-14 
   68       2.430364917468e-10       4.090021086160e-14      -6.478142239268e-13       1.896366513275e-16       2.657481807873e-11       3.136508264533e-12      -1.030285017064e-14 
   69       2.462275987772e-10       4.262098592611e-14      -7.048664573384e-13       1.952714929591e-16       2.567150260426e-11       3.045375338767e-12      -1.013813435150e-14 
   70       2.494498376696e-10       4.437206255117e-14      -7.635554991737e-13       2.009885914618e-16       2.480762038983e-11       2.958238701446e-12      -9.965118919611e-15 
   71       2.527040980931e-10       4.615266692466e-14      -8.238602361478e-13       2.067880295932e-16       2.398268308691e-11       2.875014073521e-12      -9.787150285212e-15 
   72       2.559907871215e-10       4.796198979979e-14      -8.857579574583e-13       2.126699051678e-16       2.319547206082e-11       2.795537080593e-12      -9.607912908051e-15 
   73       2.593097993205e-10       4.979918670265e-14      -9.492243699200e-13       2.186343317393e-16       2.244400248844e-11       2.719559357620e-12      -9.431439825921e-15 
