# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422964791408e-10       4.161475675959e-15       3.794130398041e-13       0.000000000000e+00       8.228427197299e-09       4.314481854267e-10      -1.840049635236e-12 
    3       1.347230247966e-10       5.343101029374e-15       4.237268484929e-13       0.000000000000e+00       5.062561431685e-09       3.069460349503e-10      -1.394939303627e-12 
    4       1.273635570108e-10       4.631353456109e-15       3.945183655273e-13       0.000000000000e+00       3.517604007295e-09       2.326920087821e-10      -9.149122741220e-13 
    5       1.217314047173e-10       3.096259208315e-15       3.342188025448e-13       0.000000000000e+00       2.624630137097e-09       1.838318777010e-10      -5.103209023294e-13 
    6       1.177651769064e-10       1.733663356134e-15       2.672155014455e-13       0.000000000000e+00       2.049778536027e-09       1.495300483394e-10      -2.117257772220e-13 
    7       1.150838735889e-10       9.355722819803e-16       2.077146611949e-13       0.000000000000e+00       1.653544623104e-09       1.243406709427e-10      -2.077175775332e-14 
    8       1.134077107813e-10       6.011281333192e-16       1.619882788944e-13       0.000000000000e+00       1.366638882524e-09       1.052387318912e-10       7.719380076337e-14 
    9       1.124863733974e-10       4.813080674878e-16       1.314055676946e-13       0.000000000000e+00       1.150811602077e-09       9.041562871572e-11       1.052115821559e-13 
   10       1.120933510889e-10       4.102343574661e-16       1.145204294369e-13       0.000000000000e+00       9.835358126129e-10       7.867085067937e-11       8.890027983556e-14 
   11       1.121638801748e-10       3.448771213321e-16       1.084163171944e-13       0.000000000000e+00       8.285452519781e-10       6.949711019163e-11       5.221881112929e-14 
   12       1.125497515654e-10       3.002556503877e-16       1.097376716308e-13       0.000000000000e+00       7.238384791041e-10       6.141313674858e-11       1.272585589696e-14 
   13       1.131979526983e-10       2.876119049853e-16       1.154970328557e-13       0.000000000000e+00       6.378941255931e-10       5.486434432788e-11      -1.755107778996e-14 
   14       1.140551696466e-10       2.993376546970e-16       1.234500809322e-13       0.000000000000e+00       5.663978684689e-10       4.914340550338e-11      -3.426744729292e-14 
   15       1.151106723371e-10       3.236772386907e-16       1.321985734556e-13       0.000000000000e+00       5.062238140146e-10       4.434484244875e-11      -3.748937524655e-14 
   16       1.162920061064e-10       3.579212398526e-16       1.409845682754e-13       0.000000000000e+00       4.550681695767e-10       4.021606900659e-11      -3.107604079733e-14 
   17       1.176187242070e-10       4.075682127256e-16       1.495946468364e-13       0.000000000000e+00       4.111906818015e-10       3.661638623364e-11      -2.016408235140e-14 
   18       1.190295014102e-10       4.781087444244e-16       1.583226102558e-13       0.000000000000e+00       3.731118332142e-10       3.347347325315e-11      -9.645991744897e-15 
   19       1.205352922375e-10       5.699202740533e-16       1.674020466816e-13       0.000000000000e+00       3.402268889660e-10       3.074461072923e-11      -2.158060257285e-15 
   20       1.221249560065e-10       6.810492532906e-16       1.769890634782e-13       0.000000000000e+00       3.112665929599e-10       2.832647703179e-11       5.409441528076e-16 
   21       1.238013571941e-10       8.108658562259e-16       1.870817095208e-13       0.000000000000e+00       2.857753784295e-10       2.617438565321e-11      -1.023464630052e-15 
   22       1.255401690331e-10       9.588847173132e-16       1.975431404828e-13       0.000000000000e+00       2.631429839224e-10       2.423071060508e-11      -5.143179130387e-15 
   23       1.273442337233e-10       1.125336132485e-15       2.080231154165e-13       0.000000000000e+00       2.430578564951e-10       2.248516413598e-11      -1.008542271452e-14 
   24       1.292037852037e-10       1.310477722054e-15       2.180619873276e-13       0.000000000000e+00       2.250552303984e-10       2.092115108809e-11      -1.398863852925e-14 
   25       1.311226127732e-10       1.514342262087e-15       2.273746408134e-13       0.000000000000e+00       2.089230223378e-10       1.952277557103e-11      -1.599979404563e-14 
   26       1.330919675854e-10       1.737125401840e-15       2.357304448061e-13       0.000000000000e+00       1.943689060873e-10       1.825982727362e-11      -1.575352831789e-14 
