# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422969414102e-10       4.161702321446e-15       3.794130358076e-13       2.266454435663e-19       8.228427197299e-09       4.314481854267e-10      -1.840049635236e-12 
    3       1.347239471924e-10       5.343554414465e-15       4.237268306806e-13       4.533846611171e-19       5.062561431685e-09       3.069460349503e-10      -1.394939303627e-12 
    4       1.273650896326e-10       4.632109305831e-15       3.945183143385e-13       7.558476141704e-19       3.517604007295e-09       2.326920087821e-10      -9.149122741220e-13 
    5       1.217336949650e-10       3.097393369701e-15       3.342186859112e-13       1.134154172305e-18       2.624630137097e-09       1.838318777010e-10      -5.103209023294e-13 
    6       1.177683689371e-10       1.735251825649e-15       2.672152720585e-13       1.588449855189e-18       2.049778536027e-09       1.495300483394e-10      -2.117257772220e-13 
    7       1.150881078538e-10       9.376912308240e-16       2.077142540127e-13       2.118903147608e-18       1.653544623104e-09       1.243406709427e-10      -2.077175775332e-14 
    8       1.134131236528e-10       6.038539301405e-16       1.619876089210e-13       2.725702461754e-18       1.366638882524e-09       1.052387318912e-10       7.719380076337e-14 
    9       1.124930968936e-10       4.847172979950e-16       1.314045280559e-13       3.409052836299e-18       1.150811602077e-09       9.041562871572e-11       1.052115821559e-13 
   10       1.121015126969e-10       4.144038404464e-16       1.145188897655e-13       4.169172468094e-18       9.835358126129e-10       7.867085067937e-11       8.890027983556e-14 
   11       1.121736027745e-10       3.498839205822e-16       1.084141223317e-13       5.006289175350e-18       8.285452519781e-10       6.949711019163e-11       5.221881112929e-14 
   12       1.125611534487e-10       3.061770820855e-16       1.097346406431e-13       5.920636890729e-18       7.238384791041e-10       6.141313674858e-11       1.272585589696e-14 
   13       1.132111476779e-10       2.945255400751e-16       1.154929583540e-13       6.912452278950e-18       6.378941255931e-10       5.486434432788e-11      -1.755107778996e-14 
   14       1.140702672438e-10       3.073213159209e-16       1.234447286815e-13       7.981971566532e-18       5.663978684689e-10       4.914340550338e-11      -3.426744729292e-14 
   15       1.151277780376e-10       3.328089919820e-16       1.321916822502e-13       9.129427661327e-18       5.062238140146e-10       4.434484244875e-11      -3.748937524655e-14 
   16       1.163112216688e-10       3.682793799082e-16       1.409758500581e-13       1.035504762708e-17       4.550681695767e-10       4.021606900659e-11      -3.107604079733e-14 
   17       1.176401480099e-10       4.192312426919e-16       1.495837870332e-13       1.165905056373e-17       4.111906818015e-10       3.661638623364e-11      -2.016408235140e-14 
   18       1.190532288278e-10       4.911553498871e-16       1.583092683112e-13       1.304164575234e-17       3.731118332142e-10       3.347347325315e-11      -9.645991744897e-15 
   19       1.205614159842e-10       5.844292907869e-16       1.673858567015e-13       1.450303231390e-17       3.402268889660e-10       3.074461072923e-11      -2.158060257285e-15 
   20       1.221535665508e-10       6.970996309572e-16       1.769696351381e-13       1.604339649465e-17       3.112665929599e-10       2.832647703179e-11       5.409441528076e-16 
   21       1.238325430381e-10       8.285366162046e-16       1.870586289312e-13       1.766291407847e-17       2.857753784295e-10       2.617438565321e-11      -1.023464630052e-15 
   22       1.255740170711e-10       9.782549065522e-16       1.975159713415e-13       1.936174741238e-17       2.631429839224e-10       2.423071060508e-11      -5.143179130387e-15 
   23       1.273808294261e-10       1.146484774588e-15       2.079914000854e-13       2.114004922035e-17       2.430578564951e-10       2.248516413598e-11      -1.008542271452e-14 
   24       1.292432128822e-10       1.333483764156e-15       2.180252482052e-13       2.299795957678e-17       2.250552303984e-10       2.092115108809e-11      -1.398863852925e-14 
   25       1.311649556220e-10       1.539284523033e-15       2.273323816296e-13       2.493561136517e-17       2.089230223378e-10       1.952277557103e-11      -1.599979404563e-14 
   26       1.331373078241e-10       1.764082514842e-15       2.356821522239e-13       2.695312662844e-17       1.943689060873e-10       1.825982727362e-11      -1.575352831789e-14 
   27       1.351529256094e-10       2.009871519985e-15       2.429525850590e-13       2.905062181573e-17       1.812180152184e-10       1.711274417403e-11      -1.384644125114e-14 
   28       1.371962594340e-10       2.279196038447e-15       2.490867939372e-13       3.122820528928e-17       1.692433470759e-10       1.605843015743e-11      -1.126873885050e-14 
   29       1.392765579744e-10       2.573541625794e-15       2.541503464137e-13       3.348598588500e-17       1.583836133131e-10       1.509528464341e-11      -8.678575444154e-15 
   30       1.413995411895e-10       2.894061976190e-15       2.582867628401e-13       3.582406577141e-17       1.485220740928e-10       1.422019072225e-11      -6.749615337948e-15 
   31       1.435602096561e-10       3.241848916758e-15       2.616446486513e-13       3.824254042425e-17       1.394574030834e-10       1.342171590372e-11      -6.107287462486e-15 
   32       1.457613081648e-10       3.617825548172e-15       2.641811418003e-13       4.074150942653e-17       1.311426835929e-10       1.269126970799e-11      -6.583308783321e-15 
