# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423016203399e-10       4.161484455663e-15       3.794384785580e-13       0.000000000000e+00       8.228445493406e-09       4.314346379147e-10      -1.840049453390e-12 
    3       1.347277835630e-10       5.343110937996e-15       4.237530385056e-13       0.000000000000e+00       5.062547637742e-09       3.069372551354e-10      -1.394939373005e-12 
    4       1.273678142412e-10       4.631361861636e-15       3.945413184962e-13       0.000000000000e+00       3.517594730318e-09       2.326856029290e-10      -9.149121243909e-13 
    5       1.217351882383e-10       3.096264656441e-15       3.342367093810e-13       0.000000000000e+00       2.624624829049e-09       1.838268492493e-10      -5.103206623399e-13 
    6       1.177685135644e-10       1.733666387507e-15       2.672280994225e-13       0.000000000000e+00       2.049774886549e-09       1.495260105445e-10      -2.117255618486e-13 
    7       1.150868485396e-10       9.355740990446e-16       2.077226193127e-13       0.000000000000e+00       1.653542143999e-09       1.243373247220e-10      -2.077155297654e-14 
    8       1.134103375179e-10       6.011295373642e-16       1.619927234258e-13       0.000000000000e+00       1.366636830119e-09       1.052357852172e-10       7.719402357480e-14 
    9       1.124886722759e-10       4.813093167223e-16       1.314076984866e-13       0.000000000000e+00       1.150809548238e-09       9.041298978883e-11       1.052117896253e-13 
   10       1.120953501455e-10       4.102354275971e-16       1.145213550878e-13       0.000000000000e+00       9.835336250679e-10       7.866856091714e-11       8.890041309873e-14 
   11       1.121656482760e-10       3.448779488584e-16       1.084168780641e-13       0.000000000000e+00       8.285438596056e-10       6.949511850724e-11       5.221885971174e-14 
   12       1.125512886627e-10       3.002562951521e-16       1.097383609631e-13       0.000000000000e+00       7.238372538906e-10       6.141128769650e-11       1.272587300087e-14 
   13       1.131992961735e-10       2.876125069963e-16       1.154981022127e-13       0.000000000000e+00       6.378930378979e-10       5.486264499362e-11      -1.755103243416e-14 
   14       1.140563203776e-10       2.993384271338e-16       1.234516300485e-13       0.000000000000e+00       5.663968959980e-10       4.914191669083e-11      -3.426736645497e-14 
   15       1.151116365990e-10       3.236784607577e-16       1.322006381302e-13       0.000000000000e+00       5.062229390072e-10       4.434351362243e-11      -3.748931226122e-14 
   16       1.162927954400e-10       3.579230355674e-16       1.409870432907e-13       0.000000000000e+00       4.550673778911e-10       4.021478249349e-11      -3.107605237350e-14 
   17       1.176193521723e-10       4.075701963581e-16       1.495974085740e-13       0.000000000000e+00       4.111899618090e-10       3.661514738435e-11      -2.016417438199e-14 
   18       1.190300071462e-10       4.781105161917e-16       1.583254429755e-13       0.000000000000e+00       3.731111759472e-10       3.347236691789e-11      -9.646118554568e-15 
   19       1.205356941767e-10       5.699219820322e-16       1.674049013675e-13       0.000000000000e+00       3.402262858198e-10       3.074363848997e-11      -2.158172253301e-15 
   20       1.221252341459e-10       6.810516276546e-16       1.769921369698e-13       0.000000000000e+00       3.112660377609e-10       2.832552589393e-11       5.408808400355e-16 
   21       1.238015052419e-10       8.108690094670e-16       1.870850538312e-13       0.000000000000e+00       2.857748657190e-10       2.617342419795e-11      -1.023462836985e-15 
   22       1.255402096175e-10       9.588878936987e-16       1.975465602327e-13       0.000000000000e+00       2.631425090907e-10       2.422983887476e-11      -5.143116893724e-15 
   23       1.273441856356e-10       1.125339294696e-15       2.080265377561e-13       0.000000000000e+00       2.430574154025e-10       2.248440795739e-11      -1.008532112722e-14 
   24       1.292036525625e-10       1.310481870405e-15       2.180655567269e-13       0.000000000000e+00       2.250548196717e-10       2.092041260615e-11      -1.398853124078e-14 
   25       1.311223992624e-10       1.514347580695e-15       2.273784121116e-13       0.000000000000e+00       2.089226389519e-10       1.952202033138e-11      -1.599970751264e-14 
   26       1.330916808696e-10       1.737130878671e-15       2.357343058439e-13       0.000000000000e+00       1.943685474977e-10       1.825913020129e-11      -1.575347434326e-14 
   27       1.351041577023e-10       1.980826527219e-15       2.430113358145e-13       0.000000000000e+00       1.812176791400e-10       1.711213977642e-11      -1.384642423794e-14 
   28       1.371442823381e-10       2.247980577657e-15       2.491527452213e-13       0.000000000000e+00       1.692430315664e-10       1.605787160982e-11      -1.126875718533e-14 
   29       1.392212973917e-10       2.540078892338e-15       2.542240958598e-13       0.000000000000e+00       1.583833165218e-10       1.509472503842e-11      -8.678621826249e-15 
   30       1.413409119519e-10       2.858275033170e-15       2.583688469351e-13       0.000000000000e+00       1.485217943668e-10       1.421961391290e-11      -6.749676010194e-15 
   31       1.434981181906e-10       3.203660700736e-15       2.617355450155e-13       0.000000000000e+00       1.394571391118e-10       1.342113814298e-11      -6.107343153388e-15 
   32       1.456956759098e-10       3.577159274991e-15       2.642813597584e-13       0.000000000000e+00       1.311424341349e-10       1.269071127005e-11      -6.583343362708e-15 
   33       1.479298198857e-10       3.979579031152e-15       2.658941880616e-13       0.000000000000e+00       1.235187723117e-10       1.201391981675e-11      -7.669229984903e-15 
   34       1.501898387450e-10       4.411675582006e-15       2.664442048416e-13       0.000000000000e+00       1.164793344979e-10       1.137327230180e-11      -8.794614693890e-15 
   35       1.524783568544e-10       4.874303211009e-15       2.657929740051e-13       0.000000000000e+00       1.099880164461e-10       1.077090454963e-11      -9.668587628842e-15 
   36       1.547964010907e-10       5.368307536526e-15       2.637848197389e-13       0.000000000000e+00       1.039926680118e-10       1.021310908826e-11      -1.004891729602e-14 
   37       1.571405276352e-10       5.894487442964e-15       2.602768792697e-13       0.000000000000e+00       9.841517721861e-11       9.703346984010e-12      -9.737855943220e-15 
   38       1.595143025191e-10       6.453615454364e-15       2.552556987598e-13       0.000000000000e+00       9.324109691204e-11       9.239651592932e-12      -8.885709882271e-15 
   39       1.619194454454e-10       7.046417631571e-15       2.487597745601e-13       0.000000000000e+00       8.845398225137e-11       8.815869591300e-12      -7.791233500654e-15 
   40       1.643520026253e-10       7.673563478715e-15       2.408500817333e-13       0.000000000000e+00       8.400812925595e-11       8.421953095336e-12      -6.826452439104e-15 
   41       1.668055046257e-10       8.335684622421e-15       2.315860685127e-13       0.000000000000e+00       7.984448954832e-11       8.046994041697e-12      -6.339198739981e-15 
   42       1.692830925795e-10       9.033446884689e-15       2.209409791451e-13       0.000000000000e+00       7.595078024032e-11       7.690271322529e-12      -6.311176134240e-15 
   43       1.717883478006e-10       9.767495565259e-15       2.088612497111e-13       0.000000000000e+00       7.231664646074e-11       7.353270548535e-12      -6.596552156705e-15 
   44       1.743215599391e-10       1.053843310264e-14       1.952891118284e-13       0.000000000000e+00       6.891562443612e-11       7.036562858531e-12      -7.012300316237e-15 
   45       1.768811194376e-10       1.134681089551e-14       1.801678819743e-13       0.000000000000e+00       6.571458860558e-11       6.739928798924e-12      -7.379119463376e-15 
   46       1.794689738170e-10       1.219310681093e-14       1.634606319974e-13       0.000000000000e+00       6.270848253469e-11       6.462972549403e-12      -7.664191864559e-15 
   47       1.820862377580e-10       1.307773737172e-14       1.451364385136e-13       0.000000000000e+00       5.989379002582e-11       6.204548094848e-12      -7.877197535683e-15 
   48       1.847313834976e-10       1.400106085574e-14       1.251651286440e-13       0.000000000000e+00       5.725806009269e-11       5.962496740952e-12      -8.030990724064e-15 
   49       1.874000080862e-10       1.496337484131e-14       1.035172179602e-13       0.000000000000e+00       5.477924262977e-11       5.733574895428e-12      -8.141792147732e-15 
   50       1.900871409759e-10       1.596491367139e-14       8.016348436595e-14       0.000000000000e+00       5.243232583126e-11       5.514382220633e-12      -8.228351209521e-15 
   51       1.927954451788e-10       1.700584572907e-14       5.507369735145e-14       0.000000000000e+00       5.021291366960e-11       5.304610647869e-12      -8.308718552658e-15 
   52       1.955288399092e-10       1.808627117972e-14       2.821743654460e-14       0.000000000000e+00       4.811889992070e-11       5.104552436685e-12      -8.402929749289e-15 
