# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.423020826052e-10       4.161711100727e-15       3.794384745614e-13       2.266450200519e-19       8.228445493406e-09       4.314346379147e-10      -1.840049453390e-12 
    3       1.347287059507e-10       5.343564322238e-15       4.237530206930e-13       4.533838131755e-19       5.062547637742e-09       3.069372551354e-10      -1.394939373005e-12 
    4       1.273693468497e-10       4.632117709943e-15       3.945412673066e-13       7.558461989633e-19       3.517594730318e-09       2.326856029290e-10      -9.149121243909e-13 
    5       1.217374784666e-10       3.097398815701e-15       3.342365927456e-13       1.134152045932e-18       2.624624829049e-09       1.838268492493e-10      -5.103206623399e-13 
    6       1.177717055689e-10       1.735254854039e-15       2.672278700318e-13       1.588446872551e-18       2.049774886549e-09       1.495260105445e-10      -2.117255618486e-13 
    7       1.150910827711e-10       9.376930439042e-16       2.077222121240e-13       2.118899162341e-18       1.653542143999e-09       1.243373247220e-10      -2.077155297654e-14 
    8       1.134157503485e-10       6.038553290524e-16       1.619920534420e-13       2.725697326249e-18       1.366636830119e-09       1.052357852172e-10       7.719402357480e-14 
    9       1.124953957237e-10       4.847185407995e-16       1.314066588319e-13       3.409046401801e-18       1.150809548238e-09       9.041298978883e-11       1.052117896253e-13 
   10       1.121035116979e-10       4.144049027022e-16       1.145198153930e-13       4.169164584881e-18       9.835336250679e-10       7.866856091714e-11       8.890041309873e-14 
   11       1.121753708136e-10       3.498847386396e-16       1.084146831686e-13       5.006279692987e-18       8.285438596056e-10       6.949511850724e-11       5.221885971174e-14 
   12       1.125626904782e-10       3.061777156391e-16       1.097353299310e-13       5.920625658379e-18       7.238372538906e-10       6.141128769650e-11       1.272587300087e-14 
   13       1.132124910806e-10       2.945261289856e-16       1.154940276526e-13       6.912439145741e-18       6.378930378979e-10       5.486264499362e-11      -1.755103243416e-14 
   14       1.140714178989e-10       3.073220732212e-16       1.234462777228e-13       7.981956381943e-18       5.663968959980e-10       4.914191669083e-11      -3.426736645497e-14 
   15       1.151287422215e-10       3.328101967317e-16       1.321937468309e-13       9.129410275591e-18       5.062229390072e-10       4.434351362243e-11      -3.748931226122e-14 
   16       1.163120109240e-10       3.682811559822e-16       1.409783249582e-13       1.035502789157e-17       4.550673778911e-10       4.021478249349e-11      -3.107605237350e-14 
   17       1.176407758978e-10       4.192332042194e-16       1.495865486322e-13       1.165902833133e-17       4.111899618090e-10       3.661514738435e-11      -2.016417438199e-14 
   18       1.190537344891e-10       4.911570969471e-16       1.583121008671e-13       1.304162087773e-17       3.731111759472e-10       3.347236691789e-11      -9.646118554568e-15 
   19       1.205618178530e-10       5.844309713206e-16       1.673887111968e-13       1.450300465377e-17       3.402262858198e-10       3.074363848997e-11      -2.158172253301e-15 
   20       1.221538446255e-10       6.971019750046e-16       1.769727084117e-13       1.604336590790e-17       3.112660377609e-10       2.832552589393e-11       5.408808400355e-16 
   21       1.238326910285e-10       8.285397361261e-16       1.870619729957e-13       1.766288042620e-17       2.857748657190e-10       2.617342419795e-11      -1.023462836985e-15 
   22       1.255740576067e-10       9.782580464853e-16       1.975193908181e-13       1.936171055785e-17       2.631425090907e-10       2.422983887476e-11      -5.143116893724e-15 
   23       1.273807812992e-10       1.146487897084e-15       2.079948221254e-13       2.114000902878e-17       2.430574154025e-10       2.248440795739e-11      -1.008532112722e-14 
   24       1.292430802124e-10       1.333487869400e-15       2.180288172803e-13       2.299791591509e-17       2.250548196717e-10       2.092041260615e-11      -1.398853124078e-14 
   25       1.311647420940e-10       1.539289795012e-15       2.273361525815e-13       2.493556410153e-17       2.089226389519e-10       1.952202033138e-11      -1.599970751264e-14 
   26       1.331370211031e-10       1.764087941388e-15       2.356860128964e-13       2.695307563186e-17       1.943685474977e-10       1.825913020129e-11      -1.575347434326e-14 
   27       1.351525765211e-10       2.009876832057e-15       2.429564806461e-13       2.905056695541e-17       1.812176791400e-10       1.711213977642e-11      -1.384642423794e-14 
   28       1.371958598901e-10       2.279202221521e-15       2.490907854508e-13       3.122814643404e-17       1.692430315664e-10       1.605787160982e-11      -1.126875718533e-14 
   29       1.392761125094e-10       2.573549632582e-15       2.541544775414e-13       3.348592290262e-17       1.583833165218e-10       1.509472503842e-11      -8.678621826249e-15 
   30       1.413990420606e-10       2.894072229181e-15       2.582910068094e-13       3.582399852792e-17       1.485217943668e-10       1.421961391290e-11      -6.749676010194e-15 
   31       1.435596392076e-10       3.241861256235e-15       2.616489130456e-13       3.824246878329e-17       1.394571391118e-10       1.342113814298e-11      -6.107343153388e-15 
   32       1.457606618548e-10       3.617839609198e-15       2.641853621474e-13       4.074143324893e-17       1.311424341349e-10       1.269071127005e-11      -6.583343362708e-15 
   33       1.479983426358e-10       4.022815027961e-15       2.657882502576e-13       4.332098865070e-17       1.235187723117e-10       1.201391981675e-11      -7.669229984903e-15 
   34       1.502619678228e-10       4.457542537533e-15       2.663277548618e-13       4.598122756425e-17       1.164793344979e-10       1.137327230180e-11      -8.794614693890e-15 
   35       1.525541591579e-10       4.922875808781e-15       2.656654466933e-13       4.872224376398e-17       1.099880164461e-10       1.077090454963e-11      -9.668587628842e-15 
   36       1.548759406198e-10       5.419659802157e-15       2.636456607396e-13       5.154412886011e-17       1.039926680118e-10       1.021310908826e-11      -1.004891729602e-14 
   37       1.572238652882e-10       5.948692695629e-15       2.601255493492e-13       5.444697049526e-17       9.841517721861e-11       9.703346984010e-12      -9.737855943220e-15 
   38       1.596014961633e-10       6.510746276753e-15       2.550916794877e-13       5.743085062835e-17       9.324109691204e-11       9.239651592932e-12      -8.885709882271e-15 
   39       1.620105497697e-10       7.106545825793e-15       2.485825734484e-13       6.049584681468e-17       8.845398225137e-11       8.815869591300e-12      -7.791233500654e-15 
   40       1.644470688970e-10       7.736760016187e-15       2.406592373023e-13       6.364203274509e-17       8.400812925595e-11       8.421953095336e-12      -6.826452439104e-15 
