# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 1061.52 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248134e-05       4.733709427893e+01 
       2.342123614250e-05       1.028545877544e+02 
       3.639918309207e-05       1.574696053536e+02 
       4.945816017798e-05       2.117440871696e+02 
       6.263395094358e-05       2.660025306770e+02 
       7.596324722929e-05       3.204910252045e+02 
       8.948398113507e-05       3.754219295206e+02 
       1.032356717913e-04       4.309922384303e+02 
       1.172597914193e-04       4.873930480956e+02 
       1.316001551969e-04       5.448153773616e+02 
       1.463033394487e-04       6.034541720219e+02 
       1.614191326156e-04       6.635115704724e+02 
       1.770010232704e-04       7.251996127348e+02 
       1.931067290503e-04       7.887428139156e+02 
       2.097987696873e-04       8.543806149023e+02 
       2.271450861780e-04       9.223698226819e+02 
       2.452197063809e-04       9.929870529509e+02 
       2.641034547246e-04       1.066531283127e+03 
       2.838846999701e-04       1.143326271721e+03 
       3.046601297485e-04       1.223723051607e+03 
       3.265355334952e-04       1.308102275172e+03 
       3.496265660050e-04       1.396876310734e+03 
       3.740594517503e-04       1.490490971816e+03 
       3.999715750869e-04       1.589426516766e+03 
       4.275118835816e-04       1.694197936674e+03 
       4.568410115270e-04       1.805353736947e+03 
       4.881310097816e-04       1.923473142593e+03 
       5.215645491492e-04       2.049161135135e+03 
       5.573334520448e-04       2.183040763659e+03 
       5.956364074423e-04       2.325742196620e+03 
       6.366757448611e-04       2.477888602852e+03 
       6.806531926306e-04       2.640078017116e+03 
       7.277646301981e-04       2.812862034033e+03 
       7.781939648667e-04       2.996721848505e+03 
       8.321064118552e-04       3.192042877441e+03 
       8.896416125464e-04       3.399089694821e+03 
       9.509071569581e-04       3.617983978142e+03 
       1.015973144326e-03       3.848687257623e+03 
       1.084868386788e-03       4.090991247375e+03 
       1.157578720972e-03       4.344517038140e+03 
       1.234047655528e-03       4.608723781640e+03 
       1.314179293726e-03       4.882926175567e+03 
       1.397843191379e-03       5.166319197062e+03 
       1.484880601221e-03       5.458007338512e+03 
       1.575111453424e-03       5.757035541142e+03 
       1.668341434143e-03       6.062419204191e+03 
       1.764368627386e-03       6.373171325564e+03 
       1.862989341081e-03       6.688325252755e+03 
       1.964002905628e-03       7.006953117606e+03 
       2.067215381464e-03       7.328178578858e+03 
       2.172442224046e-03       7.651186466172e+03 
       2.279510025976e-03       7.975227203256e+03 
       2.388257491116e-03       8.299619670155e+03 
       2.498535803242e-03       8.623748712176e+03 
       2.610208541553e-03       8.947064605680e+03 
       2.723151275345e-03       9.269078455077e+03 
       2.837250946401e-03       9.589357715639e+03 
       2.952405124131e-03       9.907523622323e+03 
       3.068521197342e-03       1.022324189484e+04 
       3.185515548732e-03       1.053622302186e+04 
       3.303312743941e-03       1.084621656409e+04 
       3.421844755966e-03       1.115300452408e+04 
       3.541050237543e-03       1.145639936155e+04 
       3.660873848142e-03       1.175624228826e+04 
       3.781265638041e-03       1.205239745301e+04 
       3.902180489152e-03       1.234474919603e+04 
       4.023577610431e-03       1.263320450019e+04 
       4.145420084618e-03       1.291768141591e+04 
       4.267674462466e-03       1.319811874515e+04 
       4.390310400376e-03       1.347446670022e+04 
       4.513300337368e-03       1.374668138623e+04 
       4.636619207429e-03       1.401473504507e+04 
       4.760244183559e-03       1.427859961720e+04 
       4.884154450062e-03       1.453826740100e+04 
       5.008330999981e-03       1.479373481874e+04 
       5.132756454826e-03       1.504504878406e+04 
       5.257414904084e-03       1.529212342456e+04 
       5.382291762233e-03       1.553499683135e+04 
       5.507373641245e-03       1.577375396127e+04 
       5.632648236808e-03       1.600828717487e+04 
       5.758104226681e-03       1.623876371267e+04 
       5.883731179793e-03       1.646510553269e+04 
       6.009519474860e-03       1.668734751850e+04 
       6.135460227432e-03       1.690549553336e+04 
       6.261545224431e-03       1.711966348122e+04 
       6.387766865323e-03       1.732980251320e+04 
       6.514118109205e-03       1.753598951825e+04 
       6.640592427130e-03       1.773821714701e+04 
       6.767183759124e-03       1.793657637789e+04 
       6.893886475364e-03       1.813106711692e+04 
       7.020695341078e-03       1.832172282241e+04 
       7.147605484781e-03       1.850857249410e+04 
       7.274612369475e-03       1.869169007128e+04 
       7.401711766523e-03       1.887107671534e+04 
       7.528899731913e-03       1.904679116920e+04 
       7.656172584667e-03       1.921886339019e+04 
       7.783526887184e-03       1.938732443374e+04 
       7.910959427315e-03       1.955222903203e+04 
       8.038467202013e-03       1.971360767914e+04 
       8.166047402388e-03       1.987149685321e+04 
       8.293697400040e-03       2.002593051036e+04 
       8.421414734552e-03       2.017696021845e+04 
       8.549197102024e-03       2.032461706652e+04 
       8.677042344553e-03       2.046893956819e+04 
       8.804948440580e-03       2.060996312682e+04 
       8.932913496012e-03       2.074773081405e+04 
       9.060935736059e-03       2.088227109521e+04 
       9.189013497716e-03       2.101362399820e+04 
       9.317145222838e-03       2.114183056338e+04 
       9.445329451754e-03       2.126691804819e+04 
       9.573564817366e-03       2.138892940186e+04 
       9.701850039710e-03       2.150789554823e+04 
       9.830183920918e-03       2.162384888343e+04 
       9.958565340567e-03       2.173683098622e+04 
       1.008699325137e-02       2.184686935795e+04 
       1.021546667517e-02       2.195399937585e+04 
       1.034398469927e-02       2.205826296039e+04 
       1.047254647298e-02       2.215967911141e+04 
       1.060115120446e-02       2.225829226401e+04 
       1.072979815772e-02       2.235414031831e+04 
       1.085848664995e-02       2.244723613713e+04 
       1.098721604891e-02       2.253763339059e+04 
       1.111598577060e-02       2.262534781985e+04 
       1.124479527703e-02       2.271042537389e+04 
       1.137364407421e-02       2.279288259913e+04 
       1.150253171024e-02       2.287275692254e+04 
       1.163145777350e-02       2.295007888649e+04 
       1.176042189107e-02       2.302488225818e+04 
       1.188942372716e-02       2.309720121815e+04 
       1.201846298169e-02       2.316704571016e+04 
       1.214753938896e-02       2.323446669768e+04 
       1.227665271646e-02       2.329947060324e+04 
       1.240580276367e-02       2.336210778178e+04 
       1.253498936104e-02       2.342239845344e+04 
       1.266421236898e-02       2.348037647041e+04 
       1.279347167696e-02       2.353606063506e+04 
       1.292276720265e-02       2.358949315547e+04 
       1.305209889114e-02       2.364069936312e+04 
       1.318146671421e-02       2.368969000476e+04 
       1.331087066966e-02       2.373651107068e+04 
       1.344031078070e-02       2.378116820207e+04 
       1.356978709534e-02       2.382370401606e+04 
       1.369929968593e-02       2.386414152983e+04 
       1.382884864862e-02       2.390250492096e+04 
       1.395843410296e-02       2.393882219903e+04 
       1.408805619148e-02       2.397311365536e+04 
       1.421771507932e-02       2.400541079426e+04 
       1.434741095393e-02       2.403574639424e+04 
       1.447714402477e-02       2.406413247502e+04 
       1.460691452303e-02       2.409058758532e+04 
       1.473672270140e-02       2.411514197554e+04 
       1.486656883391e-02       2.413783921970e+04 
       1.499645321570e-02       2.415869080265e+04 
       1.512637616292e-02       2.417771237713e+04 
       1.525633801256e-02       2.419493286701e+04 
       1.538633912241e-02       2.421037564959e+04 
       1.551637987096e-02       2.422406533304e+04 
       1.564646065734e-02       2.423602355003e+04 
       1.577658190131e-02       2.424628109740e+04 
       1.590674404326e-02       2.425484433326e+04 
       1.603694754421e-02       2.426175718047e+04 
       1.616719288586e-02       2.426702344254e+04 
       1.629748057062e-02       2.427067527423e+04 
       1.642781112173e-02       2.427273422460e+04 
       1.655818508332e-02       2.427321138433e+04 
       1.668860302054e-02       2.427214275157e+04 
       1.681906551966e-02       2.426954350895e+04 
       1.694957318827e-02       2.426543856681e+04 
       1.708012665540e-02       2.425984984095e+04 
       1.721072657174e-02       2.425277610283e+04 
       1.734137360982e-02       2.424428315566e+04 
       1.747206846421e-02       2.423434165642e+04 
       1.760281185182e-02       2.422301517129e+04 
