# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 1061.52 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248128e-05       4.749488582405e+01 
       2.342123594997e-05       1.031974238438e+02 
       3.639918270544e-05       1.579944537770e+02 
       4.945815959406e-05       2.124497773233e+02 
       6.263395015756e-05       2.668889503444e+02 
       7.596324623467e-05       3.215588753962e+02 
       8.948397992359e-05       3.766726006232e+02 
       1.032356703528e-04       4.324277557305e+02 
       1.172597897417e-04       4.890160667888e+02 
       1.316001532657e-04       5.466291421763e+02 
       1.463033372471e-04       6.054625793387e+02 
       1.614191301243e-04       6.657191412222e+02 
       1.770010204669e-04       7.276115555772e+02 
       1.931067259090e-04       7.913650352542e+02 
       2.097987661789e-04       8.572197824581e+02 
       2.271450822690e-04       9.254334063033e+02 
       2.452197020333e-04       9.962834066054e+02 
       2.641034498954e-04       1.070069666805e+03 
       2.838846946104e-04       1.147116967727e+03 
       3.046601238031e-04       1.227777427684e+03 
       3.265355269016e-04       1.312432881394e+03 
       3.496265586930e-04       1.401496978343e+03 
       3.740594436408e-04       1.495416894548e+03 
       3.999715660914e-04       1.594674442269e+03 
       4.275118736012e-04       1.699786162413e+03 
       4.568410004521e-04       1.811302351442e+03 
       4.881309974911e-04       1.929804128208e+03 
       5.215645355104e-04       2.055898481547e+03 
       5.573334369134e-04       2.190210606594e+03 
       5.956363906633e-04       2.333373075517e+03 
       6.366757262702e-04       2.486011476910e+03 
       6.806531720558e-04       2.648726493901e+03 
       7.277646074627e-04       2.822072530074e+03 
       7.781939397929e-04       3.006533724058e+03 
       8.321063842684e-04       3.202498528269e+03 
       8.896415822798e-04       3.410234712984e+03 
       9.509071238574e-04       3.629867092885e+03 
       1.015973108254e-03       3.861360290064e+03 
       1.084868347628e-03       4.104508761291e+03 
       1.157578678633e-03       4.358936124627e+03 
       1.234047609941e-03       4.624103301053e+03 
       1.314179244850e-03       4.899326065573e+03 
       1.397843139195e-03       5.183799511673e+03 
       1.484880545734e-03       5.476627225157e+03 
       1.575111394655e-03       5.776852116584e+03 
       1.668341372131e-03       6.083486706607e+03 
       1.764368562180e-03       6.395539987200e+03 
       1.862989272738e-03       6.712040975494e+03 
       1.964002834212e-03       7.032056748361e+03 
       2.067215307041e-03       7.354705959349e+03 
       2.172442146682e-03       7.679169009708e+03 
       2.279509945738e-03       8.004692217135e+03 
       2.388257408069e-03       8.330590691559e+03 
       2.498535717448e-03       8.656246457544e+03 
       2.610208453070e-03       8.981107615345e+03 
       2.723151184227e-03       9.304683292256e+03 
       2.837250852700e-03       9.626539906300e+03 
