# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 1061.52 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248128e-05       4.749496824893e+01 
       2.342123586386e-05       1.031976015368e+02 
       3.639918253250e-05       1.579947263942e+02 
       4.945815933285e-05       2.124501416921e+02 
       6.263394980593e-05       2.668894106170e+02 
       7.596324578971e-05       3.215594298012e+02 
       8.948397938160e-05       3.766732503200e+02 
       1.032356697093e-04       4.324285012685e+02 
       1.172597889911e-04       4.890169068055e+02 
       1.316001524017e-04       5.466300844822e+02 
       1.463033362622e-04       6.054636223150e+02 
       1.614191290097e-04       6.657202905159e+02 
       1.770010192127e-04       7.276128057508e+02 
       1.931067245036e-04       7.913664001979e+02 
       2.097987646092e-04       8.572212596045e+02 
       2.271450805202e-04       9.254349986687e+02 
       2.452197000883e-04       9.962851184031e+02 
       2.641034477349e-04       1.070071509967e+03 
       2.838846922126e-04       1.147118941287e+03 
       3.046601211432e-04       1.227779540204e+03 
       3.265355239517e-04       1.312435135010e+03 
       3.496265554217e-04       1.401499381005e+03 
       3.740594400127e-04       1.495419457621e+03 
       3.999715620669e-04       1.594677179328e+03 
       4.275118691361e-04       1.699789080241e+03 
       4.568409954973e-04       1.811305457509e+03 
       4.881309919925e-04       1.929807429319e+03 
       5.215645294085e-04       2.055901999389e+03 
       5.573334301438e-04       2.190214351996e+03 
       5.956363831566e-04       2.333377071414e+03 
       6.366757179528e-04       2.486015726811e+03 
       6.806531628508e-04       2.648731021583e+03 
       7.277645972911e-04       2.822077350804e+03 
       7.781939285752e-04       3.006538847823e+03 
       8.321063719264e-04       3.202503987443e+03 
       8.896415687388e-04       3.410240520562e+03 
       9.509071090484e-04       3.629873269863e+03 
       1.015973092116e-03       3.861366814888e+03 
       1.084868330109e-03       4.104515727495e+03 
       1.157578659690e-03       4.358943545999e+03 
       1.234047589546e-03       4.624111154486e+03 
       1.314179222983e-03       4.899334367721e+03 
       1.397843115849e-03       5.183808305839e+03 
       1.484880520909e-03       5.476636428693e+03 
       1.575111368363e-03       5.776861853199e+03 
       1.668341344387e-03       6.083496925968e+03 
       1.764368533007e-03       6.395550780454e+03 
