# Matter power spectrum P(k) at redshift z=0
# for k=1.04891e-05 to 1061.52 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048912248166e-05       4.733716330631e+01 
       2.342123673218e-05       1.028547368566e+02 
       3.639918427607e-05       1.574698344759e+02 
       4.945816196610e-05       2.117443974475e+02 
       6.263395335057e-05       2.660029211226e+02 
       7.596325027502e-05       3.204914938671e+02 
       8.948398484484e-05       3.754224791708e+02 
       1.032356761962e-04       4.309928671154e+02 
       1.172597965566e-04       4.873937634054e+02 
       1.316001611106e-04       5.448161724224e+02 
       1.463033461901e-04       6.034550580244e+02 
       1.614191402443e-04       6.635125456634e+02 
       1.770010318550e-04       7.252006793763e+02 
       1.931067386694e-04       7.887439751416e+02 
       2.097987804306e-04       8.543818722777e+02 
       2.271450981478e-04       9.223711756030e+02 
       2.452197196934e-04       9.929885169999e+02 
       2.641034695119e-04       1.066532861594e+03 
       2.838847163818e-04       1.143327971086e+03 
       3.046601479538e-04       1.223724865448e+03 
       3.265355536852e-04       1.308104218200e+03 
       3.496265883950e-04       1.396878387654e+03 
       3.740594765822e-04       1.490493184689e+03 
       3.999716026318e-04       1.589428892075e+03 
       4.275119141420e-04       1.694200469797e+03 
       4.568410454389e-04       1.805356443074e+03 
       4.881310474159e-04       1.923476030279e+03 
       5.215645909123e-04       2.049164222100e+03 
       5.573334983782e-04       2.183044034196e+03 
       5.956364588204e-04       2.325745732348e+03 
       6.366758017875e-04       2.477892356026e+03 
       6.806532556320e-04       2.640082027873e+03 
       7.277646998153e-04       2.812866318854e+03 
       7.781940416440e-04       2.996726436877e+03 
       8.321064963274e-04       3.192047763902e+03 
       8.896417052244e-04       3.399094910452e+03 
       9.509072583145e-04       3.617989532163e+03 
       1.015973254781e-03       3.848693197499e+03 
       1.084868506697e-03       4.090997562598e+03 
       1.157578850618e-03       4.344523774031e+03 
       1.234047795117e-03       4.608730956908e+03 
       1.314179443388e-03       4.882933652582e+03 
       1.397843351168e-03       5.166327219908e+03 
       1.484880771126e-03       5.458015839302e+03 
       1.575111633376e-03       5.757044443346e+03 
       1.668341624027e-03       6.062428684527e+03 
       1.764368827052e-03       6.373181225453e+03 
       1.862989550350e-03       6.688335744520e+03 
       1.964003124308e-03       7.006964073869e+03 
       2.067215609352e-03       7.328189879502e+03 
       2.172442460936e-03       7.651198458792e+03 
       2.279510271666e-03       7.975239813308e+03 
       2.388257745409e-03       8.299632729035e+03 
       2.498536065948e-03       8.623762275755e+03 
       2.610208812494e-03       8.947078606141e+03 
       2.723151554352e-03       9.269092883058e+03 
       2.837251233317e-03       9.589373332865e+03 
       2.952405418811e-03       9.907539041200e+03 
       3.068521499650e-03       1.022325847651e+04 
       3.185515858544e-03       1.053624027319e+04 
       3.303313061142e-03       1.084623404694e+04 
       3.421845080450e-03       1.115302228388e+04 
       3.541050569216e-03       1.145641676793e+04 
       3.660874186913e-03       1.175626123738e+04 
